Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"1,082,000","970,000","958,000","1,607,000","1,583,000","1,571,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),39.254%,1.253%,-40.386%,1.516%,0.764%,-7.643%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"257,000","383,000","31,000","111,000","69,000","181,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"825,000","587,000","927,000","1,496,000","1,514,000","1,390,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","3,158,000","3,539,000","3,520,000","4,071,000","3,422,000","3,281,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"5,828,000","10,477,000","13,345,000","11,233,000","12,841,000","15,583,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"8,986,000","14,016,000","16,865,000","15,304,000","16,263,000","18,864,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-8,161,000","-13,429,000","-15,938,000","-13,808,000","-14,749,000","-17,474,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-1,159,000","-1,527,000","-823,000","-23,000","-117,000","-17,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"160,000","221,000",-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"263,000","424,000","134,000","-20,000","246,000","-55,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,862,000","2,326,000","3,016,000","-576,000","-417,000","-4,197,000",Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-6,035,000","-11,985,000","-13,611,000","-14,427,000","-15,037,000","-21,743,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"8,000",-,"4,000","36,000","8,000","4,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-6,043,000","-11,985,000","-13,615,000","-14,463,000","-15,045,000","-21,747,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-6,043,000","-11,985,000","-13,615,000","-14,463,000","-15,045,000","-21,747,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"51,719,730","49,664,905","47,139,023","47,520,850","44,225,682","39,398,801",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"51,719,730","49,664,905","47,139,023","47,520,850","44,225,682","39,398,801",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),9.193%,5.358%,-0.803%,7.451%,12.251%,4.289%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-0.117,-0.241,-0.289,-0.304,-0.340,-0.552,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-0.117,-0.241,-0.290,-0.304,-0.340,-0.552,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-4,493,000","-17,216,000","-18,115,000","-17,742,000","-13,881,000","-15,546,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.087,-0.347,-0.384,-0.373,-0.314,-0.395,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,76.248%,60.515%,96.764%,93.093%,95.641%,88.479%,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-754.251%,-1384.433%,-1663.674%,-859.241%,-931.712%,-1112.285%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-558.503%,-1235.567%,-1421.190%,-900.000%,-950.411%,-1384.278%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-415.250%,-1774.845%,-1890.919%,-1104.045%,-876.879%,-989.561%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-8,582,000","-12,797,000","-15,528,000","-13,316,000","-14,403,000","-16,969,000",Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"-421,000","632,000","410,000","492,000","346,000","505,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-8,161,000","-13,429,000","-15,938,000","-13,808,000","-14,749,000","-17,474,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue as Reported,"1,082,000","970,000","958,000","1,607,000","1,583,000","1,571,000",Upgrade,Financials in EUR,Fiscal year is January - December
