Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020","Sep '19 Sep 30, 2019",2018 - 2014,,
Revenue,"1,383,636","1,983,643","964,681","3,886,620","67,886","93,876",Upgrade,Financials in CAD,Fiscal year is October - September
Revenue Growth (YoY),-44.406%,105.627%,-75.179%,5625.216%,-27.685%,-,Upgrade,Financials in CAD,Fiscal year is October - September
Cost of Revenue,"1,556,996","2,112,635","1,467,559","4,036,410","2,190,439","1,497,088",Upgrade,Financials in CAD,Fiscal year is October - September
Gross Profit,"-173,360","-128,992","-502,878","-149,790","-2,122,553","-1,403,212",Upgrade,Financials in CAD,Fiscal year is October - September
"Selling, General & Admin","912,696","808,975","469,246","559,989","528,920","427,676",Upgrade,Financials in CAD,Fiscal year is October - September
Operating Expenses,"1,746,640","2,767,017","494,223","669,593","2,256,114","510,781",Upgrade,Financials in CAD,Fiscal year is October - September
Operating Income,"-1,920,000","-2,896,009","-997,101","-819,383","-4,378,667","-1,913,993",Upgrade,Financials in CAD,Fiscal year is October - September
Interest Expense,"-388,293","-358,938","-309,333","-273,307","-176,412","-110,287",Upgrade,Financials in CAD,Fiscal year is October - September
Interest & Investment Income,"20,602","16,530",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Currency Exchange Gain (Loss),"-194,994","11,901","-18,492","-4,863","5,426","2,465",Upgrade,Financials in CAD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-89,365","-100,212","-82,931","-72,155","-79,005","-70,828",Upgrade,Financials in CAD,Fiscal year is October - September
EBT Excluding Unusual Items,"-2,572,050","-3,326,728","-1,407,857","-1,169,708","-4,628,658","-2,092,643",Upgrade,Financials in CAD,Fiscal year is October - September
Pretax Income,"-2,572,050","-3,326,728","-1,407,857","-1,169,708","-4,628,658","-2,092,643",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income,"-2,572,050","-3,326,728","-1,407,857","-1,169,708","-4,628,658","-2,092,643",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income to Common,"-2,572,050","-3,326,728","-1,407,857","-1,169,708","-4,628,658","-2,092,643",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Basic),"63,837,400","62,465,800","62,158,611","61,323,206","59,922,466","58,646,338",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Diluted),"63,837,400","62,465,800","62,158,611","61,323,206","59,922,466","58,646,338",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Change (YoY),2.270%,0.494%,1.362%,2.338%,2.176%,2.841%,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Basic),-0.040,-0.053,-0.023,-0.019,-0.077,-0.036,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Diluted),-0.040,-0.053,-0.023,-0.019,-0.077,-0.036,Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow,"-2,716,734","-234,075","479,476","-2,980,743","-1,904,783","-1,804,585",Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow Per Share,-0.043,-0.004,0.008,-0.049,-0.032,-0.031,Upgrade,Financials in CAD,Fiscal year is October - September
Gross Margin,-12.529%,-6.503%,-52.129%,-3.854%,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Operating Margin,-138.765%,-145.994%,-103.361%,-21.082%,-6450.029%,-2038.852%,Upgrade,Financials in CAD,Fiscal year is October - September
Profit Margin,-185.891%,-167.708%,-145.940%,-30.096%,-6818.281%,-2229.157%,Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow Margin,-196.347%,-11.800%,49.703%,-76.692%,-2805.855%,-1922.307%,Upgrade,Financials in CAD,Fiscal year is October - September
EBIT,"-1,920,000","-2,896,009","-997,101","-819,383","-4,378,667","-1,913,993",Upgrade,Financials in CAD,Fiscal year is October - September
EBIT Margin,-138.765%,-145.994%,-103.361%,-21.082%,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
