Fiscal Year,TTM,FY 2008,FY 2007,FY 2006,FY 2005,FY 2004,2003 - 1999,Currency,Fiscal_Year_period
Period Ending,"Dec '08 Dec 31, 2008","Dec '08 Dec 31, 2008","Dec '07 Dec 31, 2007","Dec '06 Dec 31, 2006","Dec '05 Dec 31, 2005","Dec '04 Dec 31, 2004",2003 - 1999,,
Revenue,"2,684,000","2,684,000","2,667,000","1,781,000","3,429,000","1,714,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0.637%,0.637%,49.747%,-48.061%,100.058%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"34,452,000","34,452,000","39,227,000","47,910,000","33,919,000","25,976,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-31,768,000","-31,768,000","-36,560,000","-46,129,000","-30,490,000","-24,262,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,704,000","10,704,000","16,167,000","14,658,000","10,468,000","6,166,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,704,000","10,704,000","16,167,000","14,658,000","10,468,000","6,166,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-42,472,000","-42,472,000","-52,727,000","-60,787,000","-40,958,000","-30,428,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-15,977,000","-15,977,000","-2,054,000","-2,273,000","-551,000","-133,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"2,314,000","2,541,000","1,845,000","558,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-124,000","-124,000",-,-,-,"44,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-58,573,000","-58,573,000","-52,467,000","-60,519,000","-39,664,000","-29,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-9,161,000","-9,161,000",-,"-1,492,000","-5,218,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-1,263,000","922,000","257,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-67,734,000","-67,734,000","-53,730,000","-61,089,000","-44,625,000","-29,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-67,734,000","-67,734,000","-53,730,000","-61,089,000","-44,625,000","-29,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,687,000","1,687,000","2,275,000","2,381,000","2,419,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-69,421,000","-69,421,000","-56,005,000","-63,470,000","-47,044,000","-29,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,741,200","4,741,200","4,262,661","2,759,922","1,889,713","1,560,283",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,741,200","4,741,200","4,262,661","2,759,922","1,889,713","1,560,283",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.226%,11.226%,54.449%,46.050%,21.113%,272.590%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-14.642,-14.642,-13.139,-22.997,-24.895,-19.201,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-14.642,-14.642,-13.139,-22.997,-24.895,-19.201,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,-,"-42,703,000","-49,179,000","-63,660,000","-31,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-10.018,-17.819,-33.688,-20.189,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1582.414%,-1582.414%,-1977.015%,-3413.083%,-1194.459%,-1775.263%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2586.475%,-2586.475%,-2099.925%,-3563.728%,-1371.945%,-1747.900%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-1601.162%,-2761.314%,-1856.518%,-1837.865%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-32,413,336","-32,413,336","-42,489,000","-50,496,000","-36,951,000","-29,060,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"10,058,664","10,058,664","10,238,000","10,291,000","4,007,000","1,368,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-42,472,000","-42,472,000","-52,727,000","-60,787,000","-40,958,000","-30,428,000",Upgrade,Financials in USD,Fiscal year is January - December
