Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,"1,024,744,000","849,394,000","3,676,859,000","674,521,000","163,135,000","97,026,000","128,600,000",-,-,"70,879,000",Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-72.130%,25.926%,2153.875%,595.196%,26.855%,-,-,-,-,-,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"87,149,000","58,901,000","78,613,000","74,632,000","28,482,000","31,593,000","-1,376,000","1,903,000",-,-,Financials in CNY,Fiscal year is January - December
Gross Profit,"937,595,000","790,493,000","3,598,246,000","599,889,000","134,653,000","65,433,000","129,976,000","-1,903,000",-,"70,879,000",Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","615,634,000","547,890,000","542,588,000","509,426,000","242,242,000","350,144,000","72,522,000","153,508,000","99,521,000","41,819,000",Financials in CNY,Fiscal year is January - December
Research & Development,"594,393,000","679,352,000","574,671,000","727,714,000","595,384,000","559,439,000","563,518,000","527,881,000","240,708,000","185,170,000",Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"109,946,000","117,149,000","160,035,000","153,272,000","44,073,000","13,629,000","206,000","6,000","103,000","-261,000",Financials in CNY,Fiscal year is January - December
Operating Expenses,"1,319,973,000","1,344,391,000","1,277,294,000","1,390,412,000","881,699,000","923,212,000","636,246,000","681,395,000","340,332,000","226,728,000",Financials in CNY,Fiscal year is January - December
Operating Income,"-382,378,000","-553,898,000","2,320,952,000","-790,523,000","-747,046,000","-857,779,000","-506,270,000","-683,298,000","-340,332,000","-155,849,000",Financials in CNY,Fiscal year is January - December
Interest Expense,"-46,164,000","-48,577,000","-38,410,000","-27,460,000","-15,830,000","-6,738,000","-3,614,000","-1,516,000","-6,471,000","-4,166,000",Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"102,243,000","88,825,000","78,860,000","19,026,000","8,494,000","10,626,000","12,132,000","30,830,000","10,698,000","2,264,000",Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,"-32,617,000","-18,601,000","-173,121,000",-,-,-,-,-,-,-,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"27,130,000","-59,777,000","195,664,000","4,248,000","-4,248,000","-520,000","5,682,000","10,942,000","1,584,000","-586,000",Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"74,569,000","56,311,000","94,297,000","63,668,000","67,425,000","44,258,000","44,095,000","41,878,000","27,592,000","25,116,000",Financials in CNY,Fiscal year is January - December
