Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters,,
Revenue,-,"49,000",-,"31,000","65,000","2,316,000","2,912,000","722,000","4,792,000",-,-,"1,270,000","86,000","84,000",-,"287,000","-361,000","4,262,000","1,445,000","1,513,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-97.884%,-,-95.706%,-98.644%,-,-,-43.150%,5472.093%,-,-,342.509%,-,-98.029%,-,-81.031%,-,-78.021%,35.553%,29.316%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,995,000","10,649,000","4,467,000","9,064,000","12,424,000","20,794,000","20,944,000","18,719,000","17,162,000",-,"17,508,000","18,661,000","18,471,000","13,767,000","12,095,000","7,634,000","8,856,000","11,139,000","11,415,000","10,166,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-3,995,000","-10,600,000","-4,467,000","-9,033,000","-12,359,000","-18,478,000","-18,032,000","-17,997,000","-12,370,000",-,"-17,508,000","-17,391,000","-18,385,000","-13,683,000","-12,095,000","-7,347,000","-9,217,000","-6,877,000","-9,970,000","-8,653,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,778,000","2,329,000","2,800,000","2,884,000","3,737,000","5,162,000","4,099,000","5,738,000","3,632,000","4,158,000","6,537,000","4,282,000","3,700,000","4,432,000","3,474,000","2,448,000","2,958,000","2,867,000","3,106,000","2,846,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,"17,691,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,855,000","2,372,000","2,852,000","2,822,000","4,354,000","5,780,000","4,346,000","5,978,000","3,852,000","22,072,000","6,781,000","4,527,000","3,933,000","4,654,000","3,664,000","2,638,000","3,125,000","3,024,000","3,290,000","3,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,850,000","-12,972,000","-7,319,000","-11,855,000","-16,713,000","-24,258,000","-22,378,000","-23,975,000","-16,222,000","-22,072,000","-24,289,000","-21,918,000","-22,318,000","-18,337,000","-15,759,000","-9,985,000","-12,342,000","-9,901,000","-13,260,000","-11,781,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-211,000","-366,000",-,-,-,"-6,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
