Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+12 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+12 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"132,000","51,000","66,000","3,000","-59,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-62.222%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"105,000","106,000","81,000","117,000","217,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27,000","-55,000","-15,000","-114,000","-276,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","269,497","296,000","353,000","361,000","547,570","449,000","260,000","203,000","232,000","129,000","110,000","164,000","194,000","356,000","1,323,000","2,649,000","2,151,000","2,747,000","2,426,000","2,263,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"68,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"269,497","296,000","353,000","361,000","547,570","449,000","260,000","203,000","232,000","129,000","110,000","164,000","194,000","356,000","1,323,000","2,666,000","2,169,000","2,764,000","2,444,000","2,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-269,497","-296,000","-353,000","-361,000","-547,570","-449,000","-260,000","-203,000","-232,000","-129,000","-110,000","-164,000","-194,000","-356,000","-1,323,000","-2,639,000","-2,224,000","-2,779,000","-2,558,000","-2,649,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-605,023","-749,000","-942,000","-899,000","-1,094,127","-674,000","-486,000","-454,000","-362,000","-298,000","-318,000","-319,000","-350,000","-590,000","-515,000","-329,000","-332,000","-1,000",-,"-1,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,673,966","1,280,000","370,000","899,000","-253,723","1,012,000","667,000","-1,048,000","-2,968,000","-87,000",-,-,"5,000","40,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,548,486","235,000","-925,000","-361,000","-1,895,420","-111,000","-79,000","-1,705,000","-3,562,000","-514,000","-428,000","-483,000","-539,000","-906,000","-1,838,000","-2,968,000","-2,556,000","-2,780,000","-2,558,000","-2,650,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,294,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,116,000",-,-,-,"-1,676,000",Upgrade,Financials in USD,Fiscal year is January - December
