Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"24,895,803","16,791,483","4,047,881","3,268,906","1,570,060","168,252",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),109.664%,314.822%,23.830%,108.203%,833.160%,42.621%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"13,728,207","10,132,791","2,932,540","437,086","2,140,175","76,111",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"11,167,596","6,658,692","1,115,341","2,831,820","-570,115","92,141",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","14,642,574","11,888,666","9,220,310","11,869,833","13,501,808","19,706,578",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"17,439,051","15,038,327","11,525,761","14,245,229","18,418,296","23,315,721",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-6,271,455","-8,379,635","-10,410,420","-11,413,409","-18,988,411","-23,223,580",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-490,570","-610,256","-1,671,843","-738,056","-263,111","-54,763",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,"68,929",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-52,178","-28,351","90,530","-77,419","-77,526","-498,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"13,901","272,427","-101,682","-84,924","-2,775,495","460,984",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,800,302","-8,745,815","-12,093,415","-12,313,808","-22,104,543","-23,246,430",Upgrade,Financials in CAD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-3,207,227",-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-338,213","518,141",-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-220,"2,812","-1,523,409","51,975",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,"-1,118,467","-4,160,727","-10,255,672",-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-6,800,522","-8,743,003","-14,735,291","-16,760,773","-35,049,301","-23,246,430",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,-,"13,767","-2,187,601","-1,033,393",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"-6,800,522","-8,743,003","-14,735,291","-16,774,540","-32,861,700","-22,213,037",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-6,800,522","-8,743,003","-14,735,291","-16,774,540","-32,861,700","-22,213,037",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-6,800,522","-8,743,003","-14,735,291","-16,774,540","-32,861,700","-22,213,037",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"95,318,834","84,707,820","59,167,116","41,285,084","29,395,738","20,504,013",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"95,318,834","84,707,820","59,167,116","41,285,084","29,395,738","20,504,013",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),17.788%,43.167%,43.314%,40.446%,43.366%,50.899%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.071,-0.103,-0.249,-0.406,-1.118,-1.083,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.071,-0.103,-0.249,-0.406,-1.118,-1.083,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-3,262,016","-1,448,840","-7,486,086","-12,432,191","-15,590,578","-25,686,107",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.034,-0.017,-0.127,-0.301,-0.530,-1.253,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,44.857%,39.655%,27.554%,86.629%,-36.312%,54.764%,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-25.191%,-49.904%,-257.182%,-349.151%,-1209.407%,-13802.855%,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-27.316%,-52.068%,-364.025%,-513.155%,-2093.022%,-13202.242%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-13.103%,-8.628%,-184.938%,-380.317%,-992.992%,-15266.450%,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-5,752,576","-7,870,741","-9,786,416","-10,853,487","-18,207,810","-22,454,060",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-23.107%,-46.873%,-241.766%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"518,879","508,894","624,004","559,922","780,601","769,520",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-6,271,455","-8,379,635","-10,410,420","-11,413,409","-18,988,411","-23,223,580",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,-25.191%,-49.904%,-257.182%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue as Reported,"24,895,803","16,791,483","4,047,881","3,268,906","1,570,060","168,252",Upgrade,Financials in CAD,Fiscal year is January - December
