Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"114,328,000","117,308,000","118,040,000","114,835,000","114,392,000","116,737,000","117,665,000","114,279,000","108,739,000","98,914,000","99,502,000","111,769,000","96,189,000","91,251,000","58,398,323","47,764,775","45,486,365","28,310,633","33,552,681","32,282,616",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-0.056%,0.489%,0.319%,0.487%,5.199%,18.019%,18.254%,2.246%,13.047%,8.398%,70.385%,133.999%,111.468%,222.321%,74.050%,47.958%,41.756%,161.573%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"71,316,000","70,149,000","67,377,000","65,453,000","66,261,000","60,090,000","69,383,000","61,268,000","62,670,000","59,656,000","56,657,000","58,079,000","47,084,000","42,342,000","28,140,614","20,236,777","18,079,291","11,171,189","16,867,757","20,232,205",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"43,012,000","47,159,000","50,663,000","49,382,000","48,131,000","56,647,000","48,282,000","53,011,000","46,069,000","39,258,000","42,845,000","53,690,000","49,105,000","48,909,000","30,257,709","27,527,998","27,407,074","17,139,444","16,684,924","12,050,411",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","45,004,000","41,779,000","39,232,000","39,987,000","38,833,000","46,929,000","52,050,000","65,110,000","50,594,000","47,792,000","49,030,000","47,522,000","37,297,000","34,844,000","24,779,629","41,550,529","10,477,056","9,875,041","9,831,202","7,711,723",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"57,036,000","53,789,000","51,306,000","51,961,000","50,742,000","58,796,000","67,664,000","77,120,000","62,270,000","59,025,000","59,912,000","61,256,000","48,240,000","45,909,000","29,696,511","18,929,290","18,315,981","22,208,427","25,134,589","24,459,852",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-14,024,000","-6,630,000","-643,000","-2,579,000","-2,611,000","-2,149,000","-19,382,000","-24,109,000","-16,201,000","-19,767,000","-17,067,000","-7,566,000","865,000","3,000,000","561,198","8,598,708","9,091,093","-5,068,983","-8,449,665","-12,409,441",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-20,245,000","-20,327,000","-17,620,000","-10,569,000","-10,772,000","-10,496,000","-7,565,000","-7,832,000","-7,271,000","-6,913,000","-6,307,000","-5,698,000","-4,281,000","-3,818,000","-2,752,497","-1,618,009","-518,581","-525,179","-541,355","-1,176,279",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"58,000","92,000","103,000","152,000","193,000","233,000","165,000","223,000","12,000","11,000","29,000","44,000","37,000","65,000","59,400","5,078","5,033",26,-,"8,483",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,"-13,000","-6,000","-13,071","-2,209","-8,244","-8,013","-15,126","241,114",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,255","-6,419",191,"-2,810","-17,904",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"123,000","604,000","1,800,000","5,402,000","1,065,000","-3,514,000","279,000","287,000","-176,000",-,-,"82,000","517,000","457,000","-19,691",-,"-141,079","618,954","-683,028","2,957,131",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-34,088,000","-26,261,000","-16,360,000","-7,594,000","-12,125,000","-15,926,000","-26,503,000","-31,431,000","-23,636,000","-26,669,000","-23,345,000","-13,138,000","-2,875,000","-302,000","-2,164,661","6,984,823","8,421,803","-4,983,004","-9,691,984","-10,396,896",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,270,000","-1,041,000","-1,324,000","-620,000","1,182,000","-2,402,000","-2,241,000","-853,000","-1,451,000","-5,934,000","-3,964,000","-6,291,000","-9,765,000","-27,881,000","-8,929,365","-1,890,428","-557,457","-368,929","-128,379","-4,488,817",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-6,320,000",-,-,-,"-117,950,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"108,000","2,823,000","4,000","-25,000","-22,000","12,000","-58,000","-182,000","-1,810,000","2,000,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-2,150,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-79,172,000","-5,950,000","5,238,000",-,"27,597,000","29,470,000","1,847,000","1,701,000","30,079,000","52,845,000","19,267,000","12,091,000","-546,010","782,847","-368,103","-362,396","-356,778",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-37,400,000","-24,479,000","-96,852,000","-20,509,000","-5,727,000","-18,316,000","-1,205,000","-120,946,000","-25,050,000","-28,902,000","2,770,000","33,416,000","6,627,000","-16,092,000","-11,640,036","5,877,242","7,496,243","-5,714,329","-10,177,141","-14,885,713",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"13,113,000","14,827,000","11,484,000","9,783,000","13,543,000","12,887,000","11,178,000","16,572,000","9,626,000","8,589,000","9,962,000","9,628,000","10,006,000","4,646,000","4,981,600","6,829,084","6,875,870","4,247,576","4,134,934","2,578,522",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-50,513,000","-39,306,000","-108,336,000","-30,292,000","-19,270,000","-31,203,000","-12,383,000","-137,518,000","-34,676,000","-37,491,000","-7,192,000","23,788,000","-3,379,000","-20,738,000","-16,621,636","-951,842","620,373","-9,961,905","-14,312,075","-17,464,235",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,"-670,000","-996,000","559,000","-185,245,000","-31,098,000","-2,751,000","-2,758,000","-2,001,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-50,513,000","-39,306,000","-108,336,000","-30,962,000","-20,266,000","-30,644,000","-197,628,000","-168,616,000","-37,427,000","-40,249,000","-9,193,000","23,788,000","-3,379,000","-20,738,000","-16,621,636","-951,842","620,373","-9,961,905","-14,312,075","-17,464,235",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-113,000","548,000","2,261,000","2,311,000","1,020,000","711,000","3,025,000","5,201,000","1,310,000","1,892,000","1,617,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-50,626,000","-38,758,000","-106,075,000","-28,651,000","-19,246,000","-29,933,000","-194,603,000","-163,415,000","-36,117,000","-38,357,000","-7,576,000","23,788,000","-3,379,000","-20,738,000","-16,621,636","-951,842","620,373","-9,961,905","-14,312,075","-17,464,235",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-50,626,000","-38,758,000","-106,075,000","-28,651,000","-19,246,000","-29,933,000","-194,603,000","-163,415,000","-36,117,000","-38,357,000","-7,576,000","23,788,000","-3,379,000","-20,738,000","-16,621,636","-951,842","620,373","-9,961,905","-14,312,075","-17,464,235",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97.630%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"114,839,000","114,140,000","97,884,000","76,952,000","76,563,000","72,756,000","70,008,000","69,357,000","68,948,000","68,625,000","67,585,000","67,352,419","59,566,000","58,115,000","43,989,461","29,814,594","27,909,251","27,241,386","26,889,923","26,606,810",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"114,839,000","114,140,000","97,884,000","76,952,000","76,563,000","72,756,000","70,008,000","69,357,000","68,948,000","68,625,000","67,585,000","67,352,419","59,566,000","58,115,000","43,989,461","29,814,594","30,000,149","27,241,386","26,889,923","26,606,810",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),49.993%,56.881%,39.818%,10.951%,11.045%,6.020%,3.585%,2.976%,15.751%,18.085%,53.639%,125.904%,98.552%,113.333%,63.591%,12.056%,-3.784%,65.701%,627.446%,611.149%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.441,-0.340,-1.084,-0.372,-0.251,-0.411,-2.780,-2.356,-0.524,-0.559,-0.112,0.353,-0.057,-0.357,-0.378,-0.032,0.022,-0.366,-0.532,-0.656,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.441,-0.340,-1.084,-0.372,-0.251,-0.411,-2.780,-2.356,-0.524,-0.559,-0.112,0.353,-0.057,-0.357,-0.378,-0.032,0.020,-0.366,-0.532,-0.658,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97.619%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"8,528,000","-11,189,000","397,000","-7,554,000","11,459,000","-13,898,000","-520,000","-6,936,000","-10,080,000","-37,635,000","-52,834,000","-46,966,000","-26,804,000","-21,075,411","-32,938,589","-1,190,065","12,232,438","7,227,677","2,645,979","-3,995,641",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.074,-0.098,0.004,-0.098,0.150,-0.191,-0.007,-0.100,-0.146,-0.548,-0.782,-0.697,-0.450,-0.363,-0.749,-0.040,0.408,0.265,0.098,-0.150,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,37.621%,40.201%,42.920%,43.002%,42.075%,48.525%,41.033%,46.387%,42.367%,39.689%,43.059%,48.036%,51.050%,53.598%,51.813%,57.632%,60.253%,60.541%,49.727%,37.328%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-12.266%,-5.652%,-0.545%,-2.246%,-2.283%,-1.841%,-16.472%,-21.097%,-14.899%,-19.984%,-17.152%,-6.769%,0.899%,3.288%,0.961%,18.002%,19.986%,-17.905%,-25.183%,-38.440%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-44.281%,-33.040%,-89.864%,-24.950%,-16.825%,-25.641%,-165.387%,-142.997%,-33.214%,-38.778%,-7.614%,21.283%,-3.513%,-22.726%,-28.463%,-1.993%,1.364%,-35.188%,-42.656%,-54.098%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,7.459%,-9.538%,0.336%,-6.578%,10.017%,-11.905%,-0.442%,-6.069%,-9.270%,-38.048%,-53.098%,-42.021%,-27.866%,-23.096%,-56.403%,-2.492%,26.893%,25.530%,7.886%,-12.377%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"5,368,000","13,194,000","19,686,000","12,480,000","17,626,000","17,849,000","3,924,000","-7,807,000","3,348,000","-759,000","-547,000","12,318,000","16,849,000","17,363,894","8,037,304","13,078,048","13,263,609","-1,019,597","-4,639,417","-8,707,648",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,4.695%,11.247%,16.677%,10.868%,15.408%,15.290%,3.335%,-6.832%,3.079%,-0.767%,-0.550%,11.021%,17.517%,19.029%,13.763%,27.380%,29.159%,-3.601%,-13.827%,-26.973%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"19,392,000","19,824,000","20,329,000","15,059,000","20,237,000","19,998,000","23,306,000","16,302,000","19,549,000","19,008,000","16,520,000","19,884,000","15,984,000","14,363,894","7,476,106","4,479,340","4,172,516","4,049,386","3,810,248","3,701,793",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-14,024,000","-6,630,000","-643,000","-2,579,000","-2,611,000","-2,149,000","-19,382,000","-24,109,000","-16,201,000","-19,767,000","-17,067,000","-7,566,000","865,000","3,000,000","561,198","8,598,708","9,091,093","-5,068,983","-8,449,665","-12,409,441",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-12.266%,-5.652%,-0.545%,-2.246%,-2.283%,-1.841%,-16.472%,-21.097%,-14.899%,-19.984%,-17.152%,-6.769%,0.899%,3.288%,0.961%,18.002%,19.986%,-17.905%,-25.183%,-38.440%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,359.639%,28.813%,150.988%,-,-,116.195%,91.724%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
