Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"8,305,170","6,380,224","6,487,158","5,805,379","6,468,014","4,497,977","2,852,865","3,093,327","2,047,669","2,159,999","2,389,341","2,970,774","1,865,878","2,659,087","2,626,516","1,560,073","787,980","602,376","9,453",Financials in CAD,Fiscal year is July - June
Revenue Growth (YoY),28.404%,41.847%,127.391%,87.674%,215.872%,108.240%,19.400%,4.125%,9.743%,-18.769%,-9.030%,90.425%,136.793%,341.433%,27684.999%,-,-,-,-,Financials in CAD,Fiscal year is July - June
Cost of Revenue,"5,129,189","5,226,513","4,067,916","3,673,636","4,196,249","3,385,434","2,013,472","1,731,826","1,681,441","2,640,116","2,176,240","1,414,158","934,884","356,518","784,355","1,257,941","619,454","123,730","114,479",Financials in CAD,Fiscal year is July - June
Gross Profit,"3,175,981","1,153,711","2,419,242","2,131,743","2,271,765","1,112,543","839,393","1,361,501","366,228","-480,117","213,101","1,556,616","930,994","2,302,569","1,842,161","302,132","168,526","478,646","-105,026",Financials in CAD,Fiscal year is July - June
"Selling, General & Admin","3,116,759","3,357,372","2,435,300","2,212,099","2,123,021","2,762,025","1,745,760","1,364,138","1,166,989","749,924","889,841","1,000,248","762,868","772,080","831,128","330,726","175,421","80,249","185,586",Financials in CAD,Fiscal year is July - June
Operating Expenses,"3,315,433","3,455,994","2,724,399","2,731,116","2,345,010","4,316,498","1,884,092","1,504,838","1,317,842","2,857,214","891,722","1,001,949","801,918","863,063","833,407","339,483","217,261","25,510","216,575",Financials in CAD,Fiscal year is July - June
Operating Income,"-139,452","-2,302,283","-305,157","-599,373","-73,245","-3,203,955","-1,044,699","-143,337","-951,614","-3,337,331","-678,621","554,667","129,076","1,439,506","1,008,754","-37,351","-48,735","453,136","-321,601",Financials in CAD,Fiscal year is July - June
Interest Expense,"-193,965","-364,496","-44,214","-171,885","-135,754","-21,071","-5,986",-,"-17,009","-54,549","-16,893","-19,820",-,"-23,731","-53,001","-125,836","-165,614","-545,331",-,Financials in CAD,Fiscal year is July - June
Interest & Investment Income,-,-,-,-,-,-,-,"13,878",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is July - June
