Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Feb '23 Feb 28, 2023","Feb '22 Feb 28, 2022","Feb '21 Feb 28, 2021","Feb '20 Feb 29, 2020",,
Revenue,"-355,505","61,482","269,239",151,534,-,Financials in CAD,Fiscal year is March - February
Revenue Growth (YoY),-,-77.165%,178203.974%,-71.723%,-,-,Financials in CAD,Fiscal year is March - February
Cost of Revenue,"186,546","313,593","440,946","1,134",261,-,Financials in CAD,Fiscal year is March - February
Gross Profit,"-542,051","-252,111","-171,707",-983,273,-,Financials in CAD,Fiscal year is March - February
"Selling, General & Admin","647,060","806,848","677,807","347,087","53,794","1,500",Financials in CAD,Fiscal year is March - February
Research & Development,-,-,754,"21,440",-,-,Financials in CAD,Fiscal year is March - February
Operating Expenses,"686,366","924,370","1,175,038","802,761","53,794","1,500",Financials in CAD,Fiscal year is March - February
Operating Income,"-1,228,417","-1,176,481","-1,346,745","-803,744","-53,521","-1,500",Financials in CAD,Fiscal year is March - February
Interest Expense,"-17,869","-14,324","-7,685","-6,835","-1,119",-,Financials in CAD,Fiscal year is March - February
Currency Exchange Gain (Loss),-11,-577,-446,-,-,-,Financials in CAD,Fiscal year is March - February
Other Non Operating Income (Expenses),"-42,001","-32,674","-58,941","-2,047,244","-1,472",-780,Financials in CAD,Fiscal year is March - February
Pretax Income,"-1,260,246","-1,224,056","-1,413,817","-2,857,823","-56,112","-2,280",Financials in CAD,Fiscal year is March - February
Net Income,"-1,260,246","-1,224,056","-1,413,817","-2,857,823","-56,112","-2,280",Financials in CAD,Fiscal year is March - February
Net Income to Common,"-1,260,246","-1,224,056","-1,413,817","-2,857,823","-56,112","-2,280",Financials in CAD,Fiscal year is March - February
Shares Outstanding (Basic),"62,974,484","55,034,819","45,924,972","29,524,989","4,294,521",-,Financials in CAD,Fiscal year is March - February
Shares Outstanding (Diluted),"62,974,484","55,034,819","45,924,972","29,524,989","4,294,521",-,Financials in CAD,Fiscal year is March - February
Shares Change (YoY),24.260%,19.836%,55.546%,587.504%,-,-,Financials in CAD,Fiscal year is March - February
EPS (Basic),-0.020,-0.022,-0.031,-0.097,-0.013,-,Financials in CAD,Fiscal year is March - February
EPS (Diluted),-0.020,-0.022,-0.031,-0.097,-0.013,-,Financials in CAD,Fiscal year is March - February
Free Cash Flow,"-565,025","-620,362","-1,431,705","-875,698","-109,571",-,Financials in CAD,Fiscal year is March - February
Free Cash Flow Per Share,-0.009,-0.011,-0.031,-0.030,-0.026,-,Financials in CAD,Fiscal year is March - February
Gross Margin,-,-,-63.775%,-,51.123%,-,Financials in CAD,Fiscal year is March - February
Operating Margin,-,-1913.537%,-500.204%,-532280.795%,-10022.659%,-,Financials in CAD,Fiscal year is March - February
Profit Margin,-,-1990.918%,-525.116%,-1892598.013%,-10507.865%,-,Financials in CAD,Fiscal year is March - February
Free Cash Flow Margin,-,-1009.014%,-531.760%,-579932.450%,-20518.914%,-,Financials in CAD,Fiscal year is March - February
EBITDA,"-1,214,697","-1,162,762","-1,333,026","-786,099",-,-,Financials in CAD,Fiscal year is March - February
D&A For EBITDA,"13,720","13,719","13,719","17,645",-,-,Financials in CAD,Fiscal year is March - February
EBIT,"-1,228,417","-1,176,481","-1,346,745","-803,744","-53,521","-1,500",Financials in CAD,Fiscal year is March - February
Advertising Expenses,-,"111,955","65,766","126,653","17,017",-,Financials in CAD,Fiscal year is March - February
