Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"23,507,726,296","2,458,779,000","1,415,921,000","1,176,283,000","308,874,000","428,212,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),50.222%,73.652%,20.372%,280.829%,-27.869%,116.029%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"3,838,025,840","379,920,000","286,475,000","164,906,000","1,365,534,000","998,528,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"19,669,700,456","2,078,859,000","1,129,446,000","1,011,377,000","-1,056,660,000","-570,316,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","12,230,715,024","1,505,312,000","1,278,663,000","990,123,000","600,176,000","388,249,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"13,464,427,613","1,778,594,000","1,640,508,000","1,459,239,000",-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"25,887,922,387","3,287,406,000","2,919,922,000","2,450,112,000","601,022,000","389,575,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"-6,218,221,932","-1,208,547,000","-1,790,476,000","-1,438,735,000","-1,657,682,000","-959,891,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-107,688,321","-4,229,000","-19,105,000","-28,209,000","-17,971,000","-10,298,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"526,103,451","78,238,000","71,585,000","12,452,000","19,969,000","19,429,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,"-55,105,912","-7,856,000","-3,682,000","-1,796,000","-491,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,268,969,547","-39,486,000","-194,322,000","8,314,000","25,502,000","7,174,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,123,882,260","-1,181,880,000","-1,936,000,000","-1,447,974,000","-1,630,673,000","-943,586,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-21,627,659","-6,873,000","-25,037,000","9,386,000","12,479,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"2,344,000",-,-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Other Unusual Items,"2,545,064,297","362,917,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"-5,620,810,622","-825,836,000","-1,961,037,000","-1,438,588,000","-1,618,194,000","-943,586,000",Upgrade,Financials in CNY,Fiscal year is January - December
Income Tax Expense,"372,519,144","55,872,000","42,778,000","19,228,000","10,397,000","6,992,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"-5,993,329,766","-881,708,000","-2,003,815,000","-1,457,816,000","-1,628,591,000","-950,578,000",Upgrade,Financials in CNY,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,"3,617,000","1,950,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"-5,993,329,766","-881,708,000","-2,003,815,000","-1,457,816,000","-1,624,974,000","-948,628,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"-5,993,329,766","-881,708,000","-2,003,815,000","-1,457,816,000","-1,624,974,000","-948,628,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"104,367,952","104,387,273","103,133,044","92,785,388","83,471,676","60,053,945",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"104,367,952","104,387,273","103,133,044","92,785,388","83,471,676","60,053,945",Upgrade,Financials in CNY,Fiscal year is January - December
