Fiscal Quarter,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015",+19 Quarters,,
Revenue,"1,306","3,465","3,774","5,736","9,086","8,225","12,089","10,395","15,485","24,276",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-85.626%,-57.872%,-68.782%,-44.820%,-41.324%,-66.119%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,390","1,653","1,752","2,065","93,150","4,373","10,146","6,058","14,369","11,070",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-6,084","1,812","2,022","3,671","-84,064","3,852","1,943","4,337","1,116","13,206",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","100,963","66,366","74,966","85,861","378,076","85,185","81,541","74,108","900,536","59,248","85,855","74,206","101,501","105,103","129,492","187,933","128,930","80,513","830,112","1,109,632",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,"184,315",-,-,"8,120","46,056","49,545","10,141",688,"59,734","56,871","116,802",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"100,963","66,366","74,966","85,861","378,076","85,185","81,541","74,108","900,536","243,563","85,855","74,206","109,621","151,159","179,037","198,074","129,618","140,247","886,983","1,226,434",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-107,047","-64,554","-72,944","-82,190","-462,140","-81,333","-79,598","-69,771","-899,420","-230,357","-85,855","-74,206","-109,621","-151,159","-179,037","-198,074","-129,618","-140,247","-886,983","-1,226,434",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-290,756","-56,002","-38,246","-7,545","-92,964","-184,624","-73,554","-64,145","-161,031","-37,124",-600,"-152,747","-126,178","-282,434","-235,524","-173,287","-58,963","-48,508","-49,577","-41,001",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,"-4,174",-,"-2,058",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"363,504","-61,078","-115,858","158,246","46,685","-97,578","53,146","700,240","151,899","3,993,216","-1,161,010","-5,100,091","-342,261","63,428","-189,191","101,329","-20,076",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-34,299","-181,634","-227,048","68,511","-508,419","-363,535","-100,006","566,324","-908,552","3,721,561","-1,247,465","-5,329,102","-578,060","-370,165","-603,752","-270,032","-208,657","-188,755","-936,560","-1,267,435",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,"340,647",-,"-340,647",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"6,750",-,-,-,-,-,-,-,"53,788",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-34,299","-181,634","-227,048","68,511","-501,669","-363,535","-100,006","566,324","-908,552","3,721,561","-1,247,465","-5,329,102","-183,625","-370,165","-944,399","-270,032","-208,657","-188,755","-936,560","-1,267,435",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-34,299","-181,634","-227,048","68,511","-501,669","-363,535","-100,006","566,324","-908,552","3,721,561","-1,247,465","-5,329,102","-183,625","-370,165","-944,399","-270,032","-208,657","-188,755","-936,560","-1,267,435",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-34,299","-181,634","-227,048","68,511","-501,669","-363,535","-100,006","566,324","-908,552","3,721,561","-1,247,465","-5,329,102","-183,625","-370,165","-944,399","-270,032","-208,657","-188,755","-936,560","-1,267,435",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-87.903%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"165,098,650","26,817,415","10,190,407","7,290,596","4,846,530","3,306,069","2,989,307","2,875,216","2,197,809","2,018,791","2,008,700","1,605,134","953,196","661,549","462,713","347,093","231,656","94,185","87,280","87,029",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"165,098,650","26,817,415","10,190,407","7,290,596","4,846,530","3,306,069","2,989,307","2,887,186","2,197,809","2,030,778","2,008,700","1,609,134","953,196","661,549","462,713","347,093","231,656","94,185","87,280","87,029",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3306.533%,711.157%,240.895%,152.516%,120.516%,62.798%,48.818%,79.425%,130.573%,206.973%,334.114%,363.603%,311.470%,602.393%,430.148%,298.825%,167.817%,13.640%,7.488%,14.682%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.007,-0.022,0.009,-0.104,-0.110,-0.033,0.197,-0.413,1.843,-0.621,-3.320,-0.193,-0.560,-2.041,-0.778,-0.901,-2.004,-10.731,-14.563,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.010,-0.022,0.009,-0.104,-0.110,-0.033,0.197,-0.413,1.830,-0.621,-3.320,-0.193,-0.560,-2.041,-0.778,-0.901,-2.004,-10.731,-14.563,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-95.229%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-71,012","-98,234","-109,196","-70,588","-126,407","-127,115","-128,902","-64,483","-136,567","-24,882","-234,544","-113,817","-80,584","-79,287","-85,081","-242,206","-193,019","-78,099","-69,438","-121,669",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.004,-0.011,-0.010,-0.026,-0.038,-0.043,-0.022,-0.062,-0.012,-0.117,-0.071,-0.085,-0.120,-0.184,-0.698,-0.833,-0.829,-0.796,-1.398,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,52.294%,53.577%,63.999%,-,46.833%,16.072%,41.722%,7.207%,54.399%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-8196.554%,-1863.030%,-1932.803%,-1432.880%,-5086.287%,-988.851%,-658.433%,-671.198%,-5808.331%,-948.908%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
