Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"25,435,000,000","22,123,000,000","18,790,000,000","15,529,000,000","15,261,000,000","14,248,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue Growth (YoY),19.582%,17.738%,20.999%,1.756%,7.110%,55.903%,Upgrade,Financials in SEK,Fiscal year is January - December
Cost of Revenue,"5,442,000,000","4,952,000,000","4,413,000,000","3,484,000,000","3,225,000,000","3,319,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gross Profit,"19,993,000,000","17,171,000,000","14,377,000,000","12,045,000,000","12,036,000,000","10,929,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
"Selling, General & Admin","10,725,000,000","9,773,000,000","7,637,000,000","6,294,000,000","5,981,000,000","4,807,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Research & Development,"3,340,000,000","2,743,000,000","2,252,000,000","1,987,000,000","1,594,000,000","1,448,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Operating Expenses,"-132,000,000","-9,000,000","-32,000,000","-30,000,000","-2,000,000","-23,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Expenses,"13,933,000,000","12,507,000,000","9,857,000,000","8,251,000,000","7,573,000,000","6,232,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Income,"6,060,000,000","4,664,000,000","4,520,000,000","3,794,000,000","4,463,000,000","4,697,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest Expense,"-1,366,000,000","-1,111,000,000","-458,000,000","-419,000,000","-454,000,000","-241,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest & Investment Income,"27,000,000","27,000,000","5,000,000",-,"1,000,000","5,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Currency Exchange Gain (Loss),"-91,000,000","-91,000,000","-44,000,000","18,000,000","-157,000,000","-38,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Non Operating Income (Expenses),"-50,000,000","-49,000,000","-27,000,000","-35,000,000","-33,000,000","-20,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBT Excluding Unusual Items,"4,580,000,000","3,440,000,000","3,996,000,000","3,358,000,000","3,820,000,000","4,403,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Merger & Restructuring Charges,"-122,000,000","-34,000,000","-363,000,000",-,-,"-128,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-1,000,000","-1,000,000",-,"-56,000,000","-2,000,000","34,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Asset Writedown,"-65,000,000","-65,000,000",-,"-7,000,000",-,"-63,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Unusual Items,"-185,000,000","-385,000,000","-312,000,000",-,"399,000,000",-,Upgrade,Financials in SEK,Fiscal year is January - December
Pretax Income,"4,207,000,000","2,955,000,000","3,321,000,000","3,295,000,000","4,217,000,000","4,246,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Income Tax Expense,"693,000,000","546,000,000","683,000,000","616,000,000","972,000,000","942,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income,"3,514,000,000","2,409,000,000","2,638,000,000","2,679,000,000","3,245,000,000","3,304,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income to Common,"3,514,000,000","2,409,000,000","2,638,000,000","2,679,000,000","3,245,000,000","3,304,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income Growth,26.905%,-8.681%,-1.530%,-17.442%,-1.786%,36.642%,Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Basic),"344,325,202","322,658,894","295,604,246","295,051,119","294,658,136","292,649,020",Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Diluted),"348,355,343","325,967,648","298,448,376","296,799,459","297,640,174","294,528,428",Upgrade,Financials in SEK,Fiscal year is January - December
Shares Change (YoY),11.975%,9.221%,0.556%,-0.282%,1.057%,8.841%,Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Basic),10.205,7.466,8.924,9.080,11.013,11.290,Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Diluted),10.084,7.390,8.839,9.030,10.900,11.220,Upgrade,Financials in SEK,Fiscal year is January - December
EPS Growth,13.277%,-16.394%,-2.115%,-17.156%,-2.852%,25.644%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow,"6,354,000,000","4,063,000,000","4,504,000,000","5,423,000,000","4,885,000,000","3,597,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Per Share,18.240,12.464,15.091,18.272,16.412,12.213,Upgrade,Financials in SEK,Fiscal year is January - December
