Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Other Revenue,"1,645,114","1,645,114","1,431,283","1,558,525","1,461,945","803,026",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"1,645,114","1,645,114","1,431,283","1,558,525","1,461,945","803,026",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),14.940%,14.940%,-8.164%,6.606%,82.055%,-25.149%,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"1,645,114","1,645,114","1,431,283","1,558,525","1,461,945","803,026",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","1,395,812","1,395,812","1,626,155","1,116,348","1,132,182","1,141,027",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"3,624,873","3,624,873","3,232,374","2,821,142","3,136,626","2,857,383",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"89,994","89,994","137,451","354,905","350,206","394,670",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"5,151,177","5,151,177","5,039,324","4,337,650","4,666,350","4,443,199",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-3,506,063","-3,506,063","-3,608,041","-2,779,125","-3,204,405","-3,640,173",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-1,086","-1,086","-4,389","-5,049","-1,261","-5,118",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"70,625","70,625","119,664","3,091","11,319","69,332",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-3,436,524","-3,436,524","-3,492,766","-2,781,083","-3,194,347","-3,575,959",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-3,436,524","-3,436,524","-3,492,766","-2,781,083","-3,194,347","-3,575,959",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-3,436,524","-3,436,524","-3,492,766","-2,781,083","-3,194,347","-3,575,959",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"902,170,065","902,170,065","820,841,956","701,932,713","701,932,713","654,163,613",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"902,170,065","902,170,065","820,841,956","701,932,713","701,932,713","654,163,613",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),9.908%,9.908%,16.940%,-,7.302%,16.964%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-3,568,566","-3,568,566","-3,290,035","-2,436,048","-3,413,320","-3,081,822",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.004,-0.004,-0.004,-0.003,-0.005,-0.005,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-213.120%,-213.120%,-252.084%,-178.318%,-219.188%,-453.307%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-208.893%,-208.893%,-244.030%,-178.443%,-218.500%,-445.310%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-216.919%,-216.919%,-229.866%,-156.305%,-233.478%,-383.776%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-3,504,489","-3,504,489","-3,601,555","-2,768,597","-3,191,995","-3,625,593",Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA Margin,-213.024%,-213.024%,-251.631%,-177.642%,-218.339%,-,Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"1,574","1,574","6,486","10,528","12,410","14,580",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-3,506,063","-3,506,063","-3,608,041","-2,779,125","-3,204,405","-3,640,173",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT Margin,-213.120%,-213.120%,-252.084%,-178.318%,-219.188%,-,Upgrade,Financials in AUD,Fiscal year is July - June
