Fiscal Year,TTM,FY 2020,FY 2019,FY 2018,FY 2009,FY 2008,2007,Currency,Fiscal_Year_period
Period Ending,"Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Sep '09 Sep 30, 2009","Sep '08 Sep 30, 2008",2007,,
Revenue,"87,646","100,626","318,526","372,305","298,211",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-76.459%,-68.409%,-14.445%,24.846%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"70,293","77,975","140,936","159,462","66,557",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"17,353","22,651","177,590","212,843","231,654",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","295,525","321,113","2,227,893","580,658","165,837","3,424",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,"7,524",121,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"295,525","321,113","2,227,893","580,658","173,361","3,545",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-278,172","-298,462","-2,050,303","-367,815","58,293","-3,545",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-114,646","-102,719",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),1,1,-,-,"-1,570",-129,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-278,171","-298,461","-2,050,303","-367,815","-57,923","-106,393",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-84,400",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-278,171","-298,461","-2,050,303","-367,815","-142,323","-106,393",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-278,171","-298,461","-2,050,303","-367,815","-142,323","-106,393",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,"-18,554",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-278,171","-298,461","-2,068,857","-367,815","-142,323","-106,393",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-278,171","-298,461","-2,068,857","-367,815","-142,323","-106,393",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"82,619,736","14,923,050","1,895,268",-,-,"29,553",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"82,619,736","14,923,050","1,895,268",-,-,"29,553",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,687.385%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.003,-0.020,-1.092,-,-,-3.600,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.003,-0.020,-1.092,-,-,-3.600,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-273,199","-292,766","-2,211,297","1,724",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.003,-0.020,-1.167,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,19.799%,22.510%,55.754%,57.169%,77.681%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-317.381%,-296.605%,-643.685%,-98.794%,19.548%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-317.380%,-296.604%,-649.510%,-98.794%,-47.726%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-311.707%,-290.945%,-694.228%,0.463%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-274,559","-294,849","-2,046,857","-364,273",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-293.015%,-,-97.843%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,613","3,613","3,446","3,542",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-278,172","-298,462","-2,050,303","-367,815","58,293","-3,545",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-296.605%,-,-98.794%,19.547%,-,Upgrade,Financials in USD,Fiscal year is January - December
