Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters,,
Revenue,-,-,"5,640,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"5,640,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,626,000","2,364,000","1,609,000","1,369,000","1,366,000","2,053,000","1,233,000","1,111,000","1,773,000","1,987,000","2,275,000","2,010,000","2,196,000","2,308,000","1,872,000","1,476,000","1,332,000","1,596,000","2,037,000","1,867,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"544,000","2,895,000","2,552,000","3,716,000","3,750,000","4,488,000","4,409,000","3,162,000","3,037,000","3,236,000","3,169,000","3,545,000","3,901,000","2,906,000","2,238,000","2,839,000","3,259,000","2,629,000","2,305,000","2,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,170,000","5,259,000","4,161,000","5,085,000","5,116,000","6,541,000","5,642,000","4,273,000","4,810,000","5,223,000","5,444,000","5,555,000","6,097,000","5,214,000","4,110,000","4,315,000","4,591,000","4,225,000","4,342,000","4,684,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,170,000","-5,259,000","1,479,000","-5,085,000","-5,116,000","-6,541,000","-5,642,000","-4,273,000","-4,810,000","-5,223,000","-5,444,000","-5,555,000","-6,097,000","-5,214,000","-4,110,000","-4,315,000","-4,591,000","-4,225,000","-4,342,000","-4,684,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-300,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"109,000","121,000","66,000","68,000","47,000","19,000","1,000","1,000","2,000","1,000","1,000",-,"9,000","7,000","34,000","57,000","89,000","121,000","130,000","96,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"1,000",-,-,-,-,"167,000","36,000","397,000","441,000","319,000","-193,000","-894,000","178,000","215,000","673,000","1,616,000","3,676,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,061,000","-5,138,000","1,545,000","-5,016,000","-5,069,000","-6,522,000","-5,641,000","-4,272,000","-4,641,000","-5,186,000","-5,046,000","-5,414,000","-5,769,000","-5,400,000","-4,970,000","-4,080,000","-4,287,000","-3,431,000","-2,596,000","-912,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"140,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,"7,000","-3,000","-415,000","-2,591,000","-2,164,000","-545,000",-,-,-,"-674,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,921,000","-5,138,000","1,545,000","-5,016,000","-5,069,000","-6,522,000","-5,641,000","-4,272,000","-4,634,000","-5,189,000","-5,461,000","-8,005,000","-7,933,000","-5,945,000","-4,970,000","-4,080,000","-4,287,000","-4,105,000","-2,596,000","-912,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-1,277,000",-,-,"-2,417,000",-,-,-,"-1,800,000",-,-,-,"-2,125,000",-,-,-,-,"-1,801,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,921,000","-5,138,000","2,822,000","-5,016,000","-5,069,000","-4,105,000","-5,641,000","-4,272,000","-4,634,000","-3,389,000","-5,461,000","-8,005,000","-7,933,000","-3,820,000","-4,970,000","-4,080,000","-4,287,000","-4,105,000","-795,000","-912,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,921,000","-5,138,000","2,822,000","-5,016,000","-5,069,000","-4,105,000","-5,641,000","-4,272,000","-4,634,000","-3,389,000","-5,461,000","-8,005,000","-7,933,000","-3,820,000","-4,970,000","-4,080,000","-4,287,000","-4,105,000","-795,000","-912,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,232,648","12,231,726","10,358,111","9,567,135","9,545,451","9,545,451","9,545,451","9,506,888","9,506,419","9,506,419","9,491,281","9,503,473","9,491,111","7,554,023","4,615,046","4,567,584","4,553,535","4,543,993","4,346,109","14,554,322",Upgrade,Financials in USD,Fiscal year is January - December
