Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Apr '24 Apr 30, 2024","Jul '23 Jul 31, 2023","Jul '22 Jul 31, 2022","Jul '21 Jul 31, 2021","Jul '20 Jul 31, 2020","Jul '19 Jul 31, 2019",2018 - 2014,,
Revenue,"22,975,543","22,819,983","23,372,823","26,900,869","5,287,289","4,612,218",Upgrade,Financials in USD,Fiscal year is August - July
Revenue Growth (YoY),75.168%,-2.365%,-13.115%,408.784%,14.637%,91.137%,Upgrade,Financials in USD,Fiscal year is August - July
Cost of Revenue,"21,146,788","21,051,809","19,496,243","17,849,185","4,869,113","3,762,687",Upgrade,Financials in USD,Fiscal year is August - July
Gross Profit,"1,828,755","1,768,174","3,876,580","9,051,684","418,176","849,531",Upgrade,Financials in USD,Fiscal year is August - July
"Selling, General & Admin","8,329,368","8,323,605","7,325,785","7,006,807","4,454,633","3,542,147",Upgrade,Financials in USD,Fiscal year is August - July
Operating Expenses,"8,929,274","9,438,113","8,388,582","8,464,357","5,898,987","3,555,017",Upgrade,Financials in USD,Fiscal year is August - July
Operating Income,"-7,100,519","-7,669,939","-4,512,002","587,327","-5,480,811","-2,705,486",Upgrade,Financials in USD,Fiscal year is August - July
Interest Expense,"-2,654,677","-1,718,859","-1,371,330","-53,394","-132,718","-1,242,808",Upgrade,Financials in USD,Fiscal year is August - July
Interest & Investment Income,"66,000","72,000","72,000","163,558","1,119,503","719,865",Upgrade,Financials in USD,Fiscal year is August - July
Earnings From Equity Investments,-,-,-,"13,219","397,119","-143,534",Upgrade,Financials in USD,Fiscal year is August - July
Currency Exchange Gain (Loss),-766,"1,499",323,235,"5,388","-241,862",Upgrade,Financials in USD,Fiscal year is August - July
Other Non Operating Income (Expenses),"36,118","80,777","147,457","-95,416","-39,951","-100,117",Upgrade,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,"-9,653,844","-9,234,522","-5,663,552","615,529","-4,131,470","-3,713,942",Upgrade,Financials in USD,Fiscal year is August - July
Gain (Loss) on Sale of Investments,-,-,-,"-592,547",-,-,Upgrade,Financials in USD,Fiscal year is August - July
Asset Writedown,"-9,494,742","-9,370,093","-20,517,192",-,"-1,008","-38,809",Upgrade,Financials in USD,Fiscal year is August - July
Other Unusual Items,"-389,788","450,411","-460,001","167,266","-331,743",-,Upgrade,Financials in USD,Fiscal year is August - July
Pretax Income,"-19,538,374","-18,154,204","-26,640,745","190,248","-4,464,221","-3,752,751",Upgrade,Financials in USD,Fiscal year is August - July
Income Tax Expense,"2,724,009","2,168,486","1,774,609","2,166,709","134,168",-,Upgrade,Financials in USD,Fiscal year is August - July
Earnings From Continuing Operations,"-22,262,383","-20,322,690","-28,415,354","-1,976,461","-4,598,389","-3,752,751",Upgrade,Financials in USD,Fiscal year is August - July
Minority Interest in Earnings,"-326,350","-460,127","-448,412","-284,441","257,843",-,Upgrade,Financials in USD,Fiscal year is August - July
Net Income,"-13,889,600","-20,782,817","-28,863,766","-2,260,902","-4,340,546","-3,752,751",Upgrade,Financials in USD,Fiscal year is August - July
Net Income to Common,"-13,889,600","-20,782,817","-28,863,766","-2,260,902","-4,340,546","-3,752,751",Upgrade,Financials in USD,Fiscal year is August - July
Shares Outstanding (Basic),"146,582,558","134,345,873","112,209,254","108,463,019","102,644,757","69,548,041",Upgrade,Financials in USD,Fiscal year is August - July
Shares Outstanding (Diluted),"146,582,558","134,345,873","112,209,254","108,463,019","102,644,757","69,548,041",Upgrade,Financials in USD,Fiscal year is August - July
Shares Change (YoY),16.329%,19.728%,3.454%,5.668%,47.588%,78.630%,Upgrade,Financials in USD,Fiscal year is August - July
EPS (Basic),-0.095,-0.155,-0.257,-0.021,-0.042,-0.054,Upgrade,Financials in USD,Fiscal year is August - July
EPS (Diluted),-0.095,-0.155,-0.257,-0.021,-0.042,-0.054,Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow,"-4,336,309","-4,826,290","-3,708,791","-107,494","-3,181,884","-3,597,605",Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow Per Share,-0.030,-0.036,-0.033,-0.001,-0.031,-0.052,Upgrade,Financials in USD,Fiscal year is August - July
Gross Margin,7.960%,7.748%,16.586%,33.648%,7.909%,18.419%,Upgrade,Financials in USD,Fiscal year is August - July
Operating Margin,-30.905%,-33.611%,-19.304%,2.183%,-103.660%,-58.659%,Upgrade,Financials in USD,Fiscal year is August - July
Profit Margin,-60.454%,-91.073%,-123.493%,-8.405%,-82.094%,-81.365%,Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow Margin,-18.874%,-21.149%,-15.868%,-0.400%,-60.180%,-78.002%,Upgrade,Financials in USD,Fiscal year is August - July
EBITDA,"-5,716,791","-5,867,646","-2,703,812","2,475,599","-5,024,681","-2,415,926",Upgrade,Financials in USD,Fiscal year is August - July
EBITDA Margin,-24.882%,-25.713%,-11.568%,9.203%,-95.033%,-52.381%,Upgrade,Financials in USD,Fiscal year is August - July
D&A For EBITDA,"1,383,728","1,802,293","1,808,190","1,888,272","456,130","289,560",Upgrade,Financials in USD,Fiscal year is August - July
EBIT,"-7,100,519","-7,669,939","-4,512,002","587,327","-5,480,811","-2,705,486",Upgrade,Financials in USD,Fiscal year is August - July
EBIT Margin,-30.905%,-33.611%,-19.304%,2.183%,-103.660%,-58.659%,Upgrade,Financials in USD,Fiscal year is August - July
Effective Tax Rate,-,-,-,1138.887%,-,-,Upgrade,Financials in USD,Fiscal year is August - July
