Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters,,
"Selling, General & Admin","2,285,000","2,727,000","2,761,000","2,184,000","5,053,000","4,231,000","2,919,000","2,018,000","2,003,000","1,804,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"2,105,000","5,082,000","3,763,000","9,167,000","6,867,000","12,071,000","7,594,000","4,729,000","5,192,000","4,261,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"4,390,000","7,809,000","6,524,000","11,351,000","11,920,000","16,302,000","10,513,000","6,747,000","7,195,000","6,065,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-4,390,000","-7,809,000","-6,524,000","-11,351,000","-11,920,000","-16,302,000","-10,513,000","-6,747,000","-7,195,000","-6,065,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-785,000","-700,000","-724,000","-1,413,000","-1,004,000","-417,000","-252,000","-812,000","-458,000","-549,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,-,-,-,"990,000",-,-,"20,000","34,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"26,000","77,000","-34,000","-31,000",-,"13,000","1,000","-14,000","-15,000","8,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-665,000","-1,419,000","107,000","1,015,000","-427,000","-1,717,000","-302,000","-9,696,000","-614,000","-355,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,814,000","-9,851,000","-7,175,000","-10,790,000","-13,351,000","-18,423,000","-11,046,000","-17,235,000","-8,282,000","-6,961,000",Upgrade,Financials in EUR,Fiscal year is January - December
Legal Settlements,-,-,-,-,"-75,000","-187,000","-1,508,000",-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,"-3,000","589,000","-589,000","-1,028,000","1,028,000","691,000","-691,000","5,417,000","-5,417,000","-1,867,000",Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-5,817,000","-9,262,000","-7,764,000","-11,818,000","-12,398,000","-17,919,000","-13,245,000","-11,818,000","-13,699,000","-8,828,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,"-80,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"-5,817,000","-9,262,000","-7,764,000","-11,818,000","-12,398,000","-17,919,000","-13,245,000","-11,818,000","-13,699,000","-8,748,000",Upgrade,Financials in EUR,Fiscal year is January - December
Minority Interest in Earnings,"5,000",-,-,-,-,"1,000",-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-5,812,000","-9,262,000","-7,764,000","-11,818,000","-12,398,000","-17,918,000","-13,245,000","-11,818,000","-13,699,000","-8,748,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-5,812,000","-9,262,000","-7,764,000","-11,818,000","-12,398,000","-17,918,000","-13,245,000","-11,818,000","-13,699,000","-8,748,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"3,499,971","1,896,499","818,873","504,688","369,508","314,712","276,702","206,843","93,029","50,998",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"3,499,971","1,896,499","818,873","504,688","369,508","314,712","276,702","206,843","93,029","50,998",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),327.413%,275.777%,121.612%,60.365%,33.540%,52.150%,197.436%,305.590%,178.397%,52.940%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-1.661,-4.884,-9.481,-23.416,-33.553,-56.935,-47.867,-57.135,-147.255,-171.536,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-1.661,-5.136,-9.481,-25.071,-33.553,-56.935,-48.000,-58.115,-148.000,-171.581,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-5,962,000","-4,841,000","-8,252,000","-8,844,000","-10,285,000","-10,619,000","-13,520,000","-10,172,000","215,000","-4,687,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-1.703,-2.553,-10.077,-17.524,-27.834,-33.742,-48.861,-49.177,2.311,-91.906,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-4,268,000","-7,397,000","-6,268,000","-11,269,000","-11,770,000","-16,121,000","-10,383,000","-6,647,000","-7,061,000","-5,940,000",Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"122,000","412,000","256,000","82,000","150,000","181,000","130,000","100,000","134,000","125,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-4,390,000","-7,809,000","-6,524,000","-11,351,000","-11,920,000","-16,302,000","-10,513,000","-6,747,000","-7,195,000","-6,065,000",Upgrade,Financials in EUR,Fiscal year is January - December
