Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"167,141,000","615,995,000","228,291,000","23,146,000","62,347,000","281,772,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Revenue,-,-,"1,141,000","2,517,000","2,859,000","1,172,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue,"167,141,000","615,995,000","229,432,000","25,663,000","65,206,000","282,944,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue Growth (YoY),-72.459%,168.487%,794.019%,-60.643%,-76.954%,-60.823%,Upgrade,Financials in SEK,Fiscal year is January - December
Cost of Revenue,"90,504,000","89,627,000","74,326,000","55,067,000","50,242,000","72,422,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gross Profit,"76,637,000","526,368,000","155,106,000","-29,404,000","14,964,000","210,522,000",Upgrade,Financials in SEK,Fiscal year is January - December
"Selling, General & Admin","220,080,000","251,251,000","148,665,000","97,351,000","86,347,000","90,884,000",Upgrade,Financials in SEK,Fiscal year is January - December
Research & Development,"94,023,000",-,-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Other Operating Expenses,"19,000","-270,000","-254,000","-9,000","-79,000","-650,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Expenses,"332,550,000","269,409,000","163,044,000","110,449,000","97,281,000","99,433,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Income,"-255,913,000","256,959,000","-7,938,000","-139,853,000","-82,317,000","111,089,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest Expense,-,"-328,000","-559,000","-838,000","-984,000","-1,192,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest & Investment Income,"41,890,000","34,228,000","2,535,000",-,"7,000","253,000",Upgrade,Financials in SEK,Fiscal year is January - December
Currency Exchange Gain (Loss),"-7,195,000","-14,323,000","-5,014,000","333,000","-3,074,000","2,827,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Non Operating Income (Expenses),"-50,000","-50,000","-192,000","-146,000","-114,000","-2,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBT Excluding Unusual Items,"-221,268,000","276,486,000","-11,168,000","-140,504,000","-86,482,000","112,975,000",Upgrade,Financials in SEK,Fiscal year is January - December
