Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,-,"617,000","51,626,000",-,-,-,Financials in CNY,Fiscal year is January - December
Other Revenue,"38,380,000","55,705,000","70,653,000","92,542,000","82,218,000","20,196,000",Financials in CNY,Fiscal year is January - December
Revenue,"38,380,000","56,322,000","122,279,000","92,542,000","82,218,000","20,196,000",Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-71.463%,-53.940%,32.134%,12.557%,307.100%,-,Financials in CNY,Fiscal year is January - December
Gross Profit,"38,380,000","56,322,000","122,279,000","92,542,000","82,218,000","20,196,000",Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","172,344,000","197,918,000","195,490,000","208,404,000","103,396,000","63,334,000",Financials in CNY,Fiscal year is January - December
Research & Development,"326,699,000","402,705,000","440,634,000","494,615,000","875,795,000","83,785,000",Financials in CNY,Fiscal year is January - December
Operating Expenses,"531,999,000","600,623,000","636,124,000","703,019,000","979,191,000","147,119,000",Financials in CNY,Fiscal year is January - December
Operating Income,"-493,619,000","-544,301,000","-513,845,000","-610,477,000","-896,973,000","-126,923,000",Financials in CNY,Fiscal year is January - December
Interest Expense,"-1,229,000","-494,000","-851,000","-1,175,000","-1,668,000","-1,113,000",Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"110,364,000","108,023,000","37,204,000","6,490,000","2,407,000","143,000",Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"137,339,000","121,590,000","-43,975,000","267,000","-6,974,000","3,142,000",Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"-401,575,000",Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"-247,145,000","-315,182,000","-521,467,000","-604,895,000","-903,208,000","-526,326,000",Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-23,637,000","136,244,000","31,686,000","44,795,000","-15,019,000","5,298,000",Financials in CNY,Fiscal year is January - December
Asset Writedown,-,"-5,432,000",-,-,-,-,Financials in CNY,Fiscal year is January - December
Other Unusual Items,-,-,-,"-3,630,984,000","-365,283,000",-,Financials in CNY,Fiscal year is January - December
Pretax Income,"-270,782,000","-184,370,000","-489,781,000","-4,191,084,000","-1,283,510,000","-521,028,000",Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"-270,782,000","-184,370,000","-489,781,000","-4,191,084,000","-1,283,510,000","-521,028,000",Financials in CNY,Fiscal year is January - December
Minority Interest in Earnings,"5,335,000","9,541,000","5,469,000","27,235,000","93,910,000",-,Financials in CNY,Fiscal year is January - December
Net Income,"-265,447,000","-174,829,000","-484,312,000","-4,163,849,000","-1,189,600,000","-521,028,000",Financials in CNY,Fiscal year is January - December
Net Income to Common,"-265,447,000","-174,829,000","-484,312,000","-4,163,849,000","-1,189,600,000","-521,028,000",Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"729,212,500","728,100,000","723,478,000","439,047,000","191,246,652","178,604,839",Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"729,212,500","728,100,000","723,478,000","439,047,000","191,246,652","178,604,839",Financials in CNY,Fiscal year is January - December
Shares Change (YoY),0.397%,0.639%,64.784%,129.571%,7.078%,-,Financials in CNY,Fiscal year is January - December
EPS (Basic),-0.364,-0.240,-0.669,-9.484,-6.220,-2.917,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-0.364,-0.240,-0.669,-9.484,-6.220,-2.917,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-466,806,000","-594,014,000","-496,279,000","-880,486,000","-403,716,000","-91,423,000",Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.640,-0.816,-0.686,-2.005,-2.111,-0.512,Financials in CNY,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in CNY,Fiscal year is January - December
Operating Margin,-1286.136%,-966.409%,-420.223%,-659.676%,-1090.969%,-628.456%,Financials in CNY,Fiscal year is January - December
Profit Margin,-691.628%,-310.410%,-396.071%,-4499.415%,-1446.885%,-2579.857%,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-1216.274%,-1054.675%,-405.858%,-951.445%,-491.031%,-452.679%,Financials in CNY,Fiscal year is January - December
EBITDA,"-488,484,000","-537,312,000","-505,498,000","-602,799,000","-890,787,000","-124,110,000",Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"5,135,000","6,989,000","8,347,000","7,678,000","6,186,000","2,813,000",Financials in CNY,Fiscal year is January - December
EBIT,"-493,619,000","-544,301,000","-513,845,000","-610,477,000","-896,973,000","-126,923,000",Financials in CNY,Fiscal year is January - December
