Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",,
Operating Revenue,-,-,"617,000","51,626,000",-,-,-,-,-,Financials in CNY,Fiscal year is January - December
Other Revenue,"22,155,000","16,225,000","39,480,000","42,768,000","27,885,000","46,882,000","45,660,000","61,113,000","21,105,000",Financials in CNY,Fiscal year is January - December
Revenue,"22,155,000","16,225,000","40,097,000","94,394,000","27,885,000","46,882,000","45,660,000","61,113,000","21,105,000",Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-44.746%,-82.811%,43.794%,101.344%,-38.929%,-23.286%,116.347%,-,-,Financials in CNY,Fiscal year is January - December
Gross Profit,"22,155,000","16,225,000","40,097,000","94,394,000","27,885,000","46,882,000","45,660,000","61,113,000","21,105,000",Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","78,629,000","93,715,000","104,203,000","84,647,000","110,843,000","140,414,000","67,990,000","62,230,000","41,166,000",Financials in CNY,Fiscal year is January - December
Research & Development,"126,169,000","200,530,000","202,175,000","182,150,000","258,484,000","337,004,000","157,611,000","610,053,000","265,742,000",Financials in CNY,Fiscal year is January - December
Operating Expenses,"237,754,000","294,245,000","306,378,000","266,797,000","369,327,000","477,418,000","225,601,000","672,283,000","306,908,000",Financials in CNY,Fiscal year is January - December
Operating Income,"-215,599,000","-278,020,000","-266,281,000","-172,403,000","-341,442,000","-430,536,000","-179,941,000","-611,170,000","-285,803,000",Financials in CNY,Fiscal year is January - December
Interest Expense,"-989,000","-240,000","-254,000","-371,000","-480,000","-282,000","-893,000","-834,000","-834,000",Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"48,724,000","61,640,000","46,383,000","26,861,000","10,343,000","5,870,000","620,000","657,000","1,750,000",Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,040,000","138,379,000","-16,789,000","-4,129,000","-39,846,000","331,000","-64,000","-9,456,000","2,482,000",Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"2,751,575,000","-2,751,575,000","27,701,000","-27,701,000",Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"-168,904,000","-78,241,000","-236,941,000","-150,042,000","-371,425,000","2,326,958,000","-2,931,853,000","-593,102,000","-310,106,000",Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-114,334,000","90,697,000","45,547,000","25,875,000","5,811,000","44,740,000","55,000","-16,897,000","1,878,000",Financials in CNY,Fiscal year is January - December
Asset Writedown,-,-,"-5,432,000",-,-,-,-,-,-,Financials in CNY,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-3,609,203,000","-21,781,000","-365,283,000",-,Financials in CNY,Fiscal year is January - December
Pretax Income,"-283,238,000","12,456,000","-196,826,000","-124,167,000","-365,614,000","-1,237,505,000","-2,953,579,000","-975,282,000","-308,228,000",Financials in CNY,Fiscal year is January - December
