Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Nov '20 Nov 30, 2020","Aug '20 Aug 31, 2020","May '20 May 31, 2020","Feb '20 Feb 29, 2020","Nov '19 Nov 30, 2019",+20 Quarters,,
Revenue,"277,471","278,163","260,428","263,782","244,408","188,247","89,016",-,-,346,"3,061","-15,610","9,544","14,256","5,748","7,539","6,315",-,-,"1,739",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),13.528%,47.765%,192.563%,-,-,54306.647%,2808.069%,-,-,-97.573%,-46.747%,-,51.132%,-,-,333.525%,0.413%,-,-,-95.803%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"162,476","172,046","157,847","100,411","146,000","117,211","78,667","-46,431",65,"46,668",847,"-12,444","11,425","5,861","1,368","2,047","2,418",-,-,"1,087",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"114,995","106,117","102,581","163,371","98,408","71,036","10,349","46,431",-65,"-46,322","2,214","-3,166","-1,881","8,395","4,380","5,492","3,897",-,-,652,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","377,463","356,360","405,384","428,285","394,600","538,538","453,719","947,607","1,134,507","965,910","974,889","316,490","111,491","254,524","284,704","206,787","90,824","3,211,735","316,339","398,377",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"377,463","356,360","405,384","428,285","394,600","538,538","453,719","947,607","1,134,507","965,910","974,889","314,057","112,302","255,335","285,515","207,598","90,824","3,212,546","317,200","399,213",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-262,468","-250,243","-302,803","-264,914","-296,192","-467,502","-443,370","-901,176","-1,134,572","-1,012,232","-972,675","-317,223","-114,183","-246,940","-281,135","-202,106","-86,927","-3,212,546","-317,200","-398,561",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-13,145","-10,652","-11,315","-4,173","-5,337",-,-,-,-,-,-,"-1,185",-,-,-,-,-,"-242,188","-275,656","-17,844",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,"2,750",53,447,-,181,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
