Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,"1,000","3,000","4,000",Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,"-519,000","161,000","154,000","203,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,"519,000","-160,000","-151,000","-199,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,508,000","4,785,000","5,536,000","5,273,000","5,519,000","5,358,000","5,672,000","5,750,000","2,328,000","1,436,000","1,609,000","707,000","1,063,000","388,000","513,000",Financials in USD,Fiscal year is January - December
Research & Development,"1,833,000","2,240,000","3,389,000","3,049,000","5,477,000","4,241,000","3,673,000","6,354,000","6,667,000","5,038,000","1,378,000","1,330,000","1,187,000","476,000","668,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"5,341,000","7,025,000","8,925,000","8,322,000","10,996,000","9,599,000","9,345,000","12,104,000","8,995,000","6,474,000","2,987,000","2,037,000","2,250,000","864,000","1,181,000",Financials in USD,Fiscal year is January - December
Operating Income,"-5,341,000","-7,025,000","-8,925,000","-8,322,000","-10,996,000","-9,599,000","-9,345,000","-12,104,000","-8,995,000","-6,474,000","-2,987,000","-1,518,000","-2,410,000","-1,015,000","-1,380,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-518,000","-563,000","-431,000","-439,000","-406,000","-329,000","-317,000","-182,000",-,"-1,000","-2,000","-2,000","-24,000","-41,000","-33,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"-1,611,000","-3,466,000","-2,821,000","-2,492,000","-149,000","338,000",-,-,Financials in USD,Fiscal year is January - December
