Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"1,363,361,000","1,427,497,000","831,472,000","2,447,260,000","1,376,400,000","1,986,627,000","1,252,053,000","1,290,473,000","1,003,565,000","536,699,000","320,056,000","543,967,000","448,656,000","369,999,000","535,253,000","228,915,000","558,488,000","699,575,000","365,405,000","290,193,000",Upgrade,Financials in DKK,Fiscal year is January - December
Revenue Growth (YoY),-0.947%,-28.145%,-33.591%,89.641%,37.151%,270.157%,291.198%,137.234%,123.683%,45.054%,-40.205%,137.628%,-19.666%,-47.111%,46.482%,-21.116%,287.572%,590.175%,188.097%,60.105%,Upgrade,Financials in DKK,Fiscal year is January - December
Cost of Revenue,"783,763,000","707,547,000","566,237,000","275,117,000","514,368,000","683,729,000","428,397,000","342,283,000","383,752,000","431,313,000","292,183,000","386,387,000","313,913,000","249,301,000","377,341,000","310,861,000","245,597,000","379,486,000","243,084,000","134,642,000",Upgrade,Financials in DKK,Fiscal year is January - December
Gross Profit,"579,598,000","719,950,000","265,235,000","2,172,143,000","862,032,000","1,302,898,000","823,656,000","948,190,000","619,813,000","105,386,000","27,873,000","157,580,000","134,743,000","120,698,000","157,912,000","-81,946,000","312,891,000","320,089,000","122,321,000","155,551,000",Upgrade,Financials in DKK,Fiscal year is January - December
"Selling, General & Admin","221,750,000","244,470,000","209,023,000","234,567,000","207,918,000","253,059,000","155,883,000","203,902,000","131,725,000","138,154,000","115,174,000","123,461,000","107,216,000","130,261,000","123,765,000","141,081,000","146,650,000","149,898,000","126,299,000","65,228,000",Upgrade,Financials in DKK,Fiscal year is January - December
Research & Development,"264,278,000","209,587,000","185,107,000","1,003,941,000","422,492,000","503,629,000","298,018,000","533,309,000","360,122,000","184,862,000","104,799,000","105,431,000","74,511,000","97,077,000","122,140,000","115,061,000","102,300,000","57,978,000","66,081,000","98,940,000",Upgrade,Financials in DKK,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-627,647,000",-,Upgrade,Financials in DKK,Fiscal year is January - December
Operating Expenses,"486,028,000","454,057,000","394,130,000","1,238,508,000","630,410,000","756,688,000","453,901,000","737,211,000","491,847,000","323,016,000","219,973,000","228,892,000","181,727,000","227,338,000","245,905,000","256,142,000","248,950,000","207,876,000","-435,267,000","164,168,000",Upgrade,Financials in DKK,Fiscal year is January - December
Operating Income,"93,570,000","265,893,000","-128,895,000","933,635,000","231,622,000","546,210,000","369,755,000","210,979,000","127,966,000","-217,630,000","-192,100,000","-71,312,000","-46,984,000","-106,640,000","-87,993,000","-338,088,000","63,941,000","112,213,000","557,588,000","-8,617,000",Upgrade,Financials in DKK,Fiscal year is January - December
Interest Expense,"-1,273,000","-1,250,000","-1,616,000",-,"-2,035,000","-793,000","-6,239,000","-1,026,000","-7,143,000","-3,960,000","-4,511,000","-5,014,000","-4,589,000","-4,222,000","-4,662,000","-4,374,000","-4,333,000","-4,689,000","-18,457,000","-6,440,000",Upgrade,Financials in DKK,Fiscal year is January - December
Interest & Investment Income,"15,857,000","22,201,000","6,574,000","22,864,000","13,674,000","14,209,000","6,007,000","4,230,000","6,409,000","4,459,000","4,471,000","3,741,000","3,481,000","3,230,000","2,332,000","2,419,000","2,644,000","2,545,000","1,341,000","3,494,000",Upgrade,Financials in DKK,Fiscal year is January - December
Currency Exchange Gain (Loss),"-18,052,000","-1,636,000","21,266,000","-11,111,000","9,442,000","-7,763,000","-3,397,000","-30,138,000","-13,676,000","29,532,000","7,263,000","-8,958,000","7,502,000","2,475,000","4,245,000","-13,729,000","-2,424,000","-3,491,000","6,768,000","-9,760,000",Upgrade,Financials in DKK,Fiscal year is January - December
