Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"1,691,557","377,930","59,285","3,713,088","2,754,835",-,95,"6,876,853","3,000","7,560,856",Financials in AUD,Fiscal year is July - June
Other Revenue,-,-,-,-,-,-,-283,"10,533","10,000",-,Financials in AUD,Fiscal year is July - June
Revenue,"1,691,557","377,930","59,285","3,713,088","2,754,835",-,-188,"6,887,386","13,000","7,560,856",Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),2753.263%,-89.822%,-97.848%,-,-,-,-,-8.907%,-22.374%,61.933%,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"2,673,990","978,208","636,670","5,090,828","6,112,500","4,180,007","2,225,974","4,345,425","5,319,159","8,379,834",Financials in AUD,Fiscal year is July - June
Gross Profit,"-982,433","-600,278","-577,385","-1,377,740","-3,357,665","-4,180,007","-2,226,162","2,541,961","-5,306,159","-818,978",Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","4,113,983","2,797,154","2,273,779","2,135,202","2,421,714","1,861,193","1,712,838","909,852","3,642,613","3,706,116",Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"405,227","627,226","784,042","346,929","561,809","326,136","102,661","307,915","438,756","342,065",Financials in AUD,Fiscal year is July - June
Operating Expenses,"7,483,235","4,926,033","3,936,925","3,234,289","3,301,629","2,346,918","1,780,989","1,914,888","4,429,088","6,130,973",Financials in AUD,Fiscal year is July - June
Operating Income,"-8,465,668","-5,526,311","-4,514,310","-4,612,029","-6,659,294","-6,526,925","-4,007,151","627,073","-9,735,247","-6,949,951",Financials in AUD,Fiscal year is July - June
Interest Expense,"-4,032","-6,627","-5,064","-76,672","-17,464","-19,976","-24,987","-30,954","-33,876","-17,106",Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"34,162","41,559","46,946","19,012","13,474","23,900","25,450","78,338","66,786","103,792",Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"32,993","24,215","-84,561","72,704","1,329","14,207","8,558","-10,328","-32,701","-132,406",Financials in AUD,Fiscal year is July - June
Pretax Income,"-8,402,545","-5,467,164","-4,556,989","-4,596,985","-6,661,955","-6,508,794","-3,998,130","664,129","-9,735,038","-6,995,671",Financials in AUD,Fiscal year is July - June
Net Income,"-8,402,545","-5,467,164","-4,556,989","-4,596,985","-6,661,955","-6,508,794","-3,998,130","664,129","-9,735,038","-6,995,671",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-8,402,545","-5,467,164","-4,556,989","-4,596,985","-6,661,955","-6,508,794","-3,998,130","664,129","-9,735,038","-6,995,671",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"1,564,399,660","1,438,727,368","1,286,350,858","1,021,552,222","974,822,357","971,461,791","997,114,818","948,755,714","964,212,969","908,528,701",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"1,564,399,660","1,438,727,368","1,286,350,858","1,021,552,222","974,822,357","971,461,791","997,114,818","948,755,714","964,212,969","908,528,701",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),21.615%,40.837%,31.957%,5.156%,-2.236%,2.393%,3.412%,4.428%,26.742%,19.512%,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.005,-0.004,-0.004,-0.004,-0.007,-0.007,-0.004,0.001,-0.010,-0.008,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.005,-0.004,-0.004,-0.004,-0.007,-0.007,-0.004,0.001,-0.010,-0.008,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-4,443,567","-3,796,414","-6,346,403","-5,735,233","-6,555,076","-4,636,187","2,398,430","-5,374,734","-2,767,945","-14,680,692",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.003,-0.003,-0.005,-0.006,-0.007,-0.005,0.002,-0.006,-0.003,-0.016,Financials in AUD,Fiscal year is July - June
Operating Margin,-500.466%,-1462.258%,-7614.591%,-124.210%,-241.731%,-,-,9.105%,-74886.515%,-91.920%,Financials in AUD,Fiscal year is July - June
Profit Margin,-496.734%,-1446.608%,-7686.580%,-123.805%,-241.828%,-,-,9.643%,-74884.908%,-92.525%,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-262.691%,-1004.528%,-10704.905%,-154.460%,-237.948%,-,-,-78.037%,-21291.885%,-194.167%,Financials in AUD,Fiscal year is July - June
EBITDA,"-8,401,492","-5,517,880","-4,503,876","-4,601,928","-6,649,881","-6,517,905","-3,999,095","635,442","-9,745,445","-6,927,865",Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"64,176","8,431","10,434","10,101","9,413","9,020","8,056","8,369","-10,198","22,086",Financials in AUD,Fiscal year is July - June
EBIT,"-8,465,668","-5,526,311","-4,514,310","-4,612,029","-6,659,294","-6,526,925","-4,007,151","627,073","-9,735,247","-6,949,951",Financials in AUD,Fiscal year is July - June
Revenue as Reported,-,-,-,-,"2,792,209",-,-,-,-,-,Financials in AUD,Fiscal year is July - June
