Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Jan '19 Jan 1, 2019",2018 - 2017,,
Revenue,"81,653,000","49,351,000","30,241,000","12,744,000","10,957,000","1,879,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),96.328%,63.192%,137.296%,16.309%,483.129%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"54,292,000","18,993,000","10,347,000","5,507,000","708,000","382,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"27,361,000","30,358,000","19,894,000","7,237,000","10,249,000","1,497,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","43,438,000","29,051,000","24,141,000","29,930,000","57,441,000","31,707,000",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"284,000","434,000","403,000","942,000","2,271,000","2,815,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Operating Expenses,"29,614,000","23,606,000","8,161,000","5,868,000","435,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"77,060,000","61,931,000","48,250,000","47,174,000","78,672,000","44,736,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-49,699,000","-31,573,000","-28,356,000","-39,937,000","-68,423,000","-43,239,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-8,189,000","-6,638,000","-11,582,000","-5,810,000","-215,000","-172,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"37,000","20,000","89,000","243,000","2,819,000","2,942,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,"-148,000","-1,072,000","-1,136,000",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,166,000","-603,000","-648,000","-680,000","-964,000","-1,810,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-55,685,000","-38,794,000","-40,497,000","-46,332,000","-67,855,000","-43,415,000",Upgrade,Financials in CAD,Fiscal year is January - December
Merger & Restructuring Charges,"-862,000","-208,000","-317,000",-,"-1,059,000","-2,137,000",Upgrade,Financials in CAD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-2,007,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-86,000",-,"-761,000","-4,584,000","-4,296,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-16,364,000","-1,170,000","-17,751,000","-455,000",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,"-84,612,000","-29,004,000","21,811,000","-120,602,000","-121,425,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,"46,176,000","32,817,000","-2,465,000","195,000","226,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-111,433,000","-36,359,000","-39,980,000","-171,778,000","-196,416,000","-45,552,000",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,"-436,000",-,"-666,000","-349,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"-111,433,000","-36,359,000","-39,544,000","-171,778,000","-195,750,000","-45,203,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Discontinued Operations,-,"-432,000","-2,753,000","-11,353,000",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Company,"-111,433,000","-36,791,000","-42,297,000","-183,131,000","-195,750,000","-45,203,000",Upgrade,Financials in CAD,Fiscal year is January - December
Minority Interest in Earnings,"5,897,000","1,287,000","159,000","590,000","595,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-105,536,000","-35,504,000","-42,138,000","-182,541,000","-195,155,000","-45,203,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-105,536,000","-35,504,000","-42,138,000","-182,541,000","-195,155,000","-45,203,000",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"155,701,429","86,533,945","55,210,913","36,969,878","27,584,035","21,996,813",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"155,701,429","86,533,945","55,210,913","36,969,878","27,584,035","21,996,813",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),114.944%,56.733%,49.340%,34.026%,25.400%,95.482%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.678,-0.410,-0.763,-4.938,-7.075,-2.055,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.678,-0.410,-0.763,-4.938,-7.075,-2.055,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-8,965,000","-10,118,000","-27,159,000","-86,217,000","-276,351,000","-143,898,000",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.058,-0.117,-0.492,-2.332,-10.019,-6.542,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,33.509%,61.514%,65.785%,56.788%,93.538%,79.670%,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-60.866%,-63.976%,-93.767%,-313.379%,-624.468%,-2301.171%,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-129.249%,-71.942%,-139.341%,-1432.368%,-1781.099%,-2405.695%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-10.979%,-20.502%,-89.809%,-676.530%,-2522.141%,-7658.222%,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-47,161,000","-23,657,000","-15,548,000","-33,589,000","-64,727,000","-42,179,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-57.758%,-47.936%,-51.414%,-263.567%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"2,538,000","7,916,000","12,808,000","6,348,000","3,696,000","1,060,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-49,699,000","-31,573,000","-28,356,000","-39,937,000","-68,423,000","-43,239,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,-60.866%,-63.976%,-93.767%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue as Reported,"81,653,000","49,351,000","30,241,000","12,744,000","10,957,000","1,879,000",Upgrade,Financials in CAD,Fiscal year is January - December
