Fiscal Quarter,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Currency,Fiscal_Year_period
Period Ending,"Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013",,
"Selling, General & Admin","89,627","45,882","72,592",-361,"997,073","280,369","350,807","177,959","867,048","363,708","82,242","30,572","-175,245","314,171","288,019","255,375","168,972","15,059","24,930","14,252",Financials in CAD,Fiscal year is April - March
Research & Development,"150,234","61,773","-35,000","85,000","1,434","1,030","4,091","1,075","1,269",118,993,804,"16,537","15,153","8,331","6,207","1,159",417,596,834,Financials in CAD,Fiscal year is April - March
Operating Expenses,"694,152","172,231","54,095","103,488","584,392","444,328","485,703","334,495","1,028,587","463,113","200,651","110,865","-61,712","568,906","301,190","265,418","175,863","16,481","25,526","15,086",Financials in CAD,Fiscal year is April - March
Operating Income,"-694,152","-172,231","-54,095","-103,488","-584,392","-444,328","-485,703","-334,495","-1,028,587","-463,113","-200,651","-110,865","61,712","-568,906","-301,190","-265,418","-175,863","-16,481","-25,526","-15,086",Financials in CAD,Fiscal year is April - March
Interest Expense,"-34,172","-112,835","-110,651","-75,081","-40,183","-15,804","-3,715","-6,942","-8,605","-23,658","-5,261","-1,631",-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"-6,115","-6,471",-138,"5,056","1,500","-2,034",-,-,-78,-492,"-1,046",-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-55,877","201,104","57,797","61,047","-7,359",-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-790,316","-90,433","-107,087","-112,466","-630,434","-462,166","-489,418","-341,437","-1,037,270","-487,263","-206,958","-112,496","61,712","-568,906","-301,190","-265,418","-175,863","-16,481","-25,527","-15,086",Financials in CAD,Fiscal year is April - March
Asset Writedown,-,-,-,-,-,-,-,-,"-15,970",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
