Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Aug '22 Aug 31, 2022","Aug '22 Aug 31, 2022","Aug '21 Aug 31, 2021","Aug '20 Aug 31, 2020","Aug '19 Aug 31, 2019","Aug '18 Aug 31, 2018",2017 - 2013,,
Revenue,"1,058,400","1,058,400","1,601,037","27,004",-,-,Upgrade,Financials in USD,Fiscal year is September - August
Revenue Growth (YoY),-33.893%,-33.893%,5828.888%,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Cost of Revenue,"1,173,837","1,173,837","1,416,779","24,521",-,-,Upgrade,Financials in USD,Fiscal year is September - August
Gross Profit,"-115,437","-115,437","184,258","2,483",-,-,Upgrade,Financials in USD,Fiscal year is September - August
"Selling, General & Admin","2,471,125","2,471,125","2,128,182","3,626,375","549,918","51,036",Upgrade,Financials in USD,Fiscal year is September - August
Operating Expenses,"2,471,125","2,471,125","2,128,182","3,626,375","549,918","51,036",Upgrade,Financials in USD,Fiscal year is September - August
Operating Income,"-2,586,562","-2,586,562","-1,943,924","-3,623,892","-549,918","-51,036",Upgrade,Financials in USD,Fiscal year is September - August
Interest Expense,"-6,169,941","-6,169,941","-7,437,340","-1,422,469","-7,827","-35,810",Upgrade,Financials in USD,Fiscal year is September - August
Earnings From Equity Investments,-,-,"-211,376",-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Other Non Operating Income (Expenses),"3,789,117","3,789,117","1,568,934","71,268",100,-,Upgrade,Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-4,967,386","-4,967,386","-8,023,706","-4,975,093","-557,645","-86,846",Upgrade,Financials in USD,Fiscal year is September - August
Gain (Loss) on Sale of Investments,"-2,128,082","-2,128,082","-55,435",-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Asset Writedown,"-11,918,121","-11,918,121",-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Other Unusual Items,"-23,800","-23,800","-36,841","45,745","168,048",-,Upgrade,Financials in USD,Fiscal year is September - August
Pretax Income,"-19,037,389","-19,037,389","-8,115,982","-4,929,348","-389,597","-86,846",Upgrade,Financials in USD,Fiscal year is September - August
Earnings From Continuing Operations,"-19,037,389","-19,037,389","-8,115,982","-4,929,348","-389,597","-86,846",Upgrade,Financials in USD,Fiscal year is September - August
Minority Interest in Earnings,"5,187,774","5,187,774","281,143",-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Net Income,"-13,849,615","-13,849,615","-7,834,839","-4,929,348","-389,597","-86,846",Upgrade,Financials in USD,Fiscal year is September - August
Net Income to Common,"-13,849,615","-13,849,615","-7,834,839","-4,929,348","-389,597","-86,846",Upgrade,Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"405,655,099","405,655,099","58,288,760","17,101,743","12,261,293","7,506,178",Upgrade,Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"405,655,099","405,655,099","58,288,760","17,101,743","12,261,293","7,506,178",Upgrade,Financials in USD,Fiscal year is September - August
Shares Change (YoY),595.941%,595.941%,240.835%,39.477%,63.349%,109.029%,Upgrade,Financials in USD,Fiscal year is September - August
EPS (Basic),-0.034,-0.034,-0.134,-0.288,-0.032,-0.012,Upgrade,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.034,-0.034,-0.134,-0.288,-0.032,-0.012,Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow,"-988,388","-988,388","-1,480,562","-1,537,640","-123,408","-35,734",Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,-0.002,-0.002,-0.025,-0.090,-0.010,-0.005,Upgrade,Financials in USD,Fiscal year is September - August
Gross Margin,-10.907%,-10.907%,11.509%,9.195%,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Operating Margin,-244.384%,-244.384%,-121.417%,-13419.834%,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Profit Margin,-1308.543%,-1308.543%,-489.360%,-18254.140%,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow Margin,-93.385%,-93.385%,-92.475%,-5694.119%,-,-,Upgrade,Financials in USD,Fiscal year is September - August
EBITDA,"-1,318,663","-1,318,663","-1,898,442","-3,620,550","-549,166",-,Upgrade,Financials in USD,Fiscal year is September - August
EBITDA Margin,-124.590%,-124.590%,-118.576%,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
D&A For EBITDA,"1,267,899","1,267,899","45,482","3,342",752,-,Upgrade,Financials in USD,Fiscal year is September - August
EBIT,"-2,586,562","-2,586,562","-1,943,924","-3,623,892","-549,918","-51,036",Upgrade,Financials in USD,Fiscal year is September - August
EBIT Margin,-244.384%,-244.384%,-121.416%,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Revenue as Reported,"1,058,400","1,058,400","1,601,037","27,004",-,-,Upgrade,Financials in USD,Fiscal year is September - August
Advertising Expenses,"85,084","85,084","64,667","213,302","1,155",792,Upgrade,Financials in USD,Fiscal year is September - August
