Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","May '24 May 31, 2024","May '23 May 31, 2023","May '22 May 31, 2022","May '21 May 31, 2021","May '20 May 31, 2020",,
Revenue,"354,907","248,841","316,825","214,980","761,737","290,233",Financials in USD,Fiscal year is June - May
Revenue Growth (YoY),44.333%,-21.458%,47.374%,-71.778%,162.457%,-,Financials in USD,Fiscal year is June - May
Cost of Revenue,"45,141","45,599","93,450","46,763","108,311",-,Financials in USD,Fiscal year is June - May
Gross Profit,"309,766","203,242","223,375","168,217","653,426","290,233",Financials in USD,Fiscal year is June - May
"Selling, General & Admin","616,726","689,382","1,206,746","1,056,275","769,732","850,268",Financials in USD,Fiscal year is June - May
Operating Expenses,"716,726","689,382","1,206,746","1,056,275","769,732","850,268",Financials in USD,Fiscal year is June - May
Operating Income,"-406,960","-486,140","-983,371","-888,058","-116,306","-560,035",Financials in USD,Fiscal year is June - May
Interest Expense,"-151,540","-154,206","-90,973","-51,036","-43,002","-3,101",Financials in USD,Fiscal year is June - May
Other Non Operating Income (Expenses),"-10,999","-10,999",-,-,-,"11,984",Financials in USD,Fiscal year is June - May
EBT Excluding Unusual Items,"-569,499","-651,345","-1,074,344","-939,094","-159,308","-551,152",Financials in USD,Fiscal year is June - May
Other Unusual Items,"23,638",-,"41,765","53,923",-,"10,000",Financials in USD,Fiscal year is June - May
Pretax Income,"-545,861","-651,345","-1,032,579","-885,171","-159,308","-541,152",Financials in USD,Fiscal year is June - May
Net Income,"-545,861","-651,345","-1,032,579","-885,171","-159,308","-541,152",Financials in USD,Fiscal year is June - May
Net Income to Common,"-545,861","-651,345","-1,032,579","-885,171","-159,308","-541,152",Financials in USD,Fiscal year is June - May
Shares Outstanding (Basic),"10,349,405,703","10,317,612,225","9,001,539,324","8,090,501,599","8,246,111,316","7,581,531,642",Financials in USD,Fiscal year is June - May
Shares Outstanding (Diluted),"10,349,405,703","10,317,612,225","9,001,539,324","8,090,501,599","8,246,111,316","7,581,531,642",Financials in USD,Fiscal year is June - May
Shares Change (YoY),9.579%,14.621%,11.261%,-1.887%,8.766%,-,Financials in USD,Fiscal year is June - May
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is June - May
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is June - May
Free Cash Flow,"-435,175","-479,382","-898,367","-855,704","-507,705","-293,139",Financials in USD,Fiscal year is June - May
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is June - May
Gross Margin,87.281%,81.675%,70.504%,78.248%,85.781%,100.000%,Financials in USD,Fiscal year is June - May
Operating Margin,-114.667%,-195.362%,-310.383%,-413.089%,-15.269%,-192.960%,Financials in USD,Fiscal year is June - May
Profit Margin,-153.804%,-261.751%,-325.915%,-411.746%,-20.914%,-186.454%,Financials in USD,Fiscal year is June - May
Free Cash Flow Margin,-122.617%,-192.646%,-283.553%,-398.039%,-66.651%,-101.001%,Financials in USD,Fiscal year is June - May
EBIT,"-406,960","-486,140","-983,371","-888,058","-116,306","-560,035",Financials in USD,Fiscal year is June - May
EBIT Margin,-114.667%,-195.362%,-,-,-15.268%,-192.960%,Financials in USD,Fiscal year is June - May
