Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
"Selling, General & Admin","11,741,000","12,151,000","11,757,000","11,625,000","9,809,000","8,707,774",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"18,473,000","44,738,000","35,508,000","22,614,000","18,057,000","22,416,651",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"30,214,000","56,889,000","47,265,000","34,239,000","27,866,000","31,124,425",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-30,214,000","-56,889,000","-47,265,000","-34,239,000","-27,866,000","-31,124,425",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"327,000","81,000","109,000","192,000","359,000","672,227",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"5,749,000","-626,000","26,874,000","5,891,000","14,713,000","-7,232,226",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,138,000","-57,434,000","-20,282,000","-28,156,000","-12,794,000","-37,684,424",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-7,719,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-24,138,000","-65,153,000","-20,282,000","-28,156,000","-12,794,000","-37,684,424",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-24,138,000","-65,153,000","-20,282,000","-28,156,000","-12,794,000","-37,684,424",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-24,138,000","-65,153,000","-20,282,000","-28,156,000","-12,794,000","-37,684,424",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,322,151","521,359","459,699","284,544","103,544","95,078",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,322,151","521,359","459,699","284,544","103,544","95,078",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),778.983%,13.413%,61.556%,174.805%,8.904%,36.813%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.585,-124.968,-44.120,-98.951,-123.561,-396.353,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.585,-124.968,-44.120,-98.951,-123.561,-396.353,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-35,649,000","-46,036,000","-41,125,000","-33,187,000","-27,448,000","-26,392,337",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-8.248,-88.300,-89.461,-116.632,-265.085,-277.586,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-30,055,000","-56,735,000","-47,117,000","-34,071,000","-27,697,000","-30,973,133",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"159,000","154,000","148,000","168,000","169,000","151,292",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-30,214,000","-56,889,000","-47,265,000","-34,239,000","-27,866,000","-31,124,425",Upgrade,Financials in USD,Fiscal year is January - December
