Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters,,
Revenue,"93,661","69,762","92,772","266,496","113,147","136,386","132,059","431,616",-,-,-,-,-,-,-,-,"605,427","1,058,317","2,714,801","3,164,407",Upgrade,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),-17.222%,-48.850%,-29.750%,-38.256%,-,-,-,-,-,-,-,-,-,-,-,-,0.795%,235.238%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Cost of Revenue,-,-,-,-,-,-,-,"40,000",-,-,-,-,-,-,-,-,"847,992","564,588","3,182,575","5,351,335",Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"93,661","69,762","92,772","266,496","113,147","136,386","132,059","391,616",-,-,-,-,-,-,-,-,"-242,565","493,729","-467,774","-2,186,928",Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","437,772","617,681","453,129","585,236","586,750","743,642","633,266","946,385","952,727","1,721,347","2,372,375","1,571,610","1,517,574","641,511","491,270",-,"1,360,026","2,591,838","1,609,190","1,456,280",Upgrade,Financials in CAD,Fiscal year is April - March
Research & Development,"50,687","1,777","8,822","2,963","1,472","13,557","52,189","-21,359","252,945","348,574","47,127","5,300","34,047","29,034","29,532",-,"59,941","72,758","42,837","-208,179",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"517,358","878,949","471,458","2,464,277","1,144,671","1,656,258","3,302,326","953,782","1,503,786","2,228,851","7,953,331","2,826,636","2,443,171","696,812","520,802",-,"2,525,182","3,334,642","2,368,326","1,297,381",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Income,"-423,697","-809,187","-378,686","-2,197,781","-1,031,524","-1,519,872","-3,170,267","-562,166","-1,503,786","-2,228,851","-7,953,331","-2,826,636","-2,443,171","-696,812","-520,802",-,"-2,767,747","-2,840,913","-2,836,100","-3,484,309",Upgrade,Financials in CAD,Fiscal year is April - March
Interest Expense,-,-,-,"-1,178","-2,083",-532,"-1,699","-3,589",-,"-4,835","-18,134",-,-,-,"-22,708",-,"-5,645","-38,847","-52,835","-21,000",Upgrade,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,-,-,-,-,-,-,-,-,"4,307",-,-,511,570,"5,155",-,-,-,-,-,41,Upgrade,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),-,"50,378","-45,663","-12,297","-6,593","160,486","-53,513","-33,112","276,493","-197,457","-25,180","17,593","20,805","9,253","-85,404",-,"-27,346","-37,128","-46,287","82,066",Upgrade,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-3,895","-433,247","-5,826","-576,421","-57,271","1,328,587","-20,764","23,726,282","-4,327,777","-3,226,940","-13,333","-36,509,749","-56,642","-15,536","-14,908",-,-,-,-,"222,812",Upgrade,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-427,592","-1,192,056","-430,175","-2,787,677","-1,097,471","-31,331","-3,246,243","23,127,415","-5,550,763","-5,658,083","-8,009,978","-39,318,281","-2,478,438","-697,940","-643,822",-,"-2,800,738","-2,916,888","-2,935,222","-3,200,390",Upgrade,Financials in CAD,Fiscal year is April - March
Merger & Restructuring Charges,"-410,565",-,-,-,-,-,-,"-14,196,657",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Impairment of Goodwill,-,-,-,-,-,-,-,"-574,322",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,"706,753",-,"-139,842",-,"15,906,265","-20,564,753","1,219,986","-380,354",-,"-2,986,255","-208,297","4,176,411",-,Upgrade,Financials in CAD,Fiscal year is April - March
Asset Writedown,-,-,-,-,-,-,-,"-400,000",-,-,-,"-269,025",-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Unusual Items,"-2,501","-2,501","-3,389",849,"-84,506","-9,842","-8,720,138","-10,032,141","17,777","-97,601","-16,247,465","97,187",-,"225,066",-,-,-,"-250,329","-88,279","-1,204,405",Upgrade,Financials in CAD,Fiscal year is April - March
Pretax Income,"-840,658","-1,194,557","-433,564","-2,786,828","-1,181,977","-41,173","-11,966,381","-1,368,952","-5,532,986","-5,895,526","-24,257,443","-23,583,854","-23,043,191","747,112","-1,024,176",-,"-5,786,993","-3,375,514","1,152,910","-4,404,795",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Continuing Operations,"-840,658","-1,194,557","-433,564","-2,786,828","-1,181,977","-41,173","-11,966,381","-1,368,952","-5,532,986","-5,895,526","-24,257,443","-23,583,854","-23,043,191","747,112","-1,024,176",-,"-5,786,993","-3,375,514","1,152,910","-4,404,795",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,"-4,776,918","-1,384,282","-307,301","-1,426,665",-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Company,"-840,658","-1,194,557","-433,564","-2,786,828","-1,181,977","-41,173","-11,966,381","-1,368,952","-5,532,986","-5,895,526","-24,257,443","-28,360,772","-24,427,473","439,811","-2,450,841",-,"-5,786,993","-3,375,514","1,152,910","-4,404,795",Upgrade,Financials in CAD,Fiscal year is April - March
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,"-14,966","55,982","-74,853","64,424",-,"-223,844","-187,363","331,789","417,089",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income,"-840,658","-1,194,557","-433,564","-2,786,828","-1,181,977","-41,173","-11,966,381","-1,368,952","-5,532,986","-5,895,526","-24,257,443","-28,375,738","-24,371,491","364,958","-2,386,417",-,"-6,010,837","-3,562,877","1,484,699","-3,987,706",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Common,"-840,658","-1,194,557","-433,564","-2,786,828","-1,181,977","-41,173","-11,966,381","-1,368,952","-5,532,986","-5,895,526","-24,257,443","-28,375,738","-24,371,491","364,958","-2,386,417",-,"-6,010,837","-3,562,877","1,484,699","-3,987,706",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"44,882,329","44,882,329","44,877,860","35,889,112","31,343,114","30,083,000","25,567,593","16,197,697","14,983,864","14,067,551","12,379,797","8,859,541","8,429,437","2,208,969","1,726,458",-,"1,452,763","1,366,325","1,247,302","1,248,155",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"44,882,329","44,882,329","44,877,860","35,889,112","31,343,114","30,083,000","25,567,593","16,197,697","14,983,864","14,067,551","12,379,797","8,859,541","8,429,437","2,208,969","1,726,458",-,"1,452,763","1,366,325","1,247,302","1,248,155",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),43.197%,49.195%,75.526%,121.569%,109.179%,113.847%,106.527%,82.828%,77.756%,536.838%,617.063%,-,480.235%,61.672%,38.415%,-,27.382%,24.448%,18.319%,36.080%,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.019,-0.027,-0.010,-0.078,-0.038,-0.001,-0.468,-0.085,-0.369,-0.419,-1.959,-3.203,-2.891,0.165,-1.382,-,-4.138,-2.608,1.190,-3.195,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.019,-0.027,-0.010,-0.078,-0.038,-0.001,-0.468,-0.085,-0.369,-0.419,-1.959,-3.203,-2.891,0.165,-1.382,-,-4.138,-2.608,1.190,-3.195,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-73,744","-425,605","-259,610",-,-,"-307,377","-858,593","-36,993","-1,061,239","-1,592,733","-1,959,816","-674,147","-2,573,109","-308,967","-150,390",-,"-1,869,646","-5,033,470","-821,435","-1,828,221",Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.002,-0.009,-0.006,-,-,-0.010,-0.034,-0.002,-0.071,-0.113,-0.158,-0.076,-0.305,-0.140,-0.087,-,-1.287,-3.684,-0.659,-1.465,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,90.733%,-,-,-,-,-,-,-,-,-40.065%,46.652%,-17.230%,-69.110%,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Margin,-452.373%,-1159.925%,-408.190%,-824.696%,-911.667%,-1114.390%,-2400.644%,-130.247%,-,-,-,-,-,-,-,-,-457.156%,-268.437%,-104.468%,-110.109%,Upgrade,Financials in CAD,Fiscal year is April - March
