Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","Nov '23 Nov 30, 2023","Nov '22 Nov 30, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020","Nov '19 Nov 30, 2019",2018 - 2015,,
Revenue,"12,489,263","11,779,688","10,073,055","3,633,450",-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Revenue Growth (YoY),2.989%,16.943%,177.231%,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Cost of Revenue,"6,524,028","8,313,531","7,232,083","3,617,094","-4,764,675",-,Upgrade,Financials in CAD,Fiscal year is December - November
Gross Profit,"5,965,235","3,466,157","2,840,972","16,356","4,764,675",-,Upgrade,Financials in CAD,Fiscal year is December - November
"Selling, General & Admin","4,289,900","3,828,710","3,719,642","4,684,424","4,855,005","2,137,467",Upgrade,Financials in CAD,Fiscal year is December - November
Research & Development,"40,246","71,902","8,300","21,000","19,088",-,Upgrade,Financials in CAD,Fiscal year is December - November
Other Operating Expenses,"14,084","14,206","13,511","12,918","25,144",-,Upgrade,Financials in CAD,Fiscal year is December - November
Operating Expenses,"5,112,052","4,346,705","4,070,479","5,054,547","5,041,551","2,137,467",Upgrade,Financials in CAD,Fiscal year is December - November
Operating Income,"853,183","-880,548","-1,229,507","-5,038,191","-276,876","-2,137,467",Upgrade,Financials in CAD,Fiscal year is December - November
Interest Expense,"-1,722,512","-1,076,489","-759,775","-841,156","-572,378",-,Upgrade,Financials in CAD,Fiscal year is December - November
Interest & Investment Income,"53,390","13,812",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Currency Exchange Gain (Loss),"-41,871",-,"-5,774",447,990,-,Upgrade,Financials in CAD,Fiscal year is December - November
Other Non Operating Income (Expenses),"-351,452","-227,548","-32,665","-1,297,673","-2,019,684","-24,845",Upgrade,Financials in CAD,Fiscal year is December - November
EBT Excluding Unusual Items,"-1,209,262","-2,170,773","-2,027,721","-7,176,573","-2,867,948","-2,162,312",Upgrade,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Assets,-,-,-,"-4,900",-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Asset Writedown,"-2,176,000","-2,176,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Other Unusual Items,"244,078","214,946",-,"38,528","15,309",-,Upgrade,Financials in CAD,Fiscal year is December - November
Pretax Income,"-3,141,184","-4,131,827","-2,027,721","-7,142,945","-2,852,639","-2,162,312",Upgrade,Financials in CAD,Fiscal year is December - November
Net Income,"-3,141,184","-4,131,827","-2,027,721","-7,142,945","-2,852,639","-2,162,312",Upgrade,Financials in CAD,Fiscal year is December - November
Net Income to Common,"-3,141,184","-4,131,827","-2,027,721","-7,142,945","-2,852,639","-2,162,312",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Outstanding (Basic),"131,206,934","131,085,188","125,584,783","108,245,854","80,152,075","53,438,695",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Outstanding (Diluted),"131,206,934","131,085,188","125,584,783","108,245,854","80,152,075","53,438,695",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Change (YoY),0.394%,4.380%,16.018%,35.051%,49.989%,359.769%,Upgrade,Financials in CAD,Fiscal year is December - November
EPS (Basic),-0.024,-0.032,-0.016,-0.066,-0.036,-0.040,Upgrade,Financials in CAD,Fiscal year is December - November
EPS (Diluted),-0.024,-0.032,-0.016,-0.066,-0.036,-0.040,Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow,"-4,435,664","781,460","394,552","-5,849,767","-8,099,836","-5,063,246",Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow Per Share,-0.034,0.006,0.003,-0.054,-0.101,-0.095,Upgrade,Financials in CAD,Fiscal year is December - November
Gross Margin,47.763%,29.425%,28.204%,0.450%,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Operating Margin,6.831%,-7.475%,-12.206%,-138.661%,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Profit Margin,-25.151%,-35.076%,-20.130%,-196.589%,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow Margin,-35.516%,6.634%,3.917%,-160.998%,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
EBITDA,"1,302,233","-448,661","-909,957","-4,730,938","-156,058",-,Upgrade,Financials in CAD,Fiscal year is December - November
EBITDA Margin,10.427%,-3.809%,-9.034%,-130.205%,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
D&A For EBITDA,"449,050","431,887","319,550","307,253","120,818",-,Upgrade,Financials in CAD,Fiscal year is December - November
EBIT,"853,183","-880,548","-1,229,507","-5,038,191","-276,876","-2,137,467",Upgrade,Financials in CAD,Fiscal year is December - November
EBIT Margin,6.831%,-7.475%,-12.206%,-138.661%,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
