Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","2,133,302","2,604,751","2,179,160","2,695,164","2,639,482","1,174,816",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,896,483","1,577,995","1,996,173","1,323,408","998,554","2,630,385",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,029,785","4,182,746","4,175,333","4,018,572","3,638,036","3,805,201",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,029,785","-4,182,746","-4,175,333","-4,018,572","-3,638,036","-3,805,201",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,006,042","-1,048,686","-992,415","-1,360,703","-937,406","-307,947",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-70,704","10,900",-,-,"16,977","-136,800",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,106,531","-5,220,532","-5,167,748","-5,379,275","-4,558,465","-4,249,948",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-142,600","-142,600",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"17,893","41,920",-,"-93,160","-1,700","-225,547",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,231,238","-5,321,212","-5,167,748","-5,472,435","-4,560,165","-4,475,495",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,231,238","-5,321,212","-5,167,748","-5,472,435","-4,560,165","-4,475,495",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,338,689","1,228,685","1,157,486","973,205","877,736","741,981",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,569,927","-6,549,897","-6,325,234","-6,445,640","-5,437,901","-5,217,476",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"40,658,371","37,786,410","34,836,169","33,116,729","29,098,905","28,328,575",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,658,371","37,786,410","34,836,169","33,116,729","29,098,905","28,328,575",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.085%,8.469%,5.192%,13.807%,2.719%,2.827%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.162,-0.173,-0.182,-0.195,-0.187,-0.184,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.162,-0.173,-0.182,-0.195,-0.187,-0.184,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,658,126","-2,347,891","-3,138,686","-3,378,682","-2,774,631","-2,587,212",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.065,-0.062,-0.090,-0.102,-0.095,-0.091,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,029,785","-4,182,746","-4,175,333","-4,018,572","-3,638,036","-3,805,201",Upgrade,Financials in USD,Fiscal year is January - December
