Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Nov '24 Nov 30, 2024","May '24 May 31, 2024","May '23 May 31, 2023","May '22 May 31, 2022","May '21 May 31, 2021","May '20 May 31, 2020",2019 - 2015,,
Revenue,-,-,-,"1,853,902","762,547","463,154",Upgrade,Financials in CAD,Fiscal year is June - May
Revenue Growth (YoY),-,-,-,143.120%,64.642%,-,Upgrade,Financials in CAD,Fiscal year is June - May
Cost of Revenue,-,-,-,"1,320,498","606,105","316,918",Upgrade,Financials in CAD,Fiscal year is June - May
Gross Profit,-,-,-,"533,404","156,442","146,236",Upgrade,Financials in CAD,Fiscal year is June - May
"Selling, General & Admin","485,236","600,129","1,205,947","5,458,547","4,148,319","2,669,978",Upgrade,Financials in CAD,Fiscal year is June - May
Operating Expenses,"477,813","450,360","2,163,664","5,912,845","6,417,662","2,758,794",Upgrade,Financials in CAD,Fiscal year is June - May
Operating Income,"-477,813","-450,360","-2,163,664","-5,379,441","-6,261,220","-2,612,558",Upgrade,Financials in CAD,Fiscal year is June - May
Currency Exchange Gain (Loss),-,-,-,-,-,342,Upgrade,Financials in CAD,Fiscal year is June - May
Other Non Operating Income (Expenses),"104,621","1,565,694","-134,820","5,864,380","-8,018,945",-,Upgrade,Financials in CAD,Fiscal year is June - May
EBT Excluding Unusual Items,"-373,193","1,115,334","-2,298,484","484,939","-14,280,165","-2,612,216",Upgrade,Financials in CAD,Fiscal year is June - May
Other Unusual Items,-,-,-,-,"23,126",-,Upgrade,Financials in CAD,Fiscal year is June - May
Pretax Income,"-373,193","1,115,334","-2,298,484","484,939","-14,257,039","-2,612,216",Upgrade,Financials in CAD,Fiscal year is June - May
Earnings From Continuing Operations,"-373,193","1,115,334","-2,298,484","484,939","-14,257,039","-2,612,216",Upgrade,Financials in CAD,Fiscal year is June - May
Earnings From Discontinued Operations,"-431,195","-2,847,783","-4,856,324",-,-,-,Upgrade,Financials in CAD,Fiscal year is June - May
Net Income,"-804,388","-1,732,449","-7,154,808","484,939","-14,257,039","-2,612,216",Upgrade,Financials in CAD,Fiscal year is June - May
Net Income to Common,"-804,388","-1,732,449","-7,154,808","484,939","-14,257,039","-2,612,216",Upgrade,Financials in CAD,Fiscal year is June - May
Shares Outstanding (Basic),"11,579,734","11,576,919","8,114,120","7,574,950","6,607,554","6,054,165",Upgrade,Financials in CAD,Fiscal year is June - May
Shares Outstanding (Diluted),"11,579,734","11,576,919","8,114,120","7,971,737","6,607,554","6,054,165",Upgrade,Financials in CAD,Fiscal year is June - May
Shares Change (YoY),-56.377%,42.676%,1.786%,20.646%,9.141%,78.795%,Upgrade,Financials in CAD,Fiscal year is June - May
EPS (Basic),-0.069,-0.150,-0.882,0.064,-2.158,-0.431,Upgrade,Financials in CAD,Fiscal year is June - May
EPS (Diluted),-0.069,-0.150,-0.899,0.064,-2.200,-0.431,Upgrade,Financials in CAD,Fiscal year is June - May
Free Cash Flow,"-382,408","-2,335,739","-4,982,456","-5,594,791","-4,200,964","-2,404,389",Upgrade,Financials in CAD,Fiscal year is June - May
Free Cash Flow Per Share,-0.033,-0.202,-0.614,-0.702,-0.636,-0.397,Upgrade,Financials in CAD,Fiscal year is June - May
Gross Margin,-,-,-,28.772%,20.516%,31.574%,Upgrade,Financials in CAD,Fiscal year is June - May
Operating Margin,-,-,-,-290.169%,-821.093%,-564.080%,Upgrade,Financials in CAD,Fiscal year is June - May
Profit Margin,-,-,-,26.158%,-1869.660%,-564.006%,Upgrade,Financials in CAD,Fiscal year is June - May
Free Cash Flow Margin,-,-,-,-301.785%,-550.912%,-519.134%,Upgrade,Financials in CAD,Fiscal year is June - May
EBITDA,"-458,232","-436,728","-2,150,554","-5,364,497","-6,254,301","-2,608,725",Upgrade,Financials in CAD,Fiscal year is June - May
EBITDA Margin,-,-,-,-289.362%,-,-,Upgrade,Financials in CAD,Fiscal year is June - May
D&A For EBITDA,"19,581","13,632","13,110","14,944","6,919","3,833",Upgrade,Financials in CAD,Fiscal year is June - May
EBIT,"-477,813","-450,360","-2,163,664","-5,379,441","-6,261,220","-2,612,558",Upgrade,Financials in CAD,Fiscal year is June - May
EBIT Margin,-,-,-,-290.168%,-,-,Upgrade,Financials in CAD,Fiscal year is June - May
