Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"726,352,000","756,056,000","824,929,000","805,684,000","463,084,000","124,193,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-5.281%,-8.349%,2.389%,73.982%,272.874%,200.462%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"360,097,000","408,519,000","430,202,000","375,896,000","252,634,000","52,580,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"366,255,000","347,537,000","394,727,000","429,788,000","210,450,000","71,613,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","222,635,000","259,805,000","309,860,000","276,004,000","198,646,000","91,518,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"15,998,000","13,167,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"248,926,000","284,343,000","330,495,000","313,604,000","228,946,000","95,737,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"117,329,000","63,194,000","64,232,000","116,184,000","-18,496,000","-24,124,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-60,162,000","-62,967,000","-58,516,000","-52,149,000","-32,640,000","-9,458,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,931,000","2,148,000","679,000","938,000","1,411,000","1,680,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,"-1,196,000","-1,181,000","-63,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-6,000","-303,000","931,000","-1,228,000","-1,415,000","421,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-61,269,000","424,000","-704,000","26,910,000","-5,607,000","-3,761,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,177,000","2,496,000","6,622,000","89,459,000","-57,928,000","-35,305,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"125,000",-,"-5,466,000","-27,641,000","-3,749,000","-3,873,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-50,858,000","-50,858,000","-117,024,000","-215,551,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-62,000","-406,000","-4,587,000","1,285,000","-162,000","-1,518,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-248,000","762,000","12,305,000","-1,106,000","-134,000","-7,100,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"48,514,000","-100,159,000","-23,631,000","-90,343,000","-1,217,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,263,000","1,263,000","4,876,000","-12,830,000","-977,000","-3,045,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-853,000","-146,902,000","-126,905,000","-256,727,000","-64,167,000","-50,841,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"55,207,000","32,950,000","88,938,000","40,107,000","28,604,000","14,461,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-56,060,000","-179,852,000","-215,843,000","-296,834,000","-92,771,000","-65,302,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-11,371,000","4,330,000","3,796,000","-22,763,000","-9,386,000","22,101,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-67,431,000","-175,522,000","-212,047,000","-319,597,000","-102,157,000","-43,201,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-67,431,000","-175,522,000","-212,047,000","-319,597,000","-102,157,000","-43,201,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"343,269,951","323,819,766","298,161,665","262,326,138","210,465,988","118,318,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"343,269,951","323,819,766","298,161,665","262,326,138","210,465,988","118,318,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.100%,8.605%,13.661%,24.641%,77.882%,99.380%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.196,-0.542,-0.711,-1.218,-0.485,-0.365,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.196,-0.542,-0.711,-1.218,-0.485,-0.370,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"78,586,000","3,179,000","-64,285,000","-79,388,000","-95,002,000","-116,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.229,0.010,-0.216,-0.303,-0.451,-0.988,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,50.424%,45.967%,47.850%,53.344%,45.445%,57.663%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,16.153%,8.358%,7.786%,14.421%,-3.994%,-19.425%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-9.284%,-23.215%,-25.705%,-39.668%,-22.060%,-34.785%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,10.819%,0.420%,-7.793%,-9.853%,-20.515%,-94.097%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"182,773,000","125,706,000","116,162,000","154,824,000","13,292,000","-16,314,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,25.163%,16.627%,14.081%,19.216%,2.870%,-13.136%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"65,444,000","62,512,000","51,930,000","38,640,000","31,788,000","7,810,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"117,329,000","63,194,000","64,232,000","116,184,000","-18,496,000","-24,124,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,16.153%,8.358%,7.786%,14.421%,-3.994%,-19.425%,Upgrade,Financials in USD,Fiscal year is January - December
