Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","3,211,388","3,123,537","3,398,566","3,668,139","2,633,037","3,945,419",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,860,891","3,035,413","2,224,422","1,672,576","2,828,832","3,299,224",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-227,079","-242,851","-6,217",706,"-178,703","14,501",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,845,200","5,916,099","5,616,771","5,341,421","5,283,166","7,259,144",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,845,200","-5,916,099","-5,616,771","-5,341,421","-5,283,166","-7,259,144",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-580,084","-1,032,444","-904,345","-14,112","-135,151","-28,628",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"307,659","302,249","114,268","26,990",258,"17,882",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-281,028","-39,557",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-547,336","-447,456","-305,560","47,161","-333,553","-219,573",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"39,141","-166,192","449,994","5,085","-2,469,837","663,725",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,906,848","-7,299,499","-6,262,414","-5,276,297","-8,221,449","-6,825,738",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-12,397,148","-1,529,929",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,478,"29,461",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,906,370","-7,270,038","-18,659,562","-6,806,226","-8,221,449","-6,825,738",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-7,919","-117,945","-21,284","-193,837",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-7,906,370","-7,270,038","-18,651,643","-6,688,281","-8,200,165","-6,631,901",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"5,205,487","3,400,865","-7,876,768","-10,370,162",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,700,882","-3,869,173","-26,528,411","-17,058,443","-8,200,165","-6,631,901",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,700,882","-3,869,173","-26,528,411","-17,058,443","-8,200,165","-6,631,901",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,416,638","491,258","45,536","33,116","15,035",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,416,638","491,258","45,536","33,116","15,035",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1503.638%,978.834%,37.505%,120.259%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.907,-7.876,-582.581,-515.112,-545.405,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.907,-7.876,-582.581,-515.112,-545.405,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,582,773","-11,511,064","-8,683,231","-13,672,738","-4,843,470","-8,457,032",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-5.353,-23.432,-190.689,-412.874,-322.146,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,"-5,570,136","-5,294,786","-5,263,130","-7,228,321",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,"46,635","46,635","20,036","30,823",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,845,200","-5,916,099","-5,616,771","-5,341,421","-5,283,166","-7,259,144",Upgrade,Financials in USD,Fiscal year is January - December
