Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2016,,
Revenue,"11,870,000","12,378,000","9,791,000","8,139,000","7,956,000","7,782,000",Upgrade,Financials in CAD,Fiscal year is July - June
Revenue Growth (YoY),1.168%,26.422%,20.297%,2.300%,2.236%,30.090%,Upgrade,Financials in CAD,Fiscal year is July - June
Cost of Revenue,"5,795,000","5,979,000","4,968,000","5,535,000","6,037,000","5,475,000",Upgrade,Financials in CAD,Fiscal year is July - June
Gross Profit,"6,075,000","6,399,000","4,823,000","2,604,000","1,919,000","2,307,000",Upgrade,Financials in CAD,Fiscal year is July - June
"Selling, General & Admin","6,064,000","5,774,000","4,704,000","6,145,000","8,314,000","11,875,000",Upgrade,Financials in CAD,Fiscal year is July - June
Research & Development,-,-,-,-,"72,000","179,000",Upgrade,Financials in CAD,Fiscal year is July - June
Operating Expenses,"7,461,000","7,109,000","6,186,000","8,616,000","11,179,000","16,416,000",Upgrade,Financials in CAD,Fiscal year is July - June
Operating Income,"-1,386,000","-710,000","-1,363,000","-6,012,000","-9,260,000","-14,109,000",Upgrade,Financials in CAD,Fiscal year is July - June
Interest Expense,"-181,000","-169,000","-250,000","-635,000",-,"-318,000",Upgrade,Financials in CAD,Fiscal year is July - June
Interest & Investment Income,-,-,-,-,"41,000",-,Upgrade,Financials in CAD,Fiscal year is July - June
Earnings From Equity Investments,-,-,-,-,-,"-195,000",Upgrade,Financials in CAD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-68,000","-65,000","-54,000","12,000","3,000","-21,000",Upgrade,Financials in CAD,Fiscal year is July - June
Other Non Operating Income (Expenses),-,-,-,-,-,"-481,000",Upgrade,Financials in CAD,Fiscal year is July - June
EBT Excluding Unusual Items,"-1,635,000","-944,000","-1,667,000","-6,635,000","-9,216,000","-15,124,000",Upgrade,Financials in CAD,Fiscal year is July - June
Merger & Restructuring Charges,-,-,-,-,-,"-1,606,000",Upgrade,Financials in CAD,Fiscal year is July - June
Impairment of Goodwill,-,-,-,-,-,"-41,123,000",Upgrade,Financials in CAD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,"-15,000","486,000","-603,000",-,Upgrade,Financials in CAD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,"-41,000","-41,000","602,000","-692,000","-243,000","-488,000",Upgrade,Financials in CAD,Fiscal year is July - June
Asset Writedown,-,-,-,"-398,000","-12,112,000",-,Upgrade,Financials in CAD,Fiscal year is July - June
Other Unusual Items,"1,848,000","1,861,000","896,000","230,000","-498,000","-394,000",Upgrade,Financials in CAD,Fiscal year is July - June
Pretax Income,"172,000","876,000","-184,000","-7,009,000","-22,672,000","-58,735,000",Upgrade,Financials in CAD,Fiscal year is July - June
Earnings From Continuing Operations,"172,000","876,000","-184,000","-7,009,000","-22,672,000","-58,735,000",Upgrade,Financials in CAD,Fiscal year is July - June
Earnings From Discontinued Operations,-,-,-,-,"-5,866,000","-22,658,000",Upgrade,Financials in CAD,Fiscal year is July - June
Net Income to Company,"172,000","876,000","-184,000","-7,009,000","-28,538,000","-81,393,000",Upgrade,Financials in CAD,Fiscal year is July - June
