Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters,,
Revenue,"9,062","6,945","1,453,000","2,150,682","1,505,683","39,847","1,154,514","-1,159,435","759,962","1,275,474","1,393,097","679,791","868,077",-,"4,663,210","5,540,222","5,902,975","5,764,899","4,905,772","4,153,907",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-99.398%,-82.571%,25.854%,-,98.126%,-96.876%,-17.126%,-,-12.455%,-,-70.126%,-87.730%,-85.294%,-,-4.944%,33.374%,54.007%,47.043%,54.307%,46.170%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"338,488","361,394","1,788,066","2,481,789","1,647,585","689,178","1,463,582","1,664,729","1,565,922","1,796,243","1,845,237","1,339,700","1,414,086",-,"3,687,044","4,217,359","4,292,530","3,665,565","3,625,469","3,039,999",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-329,426","-354,449","-335,066","-331,107","-141,902","-649,331","-309,068","-2,824,164","-805,960","-520,769","-452,140","-659,909","-546,009",-,"976,166","1,322,863","1,610,445","2,099,334","1,280,303","1,113,908",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,400,227","2,633,083","4,782,086","3,150,787","2,508,176","4,205,934","3,382,696","2,896,558","4,794,485","4,934,491","3,518,052","10,469,159","3,308,686",-,"6,054,371","4,965,656","5,300,107","7,000,339","8,021,464","6,576,570",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"418,518","376,957","1,310,529","859,846","1,977,939","3,320,654","4,221,525","2,195,765","4,620,143","2,196,721","2,249,744","1,429,190","1,647,746",-,"2,036,732","2,014,988","3,318,743","2,845,745","2,196,514","7,800,725",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,818,745","3,010,040","6,092,615","4,010,633","4,486,115","7,526,588","7,604,221","5,092,323","9,414,628","7,131,212","5,767,796","11,898,349","4,956,432",-,"8,091,103","6,980,644","8,618,850","9,846,084","10,217,978","14,377,295",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,148,171","-3,364,489","-6,427,681","-4,341,740","-4,628,017","-8,175,919","-7,913,289","-7,916,487","-10,220,588","-7,651,981","-6,219,936","-12,558,258","-5,502,441",-,"-7,114,937","-5,657,781","-7,008,405","-7,746,750","-8,937,675","-13,263,387",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-29,465","-46,312",-,-,-,-,-,"-5,283","-1,865","-2,900","-1,884","-36,544","-1,722",-,"-38,287","-54,361","-21,935","-22,954","-24,008","-25,010",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"13,835",703,11,"44,126","19,699","16,174","4,148",-,"1,932","1,900","1,452",-,"2,180",-,-,"36,688","30,589","34,117","74,378","118,817",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,544,487","4,346,382","-2,586,938","383,937","337,109","-238,292","-430,613","109,860","42,525","-43,574","-7,641,900","3,638,319","-4,500,000",-,"3,050,055","1,794,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,619,314","936,284","-9,014,608","-3,913,677","-4,271,209","-8,398,037","-8,339,754","-7,811,910","-10,177,996","-7,696,555","-13,862,268","-8,956,483","-10,001,983",-,"-4,103,169","-3,881,454","-6,999,751","-7,735,587","-8,887,305","-13,169,580",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-1,400,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
