Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017,Currency,Fiscal_Year_period
Period Ending,"Dec '22 Dec 31, 2022","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017,,
Revenue,"2,595,590","2,595,590","674,524","90,000","7,500",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),284.803%,284.803%,649.471%,1100.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,016,930","1,016,930","652,521",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,578,660","1,578,660","22,003","90,000","7,500",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,128,421","7,128,421","7,803,196","1,141,957","997,348","2,593,435",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,133,641","8,133,641","9,143,621","1,212,957","1,012,957","2,604,075",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,554,981","-6,554,981","-9,121,618","-1,122,957","-1,005,457","-2,604,075",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-501,146","-501,146","-708,338","-286,372","-179,986","-220,798",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,1,"2,696","3,121",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,056,127","-7,056,127","-9,829,956","-1,409,328","-1,182,747","-2,821,752",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-99,880","-512,801","-1,458,450",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-4,956,047",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"11,770","-9,882","-217,041",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-407,000","-407,000",-,-,"-247,574",-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"500,905","500,905",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"25,424",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-6,962,222","-6,962,222","-9,792,762","-1,519,090","-7,116,210","-4,280,202",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-6,962,222","-6,962,222","-9,792,762","-1,519,090","-7,116,210","-4,280,202",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-59,773","-59,773","-32,213","-34,259","-1,004,853","-791,132",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-7,021,995","-7,021,995","-9,824,975","-1,553,349","-8,121,063","-5,071,334",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-9,776","-9,776","2,247","54,680","212,124",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-7,031,771","-7,031,771","-9,822,728","-1,498,669","-7,908,939","-5,071,334",Upgrade,Financials in USD,Fiscal year is January - December
