Fiscal Quarter,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q2 2017,Q1 2017,Q2 2016,Currency,Fiscal_Year_period
Period Ending,"Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016",,
Revenue,"969,034","1,249,623","354,400","22,533","79,471","502,088","25,855","67,110","22,500","22,500","22,500","22,500","7,500",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),1119.355%,148.885%,1270.721%,-66.424%,253.204%,2131.502%,14.911%,198.267%,200.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"372,817","375,269","164,479","104,365","102,640","279,621","112,195","158,065",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"596,217","874,354","189,921","-81,832","-23,169","222,467","-86,340","-90,955","22,500","22,500","22,500","22,500","7,500",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,302,612","1,933,281","1,914,644","1,977,884","5,039,667","1,128,298","514,299","1,120,932","258,392","108,728","204,981","569,856","289,654","91,083","78,686","537,925","603,632","645,992","645,992","75,978",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,564,102","2,194,771","2,176,135","2,198,633","5,373,288","1,444,027","855,746","1,470,560","274,431","124,766","221,020","592,740","295,465","94,347","81,952","541,193","606,900","1,008,005","1,008,005","75,978",Financials in USD,Fiscal year is January - December
Operating Income,"-967,885","-1,320,417","-1,986,214","-2,280,465","-5,396,457","-1,221,560","-942,086","-1,561,515","-251,931","-102,266","-198,520","-570,240","-287,965","-94,347","-81,952","-541,193","-606,900","-1,008,005","-1,008,005","-75,978",Financials in USD,Fiscal year is January - December
Interest Expense,"-96,874","-116,999","-123,763","-163,510","-56,531","-155,505","-232,462","-263,840","-81,497","-68,475","-66,884","-69,516","-44,149","-49,378","-39,280","-47,179","-56,011","-30,947","-30,947",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,1,"1,733",154,342,467,526,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-87,084","-87,084",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,064,759","-1,437,416","-2,109,977","-2,443,975","-5,452,988","-1,377,065","-1,174,548","-1,825,355","-333,428","-170,741","-265,404","-639,755","-330,381","-143,571","-120,890","-587,905","-662,385","-1,126,036","-1,126,036","-75,978",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"16,115",-,-,"-16,115",-,"-6,856","-7,013","-86,011","-151,943","-183,103","-130,358","-47,397",-,-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,"-4,956,047",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,"11,770","4,854","1,826","7,057","-23,619","17,268","-9,630","-37,110","-187,569",-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-407,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"-247,574",-,-,-,-,Financials in USD,Fiscal year is January - December
