Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"11,586,000","8,269,000","7,055,000","9,338,000","15,010,000","30,714,000",Upgrade,Financials in AUD,Fiscal year is January - December
Revenue Growth (YoY),58.843%,17.208%,-24.448%,-37.788%,-51.130%,-5.361%,Upgrade,Financials in AUD,Fiscal year is January - December
Cost of Revenue,"7,456,000","5,003,000","4,070,000","7,220,000","8,344,000","24,030,000",Upgrade,Financials in AUD,Fiscal year is January - December
Gross Profit,"4,130,000","3,266,000","2,985,000","2,118,000","6,666,000","6,684,000",Upgrade,Financials in AUD,Fiscal year is January - December
"Selling, General & Admin","8,264,000","8,581,000","12,278,000","18,821,000","29,073,000","39,377,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Operating Expenses,"-89,000","-543,000","-505,000","-501,000","-224,000",-,Upgrade,Financials in AUD,Fiscal year is January - December
Operating Expenses,"9,593,000","9,310,000","12,735,000","20,004,000","31,769,000","42,172,000",Upgrade,Financials in AUD,Fiscal year is January - December
Operating Income,"-5,463,000","-6,044,000","-9,750,000","-17,886,000","-25,103,000","-35,488,000",Upgrade,Financials in AUD,Fiscal year is January - December
Interest Expense,"-139,000","-101,000","-71,000","-92,000","-49,000","-133,000",Upgrade,Financials in AUD,Fiscal year is January - December
Interest & Investment Income,"96,000","213,000","22,000","47,000","100,000","564,000",Upgrade,Financials in AUD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,"-1,076,000","-1,624,000",Upgrade,Financials in AUD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-4,000","-6,000","-41,000","84,000","-67,000","-33,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-333,000","-4,701,000","148,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,510,000","-5,938,000","-9,840,000","-18,180,000","-30,896,000","-36,566,000",Upgrade,Financials in AUD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-28,712,000","-47,479,000",Upgrade,Financials in AUD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-1,326,000","-1,326,000",-,-,"-4,734,000",-,Upgrade,Financials in AUD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"6,000","-2,000","30,000","-76,000","-262,000","-90,000",Upgrade,Financials in AUD,Fiscal year is January - December
Asset Writedown,"-35,000","-238,000","-767,000","-754,000","-36,039,000","-3,914,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Unusual Items,-,-,"8,000","1,920,000","365,000",-,Upgrade,Financials in AUD,Fiscal year is January - December
Pretax Income,"-6,865,000","-7,504,000","-10,569,000","-17,090,000","-100,278,000","-88,049,000",Upgrade,Financials in AUD,Fiscal year is January - December
Income Tax Expense,"2,000","3,000","2,000","-65,000","4,200,000","-7,537,000",Upgrade,Financials in AUD,Fiscal year is January - December
Earnings From Continuing Operations,"-6,867,000","-7,507,000","-10,571,000","-17,025,000","-104,478,000","-80,512,000",Upgrade,Financials in AUD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,"-2,559,000",Upgrade,Financials in AUD,Fiscal year is January - December
Net Income to Company,"-6,867,000","-7,507,000","-10,571,000","-17,025,000","-104,478,000","-83,071,000",Upgrade,Financials in AUD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,"-28,000","143,000",Upgrade,Financials in AUD,Fiscal year is January - December
Net Income,"-6,867,000","-7,507,000","-10,571,000","-17,025,000","-104,506,000","-82,928,000",Upgrade,Financials in AUD,Fiscal year is January - December
Net Income to Common,"-6,867,000","-7,507,000","-10,571,000","-17,025,000","-104,506,000","-82,928,000",Upgrade,Financials in AUD,Fiscal year is January - December
Shares Outstanding (Basic),"99,046,007","59,177,223","39,509,518","39,352,495","22,427,631","16,529,954",Upgrade,Financials in AUD,Fiscal year is January - December
Shares Outstanding (Diluted),"99,046,007","59,177,223","39,509,518","39,352,495","22,427,631","16,529,954",Upgrade,Financials in AUD,Fiscal year is January - December
Shares Change (YoY),134.375%,49.780%,0.399%,75.464%,35.679%,22.217%,Upgrade,Financials in AUD,Fiscal year is January - December
EPS (Basic),-0.069,-0.127,-0.268,-0.433,-4.660,-5.017,Upgrade,Financials in AUD,Fiscal year is January - December
EPS (Diluted),-0.070,-0.127,-0.268,-0.433,-4.660,-5.017,Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow,"-4,345,000","-2,770,000","-8,157,000","-14,231,000","-22,916,000","-61,009,000",Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow Per Share,-0.044,-0.047,-0.206,-0.362,-1.022,-3.691,Upgrade,Financials in AUD,Fiscal year is January - December
Gross Margin,35.646%,39.497%,42.310%,22.681%,44.410%,21.762%,Upgrade,Financials in AUD,Fiscal year is January - December
Operating Margin,-47.152%,-73.092%,-138.200%,-191.540%,-167.242%,-115.543%,Upgrade,Financials in AUD,Fiscal year is January - December
Profit Margin,-59.270%,-90.785%,-149.837%,-182.320%,-696.243%,-270.001%,Upgrade,Financials in AUD,Fiscal year is January - December
Free Cash Flow Margin,-37.502%,-33.499%,-115.620%,-152.399%,-152.672%,-198.636%,Upgrade,Financials in AUD,Fiscal year is January - December
EBITDA,"-5,338,000","-5,921,000","-9,573,000","-17,399,000","-23,357,000","-33,752,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBITDA Margin,-46.073%,-71.605%,-135.691%,-186.325%,-155.609%,-109.891%,Upgrade,Financials in AUD,Fiscal year is January - December
D&A For EBITDA,"125,000","123,000","177,000","487,000","1,746,000","1,736,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBIT,"-5,463,000","-6,044,000","-9,750,000","-17,886,000","-25,103,000","-35,488,000",Upgrade,Financials in AUD,Fiscal year is January - December
EBIT Margin,-47.152%,-73.092%,-138.200%,-191.540%,-167.242%,-115.543%,Upgrade,Financials in AUD,Fiscal year is January - December
