Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","Nov '23 Nov 30, 2023","Nov '22 Nov 30, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020","Nov '19 Nov 30, 2019",,
Revenue,-,"250,323","189,677",-,-,-,Financials in CAD,Fiscal year is December - November
Revenue Growth (YoY),-,31.973%,-,-,-,-,Financials in CAD,Fiscal year is December - November
Gross Profit,-,"250,323","189,677",-,-,-,Financials in CAD,Fiscal year is December - November
"Selling, General & Admin","323,281","563,135","2,503,335","4,445,798","1,195,477","528,840",Financials in CAD,Fiscal year is December - November
Research & Development,-,-,"1,199,351","1,212,445","442,560","129,720",Financials in CAD,Fiscal year is December - November
Operating Expenses,"323,302","564,315","3,790,087","8,214,546","1,640,761","658,560",Financials in CAD,Fiscal year is December - November
Operating Income,"-323,302","-313,992","-3,600,410","-8,214,546","-1,640,761","-658,560",Financials in CAD,Fiscal year is December - November
Interest & Investment Income,"7,323","7,323",756,"10,413","7,363",-,Financials in CAD,Fiscal year is December - November
Currency Exchange Gain (Loss),-201,-201,"20,919","1,099",-,-,Financials in CAD,Fiscal year is December - November
Other Non Operating Income (Expenses),"-5,318","2,473","250,000","-1,877","-2,744,189","-8,707",Financials in CAD,Fiscal year is December - November
EBT Excluding Unusual Items,"-321,498","-304,397","-3,328,735","-8,204,911","-4,377,587","-667,267",Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Investments,"13,811","4,396","-69,331","206,230","49,096",-,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Assets,-,-,"1,336,591",-,-,-,Financials in CAD,Fiscal year is December - November
Other Unusual Items,-,-,-,-,"-53,000",-,Financials in CAD,Fiscal year is December - November
Pretax Income,"-307,687","-300,001","-2,061,475","-7,998,681","-4,381,491","-667,267",Financials in CAD,Fiscal year is December - November
Earnings From Continuing Operations,"-307,687","-300,001","-2,061,475","-7,998,681","-4,381,491","-667,267",Financials in CAD,Fiscal year is December - November
Earnings From Discontinued Operations,-,-,"-6,459,258","-887,874",-,-,Financials in CAD,Fiscal year is December - November
Net Income,"-307,687","-300,001","-8,520,733","-8,886,555","-4,381,491","-667,267",Financials in CAD,Fiscal year is December - November
Net Income to Common,"-307,687","-300,001","-8,520,733","-8,886,555","-4,381,491","-667,267",Financials in CAD,Fiscal year is December - November
Shares Outstanding (Basic),"7,003,108","5,908,926","5,908,926","5,428,513","2,743,994","426,229",Financials in CAD,Fiscal year is December - November
Shares Outstanding (Diluted),"7,003,108","5,908,926","5,908,926","5,428,513","2,743,994","426,229",Financials in CAD,Fiscal year is December - November
Shares Change (YoY),18.517%,-,8.850%,97.833%,543.784%,-,Financials in CAD,Fiscal year is December - November
EPS (Basic),-0.044,-0.051,-1.442,-1.637,-1.597,-1.566,Financials in CAD,Fiscal year is December - November
EPS (Diluted),-0.044,-0.051,-1.442,-1.637,-1.597,-1.566,Financials in CAD,Fiscal year is December - November
Free Cash Flow,"-310,106","-359,929","-1,954,608","-5,329,439","-2,846,555","-473,273",Financials in CAD,Fiscal year is December - November
Free Cash Flow Per Share,-0.044,-0.061,-0.331,-0.982,-1.037,-1.110,Financials in CAD,Fiscal year is December - November
Gross Margin,-,100.000%,100.000%,-,-,-,Financials in CAD,Fiscal year is December - November
Operating Margin,-,-125.435%,-1898.180%,-,-,-,Financials in CAD,Fiscal year is December - November
Profit Margin,-,-119.846%,-4492.233%,-,-,-,Financials in CAD,Fiscal year is December - November
Free Cash Flow Margin,-,-143.786%,-1030.493%,-,-,-,Financials in CAD,Fiscal year is December - November
EBITDA,-,-,"-3,599,069","-8,178,845","-1,638,037",-,Financials in CAD,Fiscal year is December - November
D&A For EBITDA,-,-,"1,341","35,701","2,724",-,Financials in CAD,Fiscal year is December - November
EBIT,"-323,302","-313,992","-3,600,410","-8,214,546","-1,640,761","-658,560",Financials in CAD,Fiscal year is December - November
EBIT Margin,-,-125.435%,-,-,-,-,Financials in CAD,Fiscal year is December - November
Revenue as Reported,-,"250,323","189,677",-,-,-,Financials in CAD,Fiscal year is December - November
