Fiscal Year,TTM,FY 2011,FY 2010,FY 2009,FY 2008,FY 2007,Currency,Fiscal_Year_period
Period Ending,"Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009","Dec '08 Dec 31, 2008","Dec '07 Dec 31, 2007",,
Revenue,"46,590","52,807","36,968","14,708","5,687",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),26.028%,42.845%,151.346%,158.625%,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"46,590","52,807","36,968","14,708","5,687",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","933,363","629,502","1,673,022","936,824","394,124","43,852",Financials in USD,Fiscal year is January - December
Operating Expenses,"943,099","639,238","2,912,024","950,120","402,998","47,100",Financials in USD,Fiscal year is January - December
Operating Income,"-896,509","-586,431","-2,875,056","-935,412","-397,311","-47,100",Financials in USD,Fiscal year is January - December
Interest Expense,"-27,004","-29,122","-68,950","-34,376","-28,637","-23,608",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-267,375","-267,375",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,190,888","-882,928","-2,944,006","-969,788","-425,948","-70,708",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-1,277,694",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"162,375",-,"-3,292,215",-,-,"-389,237",Financials in USD,Fiscal year is January - December
Pretax Income,"-1,028,513","-882,928","-7,513,915","-969,788","-425,948","-459,946",Financials in USD,Fiscal year is January - December
Net Income,"-1,028,513","-882,928","-7,513,915","-969,788","-425,948","-459,946",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,028,513","-882,928","-7,513,915","-969,788","-425,948","-459,946",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"216,182","70,319","13,873",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"216,182","70,319","13,873",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1458.293%,406.877%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.758,-12.556,-541.621,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.758,-12.556,-541.621,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-621,041","-680,498","-409,945","-371,866","-172,837","-354,859",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.873,-9.677,-29.550,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1924.252%,-1110.518%,-7777.148%,-6359.886%,-6986.302%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-2207.583%,-1671.990%,-20325.457%,-6593.609%,-7489.854%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1332.992%,-1288.651%,-1108.919%,-2528.325%,-3039.159%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-886,773","-576,695","-2,862,679","-922,115","-388,437","-43,852",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,736","9,736","12,377","13,297","8,874","3,248",Financials in USD,Fiscal year is January - December
EBIT,"-896,509","-586,431","-2,875,056","-935,412","-397,311","-47,100",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,68,-,-,-,-,Financials in USD,Fiscal year is January - December
