Fiscal Quarter,Q1 2012,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Currency,Fiscal_Year_period
Period Ending,"Mar '12 Mar 31, 2012","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009","Dec '08 Dec 31, 2008","Sep '08 Sep 30, 2008","Jun '08 Jun 30, 2008","Mar '08 Mar 31, 2008","Dec '07 Dec 31, 2007","Sep '07 Sep 30, 2007","Jun '07 Jun 30, 2007",,
Revenue,-,"15,350","6,217","11,585","12,926","8,123","4,335","-1,188","6,451","8,295","1,150","3,344","1,343","1,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,88.970%,43.414%,-,100.372%,-2.074%,276.957%,-,380.343%,729.500%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,"15,350","6,217","11,585","12,926","8,123","4,335","-1,188","6,451","8,295","1,150","3,344","1,343","1,000",-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","585,413","226,287","281,552","-423,178","629,855","321,926","514,922","605,985","194,609","84,771","51,459","117,835","159,922","53,538","62,829","31,338","6,983","5,496",Financials in USD,Fiscal year is January - December
Operating Expenses,"587,847","229,378","283,986","806,542","632,949","954,520","518,016","609,073","197,686","89,417","53,944","119,964","162,885","56,377","63,772","32,504","7,845","6,275",Financials in USD,Fiscal year is January - December
Operating Income,"-587,847","-214,028","-277,769","-794,957","-620,023","-946,397","-513,681","-610,261","-191,235","-81,122","-52,794","-116,620","-161,542","-55,377","-63,772","-32,504","-7,845","-6,275",Financials in USD,Fiscal year is January - December
Interest Expense,"-5,365","-7,213","-7,483","-43,590","-11,212","-7,926","-6,222","-17,524","-5,899","-2,809","-8,144","-2,971","-7,166","-10,843","-7,657","-12,728","-5,160","-5,720",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-593,212","-221,241","-285,252","-838,547","-631,235","-954,323","-519,903","-627,785","-197,134","-83,931","-60,937","-119,591","-168,708","-66,220","-71,429","-45,232","-13,005","-11,995",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-1,277,694",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-162,375","-3,292,215",-,-,-,-,-,-,-,-,-,-,-,"-389,237",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-593,212","-221,241","-447,627","-5,408,456","-631,235","-954,323","-519,903","-627,785","-197,134","-83,931","-60,937","-119,591","-168,708","-66,220","-71,429","-434,470","-13,005","-11,995",Financials in USD,Fiscal year is January - December
Net Income,"-593,212","-221,241","-447,627","-5,408,456","-631,235","-954,323","-519,903","-627,785","-197,134","-83,931","-60,937","-119,591","-168,708","-66,220","-71,429","-434,470","-13,005","-11,995",Financials in USD,Fiscal year is January - December
Net Income to Common,"-593,212","-221,241","-447,627","-5,408,456","-631,235","-954,323","-519,903","-627,785","-197,134","-83,931","-60,937","-119,591","-168,708","-66,220","-71,429","-434,470","-13,005","-11,995",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"629,380","38,534","45,930","31,639","11,951",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"629,380","38,534","45,930","31,639","11,951",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5166.338%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.943,-5.741,-9.746,-170.943,-52.819,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.943,-5.741,-9.746,-170.943,-52.819,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-80,206","-99,859","-139,663","-37,779","-72,492","-210,148","-89,526","-251,370","-44,310","-54,726","-21,460","-20,725","-94,927","-6,767","-50,418","5,685","-2,132",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.127,-2.591,-3.041,-1.194,-6.066,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
