Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"777,052,000","781,426,000","751,448,000","618,034,000","500,924,000","446,437,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-5.330%,3.989%,21.587%,23.379%,12.205%,18.921%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"670,601,000","606,375,000","577,383,000","466,491,000","375,181,000","313,546,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"106,451,000","175,051,000","174,065,000","151,543,000","125,743,000","132,891,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","180,425,000","169,610,000","156,190,000","105,445,000","77,205,000","66,433,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"61,291,000","68,529,000","76,642,000","72,200,000","63,945,000","58,432,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-75,117,000","-64,091,000","-79,617,000","-65,328,000","-67,257,000","-66,739,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"166,599,000","174,048,000","153,215,000","112,317,000","73,893,000","58,126,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-60,148,000","1,003,000","20,850,000","39,226,000","51,850,000","74,765,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-10,463,000","-11,739,000","-13,150,000","-9,254,000","-8,465,000","-7,456,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"3,905,000","9,263,000","8,336,000","2,296,000","1,409,000","2,264,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Equity Investments,"-10,651,000","-20,752,000","-15,098,000","-16,570,000","-10,434,000","-2,210,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,500,000","-2,500,000","13,100,000","7,843,000","-6,935,000","1,220,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-8,706,000","1,786,000","-744,000","-61,000","252,000","70,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-88,563,000","-22,939,000","13,294,000","23,480,000","27,677,000","68,653,000",Upgrade,Financials in EUR,Fiscal year is January - December
Merger & Restructuring Charges,"-62,257,000",-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-1,647,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-12,866,000","-9,143,000","-172,159,000","211,730,000","1,457,000","80,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-147,000","-50,000","-139,000",Upgrade,Financials in EUR,Fiscal year is January - December
Asset Writedown,"120,000","-5,011,000",-,"-683,000","-3,244,000","-10,272,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,"-38,571,000","-43,500,000","4,908,000","2,600,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-202,137,000","-80,593,000","-153,957,000","236,980,000","25,840,000","56,675,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"-30,767,000","3,320,000","21,698,000","21,470,000","19,562,000","19,363,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"-171,370,000","-83,913,000","-175,655,000","215,510,000","6,278,000","37,312,000",Upgrade,Financials in EUR,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,"844,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-171,370,000","-83,913,000","-175,655,000","215,510,000","6,278,000","38,156,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-171,370,000","-83,913,000","-175,655,000","215,510,000","6,278,000","38,156,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income Growth,-,-,-,3332.781%,-83.546%,-54.669%,Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"177,192,275","176,916,663","176,674,341","166,405,926","153,752,241","149,725,607",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"177,192,275","176,916,663","176,674,341","167,128,212","154,924,914","151,525,065",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),0.205%,0.137%,5.712%,7.877%,2.244%,1.085%,Upgrade,Financials in EUR,Fiscal year is January - December
