Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","157,790","254,137","108,338","234,007","551,491","265,122","39,332","407,302","275,839","459,517","-370,325","512,788","411,545","493,405","-28,139","670,311","491,818","515,253","1,185,881","1,472,937",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,-,-,"261,550",-,-,-,"490,291",-,-,-,"821,321",-,-,-,"352,274",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"157,790","254,137","369,888","234,007","551,491","265,122","529,623","407,302","275,839","459,517","450,996","512,788","411,545","493,405","324,135","670,311","491,818","515,253","1,185,881","1,472,937",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-157,790","-254,137","-369,888","-234,007","-551,491","-265,122","-529,623","-407,302","-275,839","-459,517","-450,996","-512,788","-411,545","-493,405","-324,135","-670,311","-491,818","-515,253","-1,185,881","-1,472,937",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-32,736","-30,881","-97,158","-38,269","-42,742","-40,804","-61,392","-41,470","-37,218","-38,572","-154,792","-159,478","-95,244","-65,254","-35,466","-167,120","-410,946","-662,370","-166,281","-277,813",Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),-,-,"-320,000","85,000",-,"75,000","100,000",-,-,-,"15,639","-15,639","9,000",-,"-14,149","-632,477","-1,750","-11,182","-269,174","-127,059",Upgrade,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-190,526","-285,018","-787,046","-187,276","-594,233","-230,926","-491,015","-448,772","-313,057","-498,089","-590,149","-687,905","-497,789","-558,659","-373,750","-1,469,908","-904,514","-1,188,805","-1,621,336","-1,877,809",Upgrade,Financials in USD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,"-15,639","5,206,208",-,-,-,-,-,-,"-108,816","4,502,058",Upgrade,Financials in USD,Fiscal year is April - March
Asset Writedown,-,-,-1,-,-,"-42,195","-2,374,261",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Other Unusual Items,-,-,"320,000",-,"160,000",-,-,-,-,-,"-3,002,595",-,-,-,"49,999","840,287",-,"-286,059","-1,895,434","-92,796",Upgrade,Financials in USD,Fiscal year is April - March
Pretax Income,"-190,526","-285,018","-467,047","-187,276","-434,233","-273,121","-2,865,276","-448,772","-313,057","-498,089","-3,608,383","4,518,303","-497,789","-558,659","-323,751","-629,621","-904,514","-1,474,864","-3,625,586","2,531,453",Upgrade,Financials in USD,Fiscal year is April - March
Earnings From Continuing Operations,"-190,526","-285,018","-467,047","-187,276","-434,233","-273,121","-2,865,276","-448,772","-313,057","-498,089","-3,608,383","4,518,303","-497,789","-558,659","-323,751","-629,621","-904,514","-1,474,864","-3,625,586","2,531,453",Upgrade,Financials in USD,Fiscal year is April - March
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,"-59,755","-192,766","-58,067","-73,758","-155,134","35,637","99,056","-371,836","-5,002,758","-1,547,306",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Company,"-190,526","-285,018","-467,047","-187,276","-434,233","-273,121","-2,865,276","-448,772","-313,057","-498,089","-3,668,138","4,325,537","-555,856","-632,417","-478,885","-593,984","-805,458","-1,846,700","-8,628,344","984,147",Upgrade,Financials in USD,Fiscal year is April - March
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,"360,327",Upgrade,Financials in USD,Fiscal year is April - March
Net Income,"-190,526","-285,018","-467,047","-187,276","-434,233","-273,121","-2,865,276","-448,772","-313,057","-498,089","-3,668,138","4,325,537","-555,856","-632,417","-478,885","-593,984","-805,458","-1,846,700","-8,628,345","1,344,474",Upgrade,Financials in USD,Fiscal year is April - March
Preferred Dividends & Other Adjustments,-,"3,462","9,097",-,"269,218",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Common,"-190,526","-288,480","-476,144","-187,276","-703,451","-273,121","-2,865,276","-448,772","-313,057","-498,089","-3,668,138","4,325,537","-555,856","-632,417","-478,885","-593,984","-805,458","-1,846,700","-8,628,345","1,344,474",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"407,071,028","406,565,533","406,003,081","403,172,478","395,738,723","381,872,561","379,691,626","378,912,416","346,269,298","325,743,436","319,926,995","317,435,744","317,429,078","315,675,539","300,405,568","280,967,623","280,532,686","277,968,516","273,909,584","263,055,254",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"407,071,028","406,565,533","406,003,081","403,172,478","395,738,723","381,872,561","379,691,626","378,912,416","346,269,298","325,743,436","319,926,995","342,320,490","317,429,078","315,675,539","300,405,568","280,967,623","280,532,686","277,968,516","273,909,584","325,790,554",Upgrade,Financials in USD,Fiscal year is April - March
Shares Change (YoY),2.864%,6.466%,6.930%,6.403%,14.286%,17.231%,18.681%,10.689%,9.086%,3.189%,6.498%,21.836%,13.152%,13.565%,9.673%,-13.758%,11.014%,13.904%,16.440%,46.189%,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Basic),-0.000,-0.001,-0.001,-0.000,-0.002,-0.001,-0.008,-0.001,-0.001,-0.002,-0.011,0.014,-0.002,-0.002,-0.002,-0.002,-0.003,-0.007,-0.032,0.005,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.000,-0.001,-0.001,-0.000,-0.002,-0.001,-0.008,-0.001,-0.001,-0.002,-0.011,0.009,-0.002,-0.002,-0.002,-0.002,-0.003,-0.007,-0.036,0.004,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-107,680","-21,991","-252,468","-205,405","-412,524","-105,301","-219,890","-399,407","-615,521","-292,043","-665,239","-428,454","-135,878","-636,583","-932,040","-1,040,326","110,991","-323,845","-231,422","-701,834",Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-0.000,-0.000,-0.001,-0.001,-0.001,-0.000,-0.001,-0.001,-0.002,-0.001,-0.002,-0.001,-0.000,-0.002,-0.003,-0.004,0.000,-0.001,-0.001,-0.002,Upgrade,Financials in USD,Fiscal year is April - March
EBITDA,"-157,634","-253,981","-369,888","-234,007","-551,491","-264,498","-529,623","-386,134","-255,433","-439,431","-433,932","-494,449","-393,814","-476,051","-306,879","-655,826","-481,768","-509,691","-1,161,256","-1,448,776",Upgrade,Financials in USD,Fiscal year is April - March
D&A For EBITDA,156,156,-,-,-,624,-,"21,168","20,406","20,086","17,064","18,339","17,731","17,354","17,256","14,485","10,050","5,562","24,625","24,161",Upgrade,Financials in USD,Fiscal year is April - March
EBIT,"-157,790","-254,137","-369,888","-234,007","-551,491","-265,122","-529,623","-407,302","-275,839","-459,517","-450,996","-512,788","-411,545","-493,405","-324,135","-670,311","-491,818","-515,253","-1,185,881","-1,472,937",Upgrade,Financials in USD,Fiscal year is April - March
