Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Revenue,"668,800,000","668,800,000","689,700,000","593,400,000","574,300,000","551,400,000",Upgrade,Financials in GBP,Fiscal year is July - June
Revenue Growth (YoY),-3.030%,-3.030%,16.229%,3.326%,4.153%,12.876%,Upgrade,Financials in GBP,Fiscal year is July - June
Cost of Revenue,"413,500,000","413,500,000","429,100,000","367,400,000","342,100,000","339,800,000",Upgrade,Financials in GBP,Fiscal year is July - June
Gross Profit,"255,300,000","255,300,000","260,600,000","226,000,000","232,200,000","211,600,000",Upgrade,Financials in GBP,Fiscal year is July - June
"Selling, General & Admin","116,400,000","116,400,000","109,800,000","89,400,000","96,700,000","88,000,000",Upgrade,Financials in GBP,Fiscal year is July - June
Research & Development,"72,700,000","72,700,000","76,600,000","72,900,000","68,100,000","71,400,000",Upgrade,Financials in GBP,Fiscal year is July - June
Operating Expenses,"201,400,000","201,400,000","199,900,000","169,400,000","170,700,000","166,200,000",Upgrade,Financials in GBP,Fiscal year is July - June
Operating Income,"53,900,000","53,900,000","60,700,000","56,600,000","61,500,000","45,400,000",Upgrade,Financials in GBP,Fiscal year is July - June
Interest Expense,"-21,900,000","-21,900,000","-15,200,000","-6,400,000","-5,100,000","-4,900,000",Upgrade,Financials in GBP,Fiscal year is July - June
Interest & Investment Income,"3,900,000","3,900,000","1,100,000","400,000","400,000","300,000",Upgrade,Financials in GBP,Fiscal year is July - June
Earnings From Equity Investments,"19,100,000","19,100,000","10,500,000","5,200,000","13,100,000","8,900,000",Upgrade,Financials in GBP,Fiscal year is July - June
Other Non Operating Income (Expenses),"-1,700,000","-1,700,000","2,700,000",-,-,-,Upgrade,Financials in GBP,Fiscal year is July - June
EBT Excluding Unusual Items,"53,300,000","53,300,000","59,800,000","55,800,000","69,900,000","49,700,000",Upgrade,Financials in GBP,Fiscal year is July - June
Merger & Restructuring Charges,"-14,100,000","-14,100,000","1,300,000","-3,100,000","-300,000","-2,100,000",Upgrade,Financials in GBP,Fiscal year is July - June
Asset Writedown,"-23,200,000","-23,200,000","-16,900,000","-5,400,000","-10,800,000","15,800,000",Upgrade,Financials in GBP,Fiscal year is July - June
Legal Settlements,"-10,400,000","-10,400,000","-4,500,000","1,900,000","-2,500,000","-16,400,000",Upgrade,Financials in GBP,Fiscal year is July - June
Other Unusual Items,"-100,000","-100,000","-300,000","-800,000","-500,000","-700,000",Upgrade,Financials in GBP,Fiscal year is July - June
Pretax Income,"5,500,000","5,500,000","39,400,000","48,400,000","55,800,000","46,300,000",Upgrade,Financials in GBP,Fiscal year is July - June
Income Tax Expense,"3,100,000","3,100,000","7,600,000","11,700,000","9,000,000","10,600,000",Upgrade,Financials in GBP,Fiscal year is July - June
Earnings From Continuing Operations,"2,400,000","2,400,000","31,800,000","36,700,000","46,800,000","35,700,000",Upgrade,Financials in GBP,Fiscal year is July - June
