Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"11,888,030","11,907,867","10,640,119","6,952,359","1,885,344","878,667",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"340,683","340,683","409,653","280,758","4,500","24,270",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"12,228,713","12,248,550","11,049,772","7,233,117","1,889,844","902,937",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),119.790%,10.849%,52.766%,282.736%,109.300%,-4.162%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"6,779,637","6,854,033","6,529,385","4,122,684","1,946,635","341,315",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"5,449,076","5,394,517","4,520,387","3,110,433","-56,791","561,622",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,879,188","9,185,605","11,647,647","13,529,454","8,900,450","9,300,728",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"145,501","150,684","193,800","64,358","160,978","194,311",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,024,689","9,336,289","11,841,447","13,593,812","9,061,428","9,495,039",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,575,613","-3,941,772","-7,321,060","-10,483,379","-9,118,219","-8,933,417",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-7,271","-258,365",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"377,877","379,520","152,570","1,797",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,795,432","3,984,901","2,345,800",1,"-12,655","-123,006",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,993,168","422,649","-4,822,690","-10,481,581","-9,138,145","-9,314,788",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-2,103,680",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-11,893,134",-,"-1,563,520",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-281,845","-264,616","-9,448","-160,137","-49,448",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-10,090,090",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-106,477","615,936",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,275,013","158,033","-14,922,228","-24,745,009","-8,571,657","-10,878,308",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"6,374,940","158,033","-14,922,228","-24,745,009","-8,571,657","-10,878,308",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"941,585",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"6,374,940","158,033","-15,863,813","-24,745,009","-8,571,657","-10,878,308",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,278,297","1,270,846","1,121,000","473,772","285,137","121,560",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,278,297","1,270,846","1,121,000","473,772","285,137","121,560",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.260%,13.367%,136.612%,66.156%,134.565%,80.637%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),4.987,0.124,-14.151,-52.230,-30.062,-89.489,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),4.987,0.124,-14.151,-52.230,-30.062,-89.489,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,918,940","-4,373,677","-7,452,381","-10,719,008","-8,054,662","-6,201,080",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.066,-3.442,-6.648,-22.625,-28.248,-51.013,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,44.560%,44.042%,40.909%,43.003%,-3.005%,62.199%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-29.239%,-32.182%,-66.255%,-144.936%,-482.485%,-989.373%,Upgrade,Financials in USD,Fiscal year is January - December
