Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,FY 2017,2016 - 2012,Currency,Fiscal_Year_period
Period Ending,"Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017",2016 - 2012,,
Revenue,"1,911,000","1,641,000","1,359,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),40.618%,20.751%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,911,000","1,641,000","1,359,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","14,642,000","14,714,000","14,388,000","12,037,000","14,309,000","13,433,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"43,813,000","40,120,000","33,960,000","26,952,000","25,209,000","39,204,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"58,455,000","54,834,000","48,348,000","38,989,000","39,518,000","52,637,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-56,544,000","-53,193,000","-46,989,000","-38,989,000","-39,518,000","-52,637,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,073,000","-1,121,000","-1,500,000","-1,600,000","-1,700,000","-1,700,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"120,000","654,000","679,000","259,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"19,326,000","20,018,000","4,655,000","985,000","12,728,000","-14,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-38,291,000","-34,296,000","-43,714,000","-38,950,000","-27,811,000","-54,092,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,"-2,618,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,100,000","1,100,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-37,191,000","-33,196,000","-43,714,000","-38,950,000","-27,811,000","-56,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-37,191,000","-33,196,000","-43,714,000","-38,950,000","-27,811,000","-56,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-37,191,000","-33,196,000","-43,714,000","-38,950,000","-27,811,000","-56,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"69,815,500","68,575,000","44,436,000","20,644,000","10,321,000","3,575,375",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"69,815,500","68,575,000","46,553,000","20,644,000","10,321,000","3,575,375",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.431%,47.305%,125.504%,100.019%,188.669%,1.074%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.533,-0.484,-0.984,-1.887,-2.695,-15.861,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.533,-0.484,-1.112,-1.890,-2.695,-15.861,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-51,326,000","-48,658,000","-44,236,000","-38,869,000","-41,476,000","-48,777,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.735,-0.710,-0.950,-1.883,-4.019,-13.642,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2958.870%,-3241.499%,-3457.616%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1946.154%,-2022.913%,-3216.630%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2685.819%,-2965.143%,-3255.040%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-55,668,000","-52,336,000","-46,451,000","-38,292,000","-38,830,000","-51,409,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"876,000","857,000","538,000","697,000","688,000","1,228,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-56,544,000","-53,193,000","-46,989,000","-38,989,000","-39,518,000","-52,637,000",Upgrade,Financials in USD,Fiscal year is January - December
