Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"5,540,000,000","5,402,000,000","4,143,000,000","4,678,000,000","4,712,000,000","4,169,000,000","2,834,000,000","5,137,000,000","4,087,000,000","3,162,000,000","2,119,000,000","2,619,000,000","2,310,000,000","1,972,000,000","1,581,000,000","2,044,000,000","1,724,000,000","5,451,000,000","892,000,000","2,961,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Revenue Growth (YoY),17.572%,29.575%,46.189%,-8.935%,15.292%,31.847%,33.742%,96.144%,76.926%,60.345%,34.029%,28.131%,33.991%,-63.823%,77.242%,-30.969%,65.769%,604.264%,50.931%,139.618%,Upgrade,Financials in DKK,Fiscal year is January - December
Cost of Revenue,"273,000,000","190,000,000","185,000,000","126,000,000","79,000,000","21,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in DKK,Fiscal year is January - December
Gross Profit,"5,267,000,000","5,212,000,000","3,958,000,000","4,552,000,000","4,633,000,000","4,148,000,000","2,834,000,000","5,137,000,000","4,087,000,000","3,162,000,000","2,119,000,000","2,619,000,000","2,310,000,000","1,972,000,000","1,581,000,000","2,044,000,000","1,724,000,000","5,451,000,000","892,000,000","2,961,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
"Selling, General & Admin","865,000,000","894,000,000","857,000,000","934,000,000","860,000,000","827,000,000","676,000,000","921,000,000","670,000,000","633,000,000","452,000,000","512,000,000","306,000,000","264,000,000","201,000,000","231,000,000","145,000,000","179,000,000","106,000,000","116,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Research & Development,"2,283,000,000","2,502,000,000","2,300,000,000","1,948,000,000","2,088,000,000","1,853,000,000","1,741,000,000","1,603,000,000","1,486,000,000","1,282,000,000","1,153,000,000","1,298,000,000","1,114,000,000","921,000,000","848,000,000","904,000,000","721,000,000","775,000,000","715,000,000","669,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Operating Expenses,"3,148,000,000","3,396,000,000","3,157,000,000","2,882,000,000","2,948,000,000","2,680,000,000","2,417,000,000","2,524,000,000","2,156,000,000","1,915,000,000","1,605,000,000","1,810,000,000","1,420,000,000","1,185,000,000","1,049,000,000","1,135,000,000","866,000,000","954,000,000","821,000,000","785,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Operating Income,"2,119,000,000","1,816,000,000","801,000,000","1,670,000,000","1,685,000,000","1,468,000,000","417,000,000","2,613,000,000","1,931,000,000","1,247,000,000","514,000,000","809,000,000","890,000,000","787,000,000","532,000,000","909,000,000","858,000,000","4,497,000,000","71,000,000","2,176,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Interest Expense,"-18,000,000","-19,000,000","-7,000,000","-6,000,000","-9,000,000","-25,000,000","-6,000,000","-5,000,000","-6,000,000","-6,000,000","-4,000,000","-3,000,000","-4,000,000","-430,000,000","-3,000,000","-3,000,000","-720,000,000","-211,000,000","-2,000,000","-1,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
