Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"583,337","583,337","46,695","23,497","12,247",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2907.357%,1149.249%,98.727%,91.859%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"404,205","404,205","76,718",455,-,Financials in USD,Fiscal year is January - December
Gross Profit,"179,132","179,132","-30,023","23,042","12,247",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","652,687","652,687","506,129","204,424","144,862",Financials in USD,Fiscal year is January - December
Operating Expenses,"652,687","652,687","506,129","204,424","144,862",Financials in USD,Fiscal year is January - December
Operating Income,"-473,555","-473,555","-536,152","-181,382","-132,615",Financials in USD,Fiscal year is January - December
Interest Expense,"-10,133","-10,133","-20,800",-606,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"39,820",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-483,688","-483,688","-517,132","-181,988","-132,615",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-10,741","-10,741",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-494,429","-494,429","-517,132","-181,988","-132,615",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-494,429","-494,429","-517,132","-181,988","-132,615",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"183,266","183,266","108,908",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-311,163","-311,163","-408,224","-181,988","-132,615",Financials in USD,Fiscal year is January - December
Net Income to Common,"-311,163","-311,163","-408,224","-181,988","-132,615",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,933,530","13,933,530","13,933,530","16,970,000",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,933,530","13,933,530","13,933,530","16,970,000",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-17.893%,-,-17.893%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.022,-0.022,-0.029,-0.011,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.022,-0.022,-0.029,-0.011,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-405,347","-405,347","-438,358","-880,996","-348,296",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.029,-0.029,-0.031,-0.052,-,Financials in USD,Fiscal year is January - December
Gross Margin,30.708%,30.708%,-64.296%,98.064%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-81.180%,-81.180%,-1148.200%,-771.937%,-1082.837%,Financials in USD,Fiscal year is January - December
Profit Margin,-53.342%,-53.342%,-874.235%,-774.516%,-1082.837%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-69.488%,-69.488%,-938.769%,-3749.398%,-2843.929%,Financials in USD,Fiscal year is January - December
EBITDA,"-401,828","-401,828","-477,691","-140,377","-115,742",Financials in USD,Fiscal year is January - December
EBITDA Margin,-68.884%,-68.884%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"71,727","71,727","58,461","41,005","16,873",Financials in USD,Fiscal year is January - December
EBIT,"-473,555","-473,555","-536,152","-181,382","-132,615",Financials in USD,Fiscal year is January - December
EBIT Margin,-81.180%,-81.180%,-,-,-,Financials in USD,Fiscal year is January - December
Advertising Expenses,"29,511","29,511","6,779","1,134",-,Financials in USD,Fiscal year is January - December
