Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",,
Revenue,"7,071,510","5,230,194","5,621,933","1,984,317",-,-,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),48.755%,-6.968%,183.318%,-,-,-,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"5,777,752","4,301,668","4,026,610","965,006","-372,522","6,725",Financials in CAD,Fiscal year is April - March
Gross Profit,"1,293,758","928,526","1,595,323","1,019,311","372,522","-6,725",Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","1,937,369","1,752,862","1,864,684","1,390,510","704,610","903,001",Financials in CAD,Fiscal year is April - March
Research & Development,"21,491",-,-,"47,278","10,932",-,Financials in CAD,Fiscal year is April - March
Operating Expenses,"4,421,265","4,417,619","3,648,017","3,150,442","1,615,597","2,069,755",Financials in CAD,Fiscal year is April - March
Operating Income,"-3,127,507","-3,489,093","-2,052,694","-2,131,131","-1,243,075","-2,076,480",Financials in CAD,Fiscal year is April - March
Interest Expense,"-1,018,264","-843,570","-882,341","-850,358","-239,080","-150,556",Financials in CAD,Fiscal year is April - March
Interest & Investment Income,-,-,-,-,-,"6,996",Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-390,000","-390,000","135,846","58,575","250,000","229,167",Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-4,535,771","-4,722,663","-2,799,189","-2,922,914","-1,232,155","-1,990,873",Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,-,"193,484",-,-,-,Financials in CAD,Fiscal year is April - March
Other Unusual Items,-,-,-,-,-,"-190,000",Financials in CAD,Fiscal year is April - March
Pretax Income,"-4,535,771","-4,722,663","-2,605,705","-2,922,914","-1,232,155","-2,180,873",Financials in CAD,Fiscal year is April - March
Net Income,"-4,535,771","-4,722,663","-2,605,705","-2,922,914","-1,232,155","-2,180,873",Financials in CAD,Fiscal year is April - March
Net Income to Common,"-4,535,771","-4,722,663","-2,605,705","-2,922,914","-1,232,155","-2,180,873",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"131,195,334","131,367,831","130,924,747","129,905,231","167,302,996","165,524,992",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"131,195,334","131,367,831","130,924,747","129,905,231","167,302,996","165,524,992",Financials in CAD,Fiscal year is April - March
Shares Change (YoY),-0.115%,0.338%,0.785%,-22.353%,1.074%,-,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.035,-0.036,-0.020,-0.022,-0.007,-0.013,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.040,-0.040,-0.020,-0.022,-0.010,-0.013,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-2,218,536","-4,964,380","-5,234,439","-4,095,035","-5,954,485","-5,528,527",Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.017,-0.038,-0.040,-0.032,-0.036,-0.033,Financials in CAD,Fiscal year is April - March
Gross Margin,18.295%,17.753%,28.377%,51.368%,-,-,Financials in CAD,Fiscal year is April - March
Operating Margin,-44.227%,-66.711%,-36.512%,-107.399%,-,-,Financials in CAD,Fiscal year is April - March
Profit Margin,-64.141%,-90.296%,-46.349%,-147.301%,-,-,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-31.373%,-94.918%,-93.107%,-206.370%,-,-,Financials in CAD,Fiscal year is April - March
EBITDA,"-2,147,279","-2,350,355","-1,289,304","-1,727,996","-879,247","-1,750,612",Financials in CAD,Fiscal year is April - March
EBITDA Margin,-30.365%,-44.938%,-22.933%,-87.083%,-,-,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"980,228","1,138,738","763,390","403,135","363,828","325,868",Financials in CAD,Fiscal year is April - March
EBIT,"-3,127,507","-3,489,093","-2,052,694","-2,131,131","-1,243,075","-2,076,480",Financials in CAD,Fiscal year is April - March
EBIT Margin,-44.227%,-66.710%,-36.512%,-107.399%,-,-,Financials in CAD,Fiscal year is April - March
Revenue as Reported,"7,071,510","5,230,194","5,621,933",-,-,-,Financials in CAD,Fiscal year is April - March
