Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020",,
Revenue,"1,806,957","2,394,159","1,482,194","1,388,200","1,185,611","1,174,189","1,355,603","1,038,402","1,264,219","1,963,709","314,731","512,656","1,156,930",-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),52.407%,103.899%,9.338%,33.686%,-6.218%,-40.206%,330.718%,102.553%,9.274%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"1,482,653","1,567,437","1,619,364","1,108,298","875,062","698,944","2,376,734","367,325","418,089","864,462","327,925","5,661","1,322,368","-690,948","-436,239","9,874","16,888","36,955",Financials in CAD,Fiscal year is April - March
Gross Profit,"324,304","826,722","-137,170","279,902","310,549","475,245","-1,021,131","671,077","846,130","1,099,247","-13,194","506,995","-165,438","690,948","436,239","-9,874","-16,888","-36,955",Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","555,823","510,291","422,795","448,460","470,996","410,611","499,910","448,759","459,201","456,814","401,503","398,739","329,687","260,581","302,768","149,862","147,598","104,382",Financials in CAD,Fiscal year is April - March
Research & Development,"21,491",-,-,-,-,-,-,-,-,-,-,-,"27,023","20,255","3,260","5,596","2,076",-,Financials in CAD,Fiscal year is April - March
Operating Expenses,"1,094,651","1,099,151","992,659","1,504,804","785,115","1,405,041","684,883","984,119","1,042,808","936,207","1,305,517","674,693","772,256","397,976","593,556","358,810","361,852","301,379",Financials in CAD,Fiscal year is April - March
Operating Income,"-770,347","-272,429","-1,129,829","-1,224,902","-474,566","-929,796","-1,706,014","-313,042","-196,678","163,040","-1,318,711","-167,698","-937,694","292,972","-157,317","-368,684","-378,740","-338,334",Financials in CAD,Fiscal year is April - March
Interest Expense,"-273,277","-269,049","-203,521","-272,417","-187,647","-179,985","-10,903","-308,793","-284,229","-278,416","-203,630","-220,533","-221,000","-205,195","-107,776","-50,364","-40,577","-40,363",Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),-,-,-,"-120,000",-,-,-,"45,374","27,972","62,500","62,500","62,500","-109,410","42,985","62,500","62,500","62,500","62,500",Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-1,043,624","-541,478","-1,333,350","-1,617,319","-662,213","-1,109,781","-1,716,917","-576,461","-452,935","-52,876","-1,459,841","-325,731","-1,268,104","130,762","-202,593","-356,548","-356,817","-316,197",Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,"193,484",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Pretax Income,"-1,043,624","-541,478","-1,333,350","-1,617,319","-662,213","-1,109,781","-1,523,433","-576,461","-452,935","-52,876","-1,459,841","-325,731","-1,268,104","130,762","-202,593","-356,548","-356,817","-316,197",Financials in CAD,Fiscal year is April - March
Net Income,"-1,043,624","-541,478","-1,333,350","-1,617,319","-662,213","-1,109,781","-1,523,433","-576,461","-452,935","-52,876","-1,459,841","-325,731","-1,268,104","130,762","-202,593","-356,548","-356,817","-316,197",Financials in CAD,Fiscal year is April - March
Net Income to Common,"-1,043,624","-541,478","-1,333,350","-1,617,319","-662,213","-1,109,781","-1,523,433","-576,461","-452,935","-52,876","-1,459,841","-325,731","-1,268,104","130,762","-202,593","-356,548","-356,817","-316,197",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"131,528,808","131,316,879","131,292,312","131,584,092","131,647,961","130,924,747","130,924,747","130,924,747","130,924,747","130,924,747","130,369,919","122,818,595","121,671,149","121,632,019","167,336,491","167,830,806","167,115,439","167,115,439",Financials in CAD,Fiscal year is April - March
