Fiscal Year,TTM,FY 2020,FY 2019,FY 2011,FY 2010,FY 2009,2008 - 2007,Currency,Fiscal_Year_period
Period Ending,"Dec '20 Dec 31, 2020","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009",2008 - 2007,,
Revenue,"20,000","20,000","30,210","2,007,298","1,878,412","1,753,158",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-98.859%,-33.797%,-98.495%,6.861%,7.144%,-40.460%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,000","20,000","28,345","793,977","703,163","666,822",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"1,865","1,213,321","1,175,249","1,086,336",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","161,258","161,258","176,400","1,024,455","1,041,302","1,327,978",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"161,258","161,258","176,400","1,024,455","1,041,302","1,327,978",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-161,258","-161,258","-174,535","188,866","133,947","-241,642",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-59,354","-45,105","-61,292",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,848,37,266,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),24,24,-,-215,-415,"12,550",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-161,234","-161,234","-174,535","130,145","88,464","-290,118",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-15,000",-,"33,757",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-161,234","-161,234","-174,535","115,145","88,464","-256,361",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"3,200","3,200","3,200",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-161,234","-161,234","-174,535","111,945","85,264","-259,561",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,897,"4,409","1,337",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-161,234","-161,234","-174,535","112,842","89,673","-258,224",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-161,234","-161,234","-174,535","112,842","89,673","-258,224",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,25.837%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,868,555","53,868,555",-,"4,425,834","4,383,672","4,624,217",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,868,555","53,868,555",-,"4,425,834","4,383,672","4,624,217",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1064.923%,-,-,0.962%,-5.202%,-18.707%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.003,-0.003,-,0.025,0.020,-0.056,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.003,-0.003,-,0.025,0.020,-0.056,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,24.638%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-96,956","-96,956","-229,026",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.002,-0.002,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,6.173%,60.445%,62.566%,61.965%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-806.290%,-806.290%,-577.739%,9.409%,7.131%,-13.783%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-806.170%,-806.170%,-577.739%,5.622%,4.774%,-14.729%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-484.780%,-484.780%,-758.113%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-161,258","-161,258","-174,535","188,866","133,947","-241,642",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,9.409%,7.131%,-13.783%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,2.779%,3.617%,-,Upgrade,Financials in USD,Fiscal year is January - December
