Fiscal Quarter,H1 2010,H1 2009,H1 2007,H2 2006,H1 2006,Currency,Fiscal_Year_period
Period Ending,"Jun '10 Jun 30, 2010","Jun '09 Jun 30, 2009","Jun '07 Jun 30, 2007","Dec '06 Dec 31, 2006","Jun '06 Jun 30, 2006",,
Revenue,"870,236","809,430","1,608,323","1,614,871","1,329,610",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-45.892%,-49.876%,20.962%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"282,380","266,291","559,525","783,222","483,152",Financials in USD,Fiscal year is January - December
Gross Profit,"587,856","543,139","1,048,798","831,649","846,458",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","535,664","620,028","810,452","1,106,656","972,746",Financials in USD,Fiscal year is January - December
Operating Expenses,"549,501","634,862","890,394","1,194,507","1,051,916",Financials in USD,Fiscal year is January - December
Operating Income,"38,355","-91,723","158,404","-362,858","-205,458",Financials in USD,Fiscal year is January - December
Interest Expense,"-16,640","-19,406","-35,592","-41,853","-47,107",Financials in USD,Fiscal year is January - December
Interest & Investment Income,56,241,"1,057",-,29,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-170,"3,542",-455,965,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"56,243",-,-,-1,1,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"78,014","-111,058","127,411","-405,167","-251,570",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"56,503","11,888","114,984","4,882",Financials in USD,Fiscal year is January - December
Pretax Income,"78,014","-54,555","139,299","-290,183","-246,688",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"7,856",800,"2,400",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"78,014","-54,555","131,443","-290,983","-249,088",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,25,-25,Financials in USD,Fiscal year is January - December
Net Income,"78,014","-54,555","131,443","-290,958","-249,113",Financials in USD,Fiscal year is January - December
Net Income to Common,"78,014","-54,555","131,443","-290,958","-249,113",Financials in USD,Fiscal year is January - December
Net Income Growth,-40.648%,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,373,555","4,923,371","5,711,549","5,748,991","5,627,619",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,299,296","4,923,371","5,711,549","5,748,991","5,627,619",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-7.218%,-14.361%,1.491%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.018,-0.011,0.023,-0.051,-0.044,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.010,-0.011,0.023,-0.051,-0.044,Financials in USD,Fiscal year is January - December
EPS Growth,-56.546%,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,4.407%,-11.332%,9.849%,-22.470%,-15.453%,Financials in USD,Fiscal year is January - December
Profit Margin,8.965%,-6.740%,8.173%,-18.017%,-18.736%,Financials in USD,Fiscal year is January - December
EBITDA,"52,192","-76,889","238,346","-275,007","-126,288",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"13,837","14,834","79,942","87,851","79,170",Financials in USD,Fiscal year is January - December
EBIT,"38,355","-91,723","158,404","-362,858","-205,458",Financials in USD,Fiscal year is January - December
