Fiscal Quarter,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018",+20 Quarters,,
Revenue,"23,053","59,585","66,632","35,126","3,770","10,695","13,791","14,264","49,499","469,835","1,587,457","409,693","1,498,137","824,720","-304,888","334,936","1,558,639","159,750","145,867","96,498",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),511.485%,457.129%,383.156%,146.256%,-92.384%,-97.724%,-99.131%,-96.518%,-96.696%,-43.031%,-,22.320%,-3.882%,416.257%,-,247.091%,4298.710%,248.259%,576.908%,251.464%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"46,498","7,587","40,943","1,525","6,363","7,280","3,828","4,599","47,669","325,423","840,401","4,086","1,589,582","223,995","-5,874","13,453","-43,549","145,070","-17,703","17,673",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-23,445","51,998","25,689","33,601","-2,593","3,415","9,963","9,665","1,830","144,412","747,056","405,607","-91,445","600,725","-299,014","321,483","1,602,188","14,680","163,570","78,825",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","565,429","238,287","670,902","871,805","957,074","852,122","686,640","782,324","591,575","1,169,567","1,905,678","1,479,610","1,067,575","2,924,303","-261,771","1,554,507","2,663,464","1,571,371","2,930,743","1,199,555",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"565,429","1,257,797","670,902","900,138","959,286","1,527,372","2,006,265","9,336,507","974,904","1,988,114","2,002,104","1,651,210","1,732,255","3,201,803","3,639,304","1,554,507","4,140,824","7,172,241","3,355,973","1,352,785",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-588,874","-1,205,799","-645,213","-866,537","-961,879","-1,523,957","-1,996,302","-9,326,842","-973,074","-1,843,702","-1,255,048","-1,245,603","-1,823,700","-2,601,078","-3,938,318","-1,233,024","-2,538,636","-7,157,561","-3,192,403","-1,273,960",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-363,636","-380,841","-346,320","-1,277,423","-1,911,712","-3,808,134","-2,798,128","-3,030,621","-3,311,989","-1,020,290","-1,712,624","-1,504,491","-5,352,958","-4,144,448","-3,606,640","-3,914,807","-5,605,603","-7,305,469",-,"-11,776,805",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,"742,984",-,Upgrade,Financials in USD,Fiscal year is January - December
