Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"34,000,000","498,000,000","10,000,000","7,000,000","7,000,000","100,000,000","7,000,000","60,000,000","8,000,000","11,000,000","11,000,000","11,000,000","11,000,000","10,000,000","9,000,000","6,000,000","7,000,000","7,000,000","7,000,000",Financials in JPY,Fiscal year is January - December
Revenue Growth (YoY),385.714%,398.000%,42.857%,-88.333%,-12.500%,809.091%,-36.364%,445.455%,-27.273%,10.000%,22.222%,83.333%,57.143%,42.857%,28.571%,-,-,-,-,Financials in JPY,Fiscal year is January - December
Cost of Revenue,"30,000,000","68,000,000",-,-,-,"13,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in JPY,Fiscal year is January - December
Gross Profit,"4,000,000","430,000,000","10,000,000","7,000,000","7,000,000","87,000,000","7,000,000","60,000,000","8,000,000","11,000,000","11,000,000","11,000,000","11,000,000","10,000,000","9,000,000","6,000,000","7,000,000","7,000,000","7,000,000",Financials in JPY,Fiscal year is January - December
"Selling, General & Admin","313,000,000","315,000,000","374,000,000","247,000,000","267,000,000","255,000,000","347,000,000","293,000,000","349,000,000","385,000,000","351,000,000","307,000,000","424,000,000","346,000,000","572,000,000","238,000,000","338,000,000","288,000,000","290,000,000",Financials in JPY,Fiscal year is January - December
Research & Development,"355,000,000","436,000,000","683,000,000","773,000,000","484,000,000","503,000,000","544,000,000","781,000,000","690,000,000","1,249,000,000","1,087,000,000","1,142,000,000","1,018,000,000","700,000,000","841,000,000","942,000,000","747,000,000","645,000,000","652,000,000",Financials in JPY,Fiscal year is January - December
Other Operating Expenses,"-19,000,000","-39,000,000","2,000,000","1,000,000","1,000,000","-4,000,000","4,000,000","-34,000,000","10,000,000","13,000,000","1,000,000","-4,000,000","-2,000,000","3,000,000","1,000,000","13,000,000",-,"-9,000,000","-5,000,000",Financials in JPY,Fiscal year is January - December
Operating Expenses,"649,000,000","712,000,000","1,059,000,000","1,089,000,000","752,000,000","754,000,000","895,000,000","1,111,000,000","1,049,000,000","1,647,000,000","1,439,000,000","1,518,000,000","1,440,000,000","1,049,000,000","1,414,000,000","1,277,000,000","1,085,000,000","924,000,000","937,000,000",Financials in JPY,Fiscal year is January - December
Operating Income,"-645,000,000","-282,000,000","-1,049,000,000","-1,082,000,000","-745,000,000","-667,000,000","-888,000,000","-1,051,000,000","-1,041,000,000","-1,636,000,000","-1,428,000,000","-1,507,000,000","-1,429,000,000","-1,039,000,000","-1,405,000,000","-1,271,000,000","-1,078,000,000","-917,000,000","-930,000,000",Financials in JPY,Fiscal year is January - December
Interest Expense,"-889,000,000","-335,000,000","-1,765,000,000","-393,000,000","-47,000,000","-60,000,000","-37,000,000","-275,000,000","-130,000,000","-220,000,000","-184,000,000","-782,000,000","-439,000,000","-147,000,000","-140,000,000",-,"-320,000,000","-426,000,000","-333,000,000",Financials in JPY,Fiscal year is January - December
Interest & Investment Income,-,"160,000,000","303,000,000",-,"79,000,000","140,000,000","190,000,000","26,000,000","115,000,000","57,000,000","193,000,000",-,-,"412,000,000","513,000,000","541,000,000",-,-,-,Financials in JPY,Fiscal year is January - December
Earnings From Equity Investments,"-1,000,000","-1,000,000",-,-,"3,000,000","-1,000,000",-,"-1,000,000","-1,000,000","-1,000,000","5,000,000","-1,000,000","-1,000,000","-1,000,000","-1,000,000","16,000,000","-12,000,000","-6,000,000","-11,000,000",Financials in JPY,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"74,000,000",-,-,-,"-21,000,000",-,-,-,"2,000,000",-,-,-,"8,000,000",-,-,-,Financials in JPY,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,000,000","1,000,000",-,"297,000,000","2,000,000","2,000,000",-,"-30,000,000","2,000,000","2,000,000",-,"101,000,000","1,000,000","1,000,000",-,-,"1,000,000","-1,000,000","1,000,000",Financials in JPY,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,536,000,000","-457,000,000","-2,511,000,000","-1,104,000,000","-708,000,000","-586,000,000","-735,000,000","-1,352,000,000","-1,055,000,000","-1,798,000,000","-1,414,000,000","-2,187,000,000","-1,868,000,000","-774,000,000","-1,033,000,000","-706,000,000","-1,409,000,000","-1,350,000,000","-1,273,000,000",Financials in JPY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"-10,000,000",-,-,-,-,-,-,-,Financials in JPY,Fiscal year is January - December
Asset Writedown,-,-,-,"-492,000,000",-,-,-,"292,000,000",-,-,-,"1,411,000,000",-,-,-,"-637,000,000",-,-,-,Financials in JPY,Fiscal year is January - December
Pretax Income,"-1,536,000,000","-457,000,000","-2,511,000,000","-1,596,000,000","-708,000,000","-586,000,000","-735,000,000","-1,060,000,000","-1,055,000,000","-1,798,000,000","-1,414,000,000","-786,000,000","-1,868,000,000","-774,000,000","-1,033,000,000","-1,343,000,000","-1,409,000,000","-1,350,000,000","-1,273,000,000",Financials in JPY,Fiscal year is January - December
Income Tax Expense,"-12,000,000","73,000,000","-91,000,000","141,000,000","-16,000,000","69,000,000","-6,000,000","153,000,000","-359,000,000","1,000,000","46,000,000","430,000,000","-65,000,000","89,000,000","-4,000,000","155,000,000","-4,000,000","-5,000,000","-10,000,000",Financials in JPY,Fiscal year is January - December
Earnings From Continuing Operations,"-1,524,000,000","-530,000,000","-2,420,000,000","-1,737,000,000","-692,000,000","-655,000,000","-729,000,000","-1,213,000,000","-696,000,000","-1,799,000,000","-1,460,000,000","-1,216,000,000","-1,803,000,000","-863,000,000","-1,029,000,000","-1,498,000,000","-1,405,000,000","-1,345,000,000","-1,263,000,000",Financials in JPY,Fiscal year is January - December
Minority Interest in Earnings,"-9,000,000","-4,000,000","-4,000,000","6,000,000","-8,000,000","-5,000,000","-3,000,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in JPY,Fiscal year is January - December
Net Income,"-1,533,000,000","-534,000,000","-2,424,000,000","-1,731,000,000","-700,000,000","-660,000,000","-732,000,000","-1,213,000,000","-696,000,000","-1,799,000,000","-1,460,000,000","-1,216,000,000","-1,803,000,000","-863,000,000","-1,029,000,000","-1,498,000,000","-1,405,000,000","-1,345,000,000","-1,263,000,000",Financials in JPY,Fiscal year is January - December
Net Income to Common,"-1,533,000,000","-534,000,000","-2,424,000,000","-1,731,000,000","-700,000,000","-660,000,000","-732,000,000","-1,213,000,000","-696,000,000","-1,799,000,000","-1,460,000,000","-1,216,000,000","-1,803,000,000","-863,000,000","-1,029,000,000","-1,498,000,000","-1,405,000,000","-1,345,000,000","-1,263,000,000",Financials in JPY,Fiscal year is January - December
