Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"56,940,000","63,074,000","61,467,000","60,009,000","56,109,000","54,160,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-9.455%,2.614%,2.430%,6.951%,3.599%,-11.813%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,355,000","13,198,000","10,708,000","9,651,000","9,092,000","7,219,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"42,585,000","49,876,000","50,759,000","50,358,000","47,017,000","46,941,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","26,154,000","28,824,000","26,932,000","24,024,000","23,387,000","15,298,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"51,077,000","60,225,000","64,256,000","56,642,000","59,104,000","51,569,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,492,000","-10,349,000","-13,497,000","-6,284,000","-12,087,000","-4,628,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-10,397,000","-8,748,000","-7,317,000","-6,956,000","-6,307,000","-7,699,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"496,000","350,000","57,000","44,000","322,000","585,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"54,000","49,000","-110,000","-413,000","-270,000","1,620,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,085,000","-1,729,000","1,536,000","1,801,000","2,752,000","-9,384,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-20,424,000","-20,427,000","-19,331,000","-11,808,000","-15,590,000","-19,506,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-709,000","-957,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,541,000","-3,893,000","-3,051,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-2,014,000","-3,483,000","-1,340,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,970,000","-27,803,000","-23,722,000","-11,808,000","-16,299,000","-20,463,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"4,063,000","-272,000","-124,000","1,309,000","-968,000","-911,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-22,033,000","-27,531,000","-23,598,000","-13,117,000","-15,331,000","-19,552,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-22,033,000","-27,531,000","-23,598,000","-13,117,000","-15,331,000","-19,552,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"31,914,840","32,263,297","32,432,851","32,184,076","31,713,592","29,360,830",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"31,914,840","32,263,297","32,432,851","32,184,076","31,713,592","29,360,830",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-1.302%,-0.523%,0.773%,1.484%,8.013%,8.935%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.690,-0.853,-0.728,-0.408,-0.483,-0.666,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.690,-0.853,-0.730,-0.410,-0.483,-0.670,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"8,516,000","15,748,000","16,897,000","16,382,000","9,308,000","26,209,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.267,0.488,0.521,0.509,0.294,0.893,Upgrade,Financials in USD,Fiscal year is January - December
Dividend Per Share,0.002,0.076,0.148,0.158,0.157,0.154,Upgrade,Financials in USD,Fiscal year is January - December
Dividend Growth,-98.401%,-48.759%,-6.497%,0.689%,1.792%,320.823%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,74.789%,79.075%,82.579%,83.917%,83.796%,86.671%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-14.914%,-16.408%,-21.958%,-10.472%,-21.542%,-8.545%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-38.695%,-43.649%,-38.391%,-21.858%,-27.324%,-36.100%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,14.956%,24.967%,27.490%,27.299%,16.589%,48.392%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"15,772,000","21,524,000","20,797,000","23,402,000","20,621,000","27,493,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,27.699%,34.125%,33.834%,38.997%,36.752%,50.763%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"24,264,000","31,873,000","34,294,000","29,686,000","32,708,000","32,121,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-8,492,000","-10,349,000","-13,497,000","-6,284,000","-12,087,000","-4,628,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-14.914%,-16.408%,-21.958%,-10.472%,-21.542%,-8.545%,Upgrade,Financials in USD,Fiscal year is January - December
