Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"21,441,000,000","19,912,000,000","18,246,000,000","16,299,000,000","17,672,000,000","17,036,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Revenue Growth (YoY),9.315%,9.131%,11.946%,-7.769%,3.733%,-5.967%,Upgrade,Financials in DKK,Fiscal year is January - December
Cost of Revenue,"4,382,000,000","4,485,000,000","3,951,000,000","3,611,000,000","4,119,000,000","3,840,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Gross Profit,"17,059,000,000","15,427,000,000","14,295,000,000","12,688,000,000","13,553,000,000","13,196,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
"Selling, General & Admin","9,162,000,000","8,706,000,000","7,689,000,000","6,625,000,000","6,912,000,000","6,413,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Research & Development,"4,361,000,000","3,457,000,000","3,754,000,000","3,820,000,000","3,753,000,000","3,116,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Operating Expenses,"13,523,000,000","12,163,000,000","11,443,000,000","10,445,000,000","10,665,000,000","9,529,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Operating Income,"3,536,000,000","3,264,000,000","2,852,000,000","2,243,000,000","2,888,000,000","3,667,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Interest Expense,-,"-54,000,000","-103,000,000","-153,000,000","-181,000,000","-63,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Interest & Investment Income,"124,000,000","86,000,000","22,000,000","7,000,000","6,000,000","39,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Currency Exchange Gain (Loss),"-164,000,000","-164,000,000","-30,000,000","-31,000,000","76,000,000","-55,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Other Non Operating Income (Expenses),"-43,000,000","-43,000,000","-62,000,000","-61,000,000","-68,000,000","-23,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
EBT Excluding Unusual Items,"3,453,000,000","3,089,000,000","2,679,000,000","2,005,000,000","2,721,000,000","3,565,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Merger & Restructuring Charges,"7,000,000",-,-,"-233,000,000","-59,000,000","-514,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-21,000,000","-21,000,000","24,000,000","-58,000,000","80,000,000","-5,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-839,000,000",-,Upgrade,Financials in DKK,Fiscal year is January - December
