Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","98,117","140,907","141,035","145,718","207,978","151,554",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"98,117","140,907","141,035","145,718","207,978","151,554",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-98,117","-140,907","-141,035","-145,718","-207,978","-151,554",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,391","-5,303","-4,039","-2,642","-1,014","-17,874",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-101,508","-146,210","-145,074","-148,360","-208,992","-169,428",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"596,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-101,508","-146,210","-145,074","-148,360","-208,992","426,572",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-101,508","-146,210","-145,074","-148,360","-208,992","426,572",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-101,508","-146,210","-145,074","-148,360","-208,992","426,572",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"20,848,653","5,248,582","5,248,582","5,248,582","4,771,066","3,268,814",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"20,848,653","5,248,582","5,248,582","5,248,582","4,771,066","3,268,814",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),297.224%,-,-,10.009%,45.957%,33.531%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.005,-0.028,-0.028,-0.028,-0.044,0.130,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.005,-0.028,-0.028,-0.028,-0.044,0.130,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-38,193","-20,906","-21,035","-29,836","-26,971","-91,905",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.002,-0.004,-0.004,-0.006,-0.006,-0.028,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-98,117","-140,907","-141,035","-145,718","-207,978","-151,554",Upgrade,Financials in USD,Fiscal year is January - December
