Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",,
"Selling, General & Admin","220,844","181,971","220,576","222,561","200,030","83,606",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,"246,914",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"279,545","238,364","255,926","257,911","462,649","83,606",Financials in USD,Fiscal year is January - December
Operating Income,"-296,418","-238,364","-255,926","-257,911","-462,649","-83,606",Financials in USD,Fiscal year is January - December
Interest Expense,"-94,676","-85,588","-60,511","-47,600","-13,598",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-391,094","-323,952","-316,437","-305,511","-476,247","-83,606",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-18,439",Financials in USD,Fiscal year is January - December
Pretax Income,"-391,094","-323,952","-316,437","-305,511","-476,247","-102,046",Financials in USD,Fiscal year is January - December
Net Income,"-390,984","-323,952","-316,437","-305,511","-476,247","-102,046",Financials in USD,Fiscal year is January - December
Net Income to Common,"-390,984","-323,952","-316,437","-305,511","-476,247","-102,046",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"20,618,080","20,512,033","20,369,497","20,215,453","20,309,094","15,433,025",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"20,618,080","20,512,033","20,369,497","20,215,453","20,309,094","15,433,025",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.683%,0.700%,0.762%,-0.461%,31.595%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.019,-0.016,-0.016,-0.015,-0.023,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.019,-0.016,-0.016,-0.015,-0.023,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-179,438","-263,094","-176,519","-187,687","-599,603","-24,629",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.009,-0.013,-0.009,-0.009,-0.030,-0.002,Financials in USD,Fiscal year is January - December
EBITDA,"-237,717","-181,971","-220,576","-222,561","-446,944",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"58,701","56,393","35,350","35,350","15,705",-,Financials in USD,Fiscal year is January - December
EBIT,"-296,418","-238,364","-255,926","-257,911","-462,649","-83,606",Financials in USD,Fiscal year is January - December
