Fiscal Year,TTM,FY 2011,FY 2010,FY 2009,FY 2008,FY 2007,2006 - 2002,Currency,Fiscal_Year_period
Period Ending,"Sep '12 Sep 30, 2012","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009","Dec '08 Dec 31, 2008","Dec '07 Dec 31, 2007",2006 - 2002,,
Revenue,"2,065,915","1,891,338","851,683","391,268","562,877","463,941",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),14.561%,122.071%,117.673%,-30.488%,21.325%,553.991%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"641,219","733,307","260,494","196,520","255,376","138,492",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,424,696","1,158,031","591,189","194,748","307,501","325,449",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,369,514","2,952,135","2,684,905","2,559,537","2,890,564","2,887,728",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"383,949","501,044","748,663","722,523","827,361","782,075",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,848,083","3,562,354","3,547,345","3,412,656","3,851,679","3,844,028",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,423,387","-2,404,323","-2,956,156","-3,217,908","-3,544,178","-3,518,579",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-112,913",-,"-888,352","-566,776","-1,043,973",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,149","3,728","3,074","9,649","60,836","84,575",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-44,156","-85,686","-65,601",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,578,307","-2,486,281","-3,907,035","-3,775,035","-4,527,315","-3,434,004",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-11,364","-8,295","3,199",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"6,000","6,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-3,806,966",-,"11,803",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,583,671","-2,488,576","-7,710,802","-3,775,035","-4,515,512","-3,434,004",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,583,671","-2,488,576","-7,710,802","-3,775,035","-4,515,512","-3,434,004",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,583,671","-2,488,576","-7,710,802","-3,775,035","-4,515,512","-3,434,004",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"165,734","165,734","90,414","85,512","85,512","83,799",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"165,734","165,734","90,414","85,512","85,512","83,799",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.063%,83.306%,5.733%,-,2.044%,12.517%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-15.589,-15.015,-85.283,-44.146,-52.806,-40.979,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-15.589,-15.015,-85.283,-44.146,-52.806,-40.979,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,829,728","-2,298,709","-2,802,174","-3,088,605","-3,154,186","-3,238,969",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-11.040,-13.870,-30.993,-36.119,-36.886,-38.652,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,68.962%,61.228%,69.414%,49.773%,54.630%,70.149%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-117.303%,-127.123%,-347.096%,-822.431%,-629.654%,-758.411%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-125.062%,-131.578%,-905.361%,-964.821%,-802.220%,-740.181%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-88.567%,-121.539%,-329.016%,-789.383%,-560.369%,-698.142%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-2,328,767","-2,295,148","-2,842,379","-3,087,312","-3,410,424","-3,344,353",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-112.723%,-121.350%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"94,620","109,175","113,777","130,596","133,754","174,226",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,423,387","-2,404,323","-2,956,156","-3,217,908","-3,544,178","-3,518,579",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-117.303%,-127.123%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,065,915","1,891,338","851,683","391,268","562,877","463,941",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"154,000","44,000","33,000","15,100",-,Upgrade,Financials in USD,Fiscal year is January - December
