Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"3,010,989","2,485,866","2,251,469","1,676,598","1,276,559","748,377",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),14.244%,10.411%,34.288%,31.337%,70.577%,1014.801%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"948,415","864,055","879,951","981,520","1,855,001","524,494",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,062,574","1,621,811","1,371,518","695,078","-578,442","223,883",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,373,601","3,865,654","2,283,107","2,537,478","1,433,460","1,155,743",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,373,601","3,865,654","2,283,107","2,537,478","1,433,460","1,155,743",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-311,027","-2,243,843","-911,589","-1,842,400","-2,011,902","-931,860",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-169,442","-176,948","-64,690","-52,453","-72,882","-87,482",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-291,888","-52,140","-9,485","-132,102","1,011,756","1,599,080",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-772,357","-2,472,931","-985,764","-2,026,955","-1,073,028","579,738",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-1,579,883",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"2,643",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"39,833","76,536","53,038",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-772,357","-2,472,931","-983,121","-1,987,122","-2,576,375","632,776",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-772,357","-2,472,931","-983,121","-1,987,122","-2,576,375","632,776",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-772,357","-2,472,931","-983,121","-1,987,122","-2,576,375","632,776",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-772,357","-2,472,931","-983,121","-1,987,122","-2,576,375","632,776",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,960,022","2,915,410","2,854,290","2,660,072","1,977,493","921,766",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,960,022","2,915,410","2,854,290","2,660,072","1,977,493","921,766",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.065%,2.141%,7.301%,34.517%,114.533%,3925.355%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.261,-0.848,-0.344,-0.747,-1.303,0.686,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.261,-0.848,-0.344,-0.747,-1.303,0.686,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"295,714","-415,749","-398,608","-901,298","-1,902,758","-3,511,084",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.100,-0.143,-0.140,-0.339,-0.962,-3.809,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,68.501%,65.241%,60.916%,41.458%,-45.313%,29.916%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-10.330%,-90.264%,-40.489%,-109.889%,-157.604%,-124.517%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-25.651%,-99.480%,-43.666%,-118.521%,-201.822%,84.553%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,9.821%,-16.725%,-17.704%,-53.758%,-149.054%,-469.160%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-309,866","-2,241,648","-910,711","-1,837,300","-2,002,854","-923,333",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-10.291%,-90.176%,-40.450%,-109.585%,-156.895%,-123.378%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,161","2,195",878,"5,100","9,048","8,527",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-311,027","-2,243,843","-911,589","-1,842,400","-2,011,902","-931,860",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-10.330%,-90.264%,-40.489%,-109.889%,-157.603%,-124.517%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"3,010,989","2,485,866","2,251,469","1,676,598","1,276,559",-,Upgrade,Financials in USD,Fiscal year is January - December
