Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+1 Quarters,,
Other Revenue,"1,406,916","2,004,345","2,448,397","-579,895","1,769,381","1,220,774","762,542","673,593","859,928","34,227",Upgrade,Financials in AUD,Fiscal year is April - March
Revenue,"1,406,916","2,004,345","2,448,397","-579,895","1,769,381","1,220,774","762,542","673,593","859,928","34,227",Upgrade,Financials in AUD,Fiscal year is April - March
Revenue Growth (YoY),-42.537%,-,38.376%,-,132.037%,81.233%,-11.325%,1868.016%,-,-,Upgrade,Financials in AUD,Fiscal year is April - March
Cost of Revenue,"71,023","330,574","111,416","260,567","46,982","135,536","19,094","306,149","5,863","116,764",Upgrade,Financials in AUD,Fiscal year is April - March
Gross Profit,"1,335,893","1,673,771","2,336,981","-840,462","1,722,399","1,085,238","743,448","367,444","854,065","-82,537",Upgrade,Financials in AUD,Fiscal year is April - March
"Selling, General & Admin","1,269,110","1,388,776","1,215,140","1,205,441","992,992","904,249","731,802","633,813","500,936","406,206",Upgrade,Financials in AUD,Fiscal year is April - March
Research & Development,"2,800,243","3,610,974","2,193,791","1,158,248","3,528,639","2,470,648","1,301,508","1,461,461","750,361","758,289",Upgrade,Financials in AUD,Fiscal year is April - March
Operating Expenses,"4,179,450","5,082,682","3,498,143","2,535,925","4,631,853","3,406,057","2,066,312","2,138,333","1,423,342","1,252,679",Upgrade,Financials in AUD,Fiscal year is April - March
Operating Income,"-2,843,557","-3,408,911","-1,161,162","-3,376,387","-2,909,454","-2,320,819","-1,322,864","-1,770,889","-569,277","-1,335,216",Upgrade,Financials in AUD,Fiscal year is April - March
Interest Expense,"-55,226","-31,849","-46,632","-37,705","-16,143","-1,150",-,-,-,-,Upgrade,Financials in AUD,Fiscal year is April - March
Interest & Investment Income,"84,620","66,550","78,551","83,491","13,763",411,205,949,344,"1,007",Upgrade,Financials in AUD,Fiscal year is April - March
EBT Excluding Unusual Items,"-2,814,163","-3,374,210","-1,129,243","-3,330,601","-2,911,834","-2,321,558","-1,322,659","-1,769,940","-568,933","-1,334,209",Upgrade,Financials in AUD,Fiscal year is April - March
Other Unusual Items,-,-,-,-,-,-,-,-,"57,720",-,Upgrade,Financials in AUD,Fiscal year is April - March
Pretax Income,"-2,814,163","-3,374,210","-1,129,243","-3,330,601","-2,911,834","-2,321,558","-1,322,659","-1,769,940","-511,213","-1,334,209",Upgrade,Financials in AUD,Fiscal year is April - March
Net Income,"-2,814,163","-3,374,210","-1,129,243","-3,330,601","-2,911,834","-2,321,558","-1,322,659","-1,769,940","-511,213","-1,334,209",Upgrade,Financials in AUD,Fiscal year is April - March
Net Income to Common,"-2,814,163","-3,374,210","-1,129,243","-3,330,601","-2,911,834","-2,321,558","-1,322,659","-1,769,940","-511,213","-1,334,209",Upgrade,Financials in AUD,Fiscal year is April - March
Shares Outstanding (Basic),"253,696,872","194,006,081","194,005,645","194,005,370","193,944,640","170,258,405","120,839,229","107,702,757","81,682,847","51,487,067",Upgrade,Financials in AUD,Fiscal year is April - March
Shares Outstanding (Diluted),"253,696,872","194,006,081","194,005,645","194,005,370","193,944,640","170,258,405","120,839,229","107,702,757","81,682,847","51,487,067",Upgrade,Financials in AUD,Fiscal year is April - March
Shares Change (YoY),30.768%,0.000%,0.031%,13.948%,60.498%,58.082%,47.937%,109.184%,79.702%,25.507%,Upgrade,Financials in AUD,Fiscal year is April - March
EPS (Basic),-0.011,-0.017,-0.006,-0.017,-0.015,-0.014,-0.011,-0.016,-0.006,-0.026,Upgrade,Financials in AUD,Fiscal year is April - March
EPS (Diluted),-0.011,-0.017,-0.006,-0.017,-0.015,-0.014,-0.011,-0.016,-0.006,-0.026,Upgrade,Financials in AUD,Fiscal year is April - March
Free Cash Flow,"-1,172,697","-1,586,628","-3,542,780","-2,357,301","-2,950,018","-2,163,312","-2,253,109","-1,982,630","-938,972","-973,641",Upgrade,Financials in AUD,Fiscal year is April - March
Free Cash Flow Per Share,-0.005,-0.008,-0.018,-0.012,-0.015,-0.013,-0.019,-0.018,-0.011,-0.019,Upgrade,Financials in AUD,Fiscal year is April - March
Operating Margin,-202.113%,-170.076%,-47.425%,-,-164.433%,-190.110%,-173.481%,-262.902%,-66.201%,-3901.061%,Upgrade,Financials in AUD,Fiscal year is April - March
Profit Margin,-200.024%,-168.345%,-46.122%,-,-164.568%,-190.171%,-173.454%,-262.761%,-59.448%,-3898.118%,Upgrade,Financials in AUD,Fiscal year is April - March
Free Cash Flow Margin,-83.352%,-79.159%,-144.698%,-,-166.726%,-177.208%,-295.473%,-294.336%,-109.192%,-2844.658%,Upgrade,Financials in AUD,Fiscal year is April - March
EBITDA,"-2,800,196","-3,441,384","-1,118,213","-3,395,072","-2,880,462","-2,319,280","-1,321,194","-1,770,417","-569,077","-1,334,816",Upgrade,Financials in AUD,Fiscal year is April - March
D&A For EBITDA,"43,361","-32,473","42,949","-18,685","28,992","1,539","1,670",472,200,400,Upgrade,Financials in AUD,Fiscal year is April - March
EBIT,"-2,843,557","-3,408,911","-1,161,162","-3,376,387","-2,909,454","-2,320,819","-1,322,864","-1,770,889","-569,277","-1,335,216",Upgrade,Financials in AUD,Fiscal year is April - March
Revenue as Reported,"1,491,536","2,070,895","2,526,948",-,"1,783,144","1,221,185","762,747","674,542","917,992","31,518",Upgrade,Financials in AUD,Fiscal year is April - March
